訓練日期,20150304 - 20150604
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10570797.849999999627471
真實報酬,570797.849999999627471

夏普值報酬,0.048379785000000
夏普值風險,0.024527780091570
夏普值,1.972448579503830

預期報酬,10641.524193989214837
風險,105371.061656648947974
趨勢值,0.100990955454777
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](2),IBM[10](3),UNH[23](5),
20150414,3445737.149999999906868,3359622.000000000465661,3541850.100000000093132,10347210.250000000000000
20150415,3504640.409999999683350,3397503.000000000000000,3465059.099999999627471,10367203.509999999776483
20150416,3489130.379999999888241,3376803.000000000000000,3591468.899999999906868,10457403.279999999329448
20150417,3439289.159999999683350,3325880.999999999534339,3506112.749999999534339,10271283.909999998286366
20150420,3452359.409999999683350,3439524.000000000000000,3502273.199999999720603,10394157.609999999403954
20150421,3430401.390000000130385,3400194.000000000000000,3522947.699999999720603,10353544.089999999850988
20150422,3456193.349999999627471,3422964.000000000465661,3479531.250000000000000,10358689.599999999627471
20150423,3473446.080000000074506,3523980.000000000000000,3492822.000000000000000,10490249.080000000074506
20150424,3450442.439999999944121,3514458.000000000000000,3505522.049999999813735,10470423.489999998360872
20150427,3424824.750000000000000,3534123.000000000000000,3433161.299999999813735,10392110.050000000745058
20150428,3441728.939999999944121,3600155.999999999534339,3473033.549999999813735,10514919.489999998360872
20150429,3460375.830000000074506,3610092.000000000000000,3355484.250000000000000,10425953.080000000074506
20150430,3423082.049999999813735,3545715.000000000000000,3290211.899999999906868,10259009.949999999254942
20150501,3442426.020000000018626,3594980.999999999534339,3343374.899999999906868,10380782.919999999925494
20150504,3473271.810000000055879,3601191.000000000000000,3383542.500000000000000,10458006.310000000521541
20150505,3438243.540000000037253,3582768.000000000465661,3348395.850000000093132,10369408.390000000596046
20150506,3420119.459999999962747,3520047.000000000465661,3351940.049999999813735,10292107.510000001639128
20150507,3439986.239999999757856,3539505.000000000000000,3389449.500000000000000,10368941.740000000223517
20150508,3494184.209999999962747,3574488.000000000000000,3416621.700000000186265,10485294.910000000149012
20150511,3515619.419999999925494,3542196.000000000000000,3389744.849999999627471,10447561.269999999552965
20150512,3494707.020000000018626,3530397.000000000465661,3385905.299999999813735,10411010.320000000298023
20150513,3510391.320000000298023,3566208.000000000000000,3421938.000000000000000,10498538.320000000298023
20150514,3531129.450000000186265,3602847.000000000465661,3500796.449999999720603,10634773.900000000372529
20150515,3537228.899999999906868,3586494.000000000000000,3524424.449999999720603,10648148.349999999627471
20150518,3566680.529999999795109,3582354.000000000000000,3538305.899999999906868,10687341.429999999701977
20150519,3579576.510000000242144,3591048.000000000000000,3560457.149999999906868,10731082.660000000149012
20150520,3573999.870000000111759,3596844.000000000000000,3580836.299999999813735,10751681.169999999925494
20150521,3571734.359999999869615,3588150.000000000000000,3557798.999999999534339,10717684.359999999403954
20150522,3621401.310000000055879,3564966.000000000000000,3532103.549999999813735,10718471.859999999403954
20150526,3596654.969999999739230,3521703.000000000000000,3492231.299999999813735,10610590.269999999552965
20150527,3643359.330000000074506,3560412.000000000000000,3527968.649999999906868,10731740.980000000447035
20150528,3633251.669999999925494,3554409.000000000000000,3532989.600000000093132,10720651.269999999552965
20150529,3593343.839999999850988,3511767.000000000000000,3550415.249999999534339,10655527.089999999850988
20150601,3621575.580000000074506,3522738.000000000000000,3540078.000000000000000,10684392.580000000074506
20150602,3597526.320000000298023,3511767.000000000000000,3477759.149999999906868,10587053.470000000670552
20150603,3629940.540000000037253,3517355.999999999534339,3495480.149999999906868,10642777.689999999478459
20150604,3640048.200000000186265,3485478.000000000000000,3445270.649999999906868,10570797.849999999627471
