訓練日期,20160713 - 20161012
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10879202.000000000000000
真實報酬,879202.000000000000000

夏普值報酬,0.079220200000000
夏普值風險,0.025363549428823
夏普值,3.123387766460471

預期報酬,14377.878738589659406
風險,68140.795628323132405
趨勢值,0.211002507470186
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),INTC[11](9),JPM[13](3),PG[21](4),V[25](1),
20160823,2234646.469999999739230,2026330.400000000139698,2081327.649999999906868,2038482.950000000186265,2085699.159999999916181,10466486.629999998956919
20160824,2217812.690000000409782,2012020.400000000139698,2087023.750000000000000,2036383.880000000121072,2072534.530000000260770,10425775.250000000000000
20160825,2208369.349999999627471,2008586.000000000232831,2090821.149999999674037,2050144.450000000186265,2073308.919999999925494,10431229.869999999180436
20160826,2195436.080000000074506,2018316.800000000046566,2095567.899999999906868,2042681.089999999850988,2079762.169999999925494,10431764.039999999105930
20160829,2192972.599999999627471,2034916.399999999906868,2118668.750000000000000,2059473.649999999906868,2087506.070000000065193,10493537.470000000670552
20160830,2176138.820000000298023,2043502.400000000372529,2136073.500000000000000,2041748.170000000158325,2095249.969999999972060,10492712.860000001266599
20160831,2178191.719999999739230,2054378.000000000232831,2136073.500000000000000,2036383.880000000121072,2088280.460000000195578,10493307.560000000521541
20160901,2191124.990000000223517,2061819.200000000419095,2126896.449999999720603,2059706.880000000121072,2098605.660000000149012,10538153.180000001564622
20160902,2211653.990000000223517,2065253.600000000093132,2135757.049999999813735,2057141.350000000093132,2116674.759999999776483,10586480.750000000000000
20160906,2211038.120000000111759,2093301.200000000186265,2134174.799999999813735,2067403.469999999972060,2130355.650000000372529,10636273.240000000223517
20160907,2224587.259999999776483,2087004.800000000279397,2125314.199999999720603,2051310.600000000093132,2148682.879999999888241,10636899.739999998360872
20160908,2166284.900000000372529,2085860.000000000000000,2128162.250000000000000,2047345.689999999944121,2141713.370000000111759,10569366.210000000894070
20160909,2117220.589999999850988,2028620.000000000000000,2109175.250000000000000,2011428.269999999785796,2099380.049999999813735,10365824.160000000149012
20160912,2164642.580000000074506,2065253.600000000093132,2122149.700000000186265,2058307.500000000000000,2141713.370000000111759,10552066.750000000000000
20160913,2216170.370000000111759,2038350.800000000046566,2105377.850000000093132,2030319.899999999906868,2113835.330000000074506,10504054.250000000000000
20160914,2294591.150000000372529,2038923.199999999953434,2101264.000000000000000,2029386.980000000214204,2103510.129999999888241,10567675.460000000894070
20160915,2372601.349999999627471,2092728.800000000279397,2108858.799999999813735,2053876.130000000121072,2116932.890000000596046,10744997.970000000670552
20160916,2359257.500000000000000,2156265.200000000186265,2082909.899999999674037,2053642.899999999906868,2118481.669999999925494,10770557.169999999925494
20160919,2331748.639999999664724,2127072.799999999813735,2094618.549999999813735,2061106.260000000009313,2129839.390000000596046,10744385.640000000596046
20160920,2331543.349999999627471,2125928.000000000000000,2103162.699999999720603,2066004.089999999850988,2129065.000000000000000,10755703.139999998733401
20160921,2331132.769999999552965,2143672.400000000372529,2115187.800000000279397,2047812.149999999906868,2148166.620000000111759,10785971.740000002086163
20160922,2353098.799999999813735,2149396.400000000372529,2132592.549999999813735,2075566.519999999785796,2151780.440000000409782,10862434.710000000894070
20160923,2313888.410000000149012,2128790.000000000000000,2128162.250000000000000,2046879.230000000214204,2130613.780000000260770,10748333.670000001788139
20160926,2317378.339999999850988,2097880.400000000372529,2081644.100000000093132,2048978.299999999813735,2111770.290000000037253,10657651.429999999701977
20160927,2321689.429999999701977,2128217.600000000558794,2099998.200000000186265,2060873.030000000027940,2120804.839999999850988,10731583.099999999627471
20160928,2339344.370000000111759,2143100.000000000000000,2111073.949999999720603,2086528.329999999841675,2141713.370000000111759,10821760.019999999552965
20160929,2303008.040000000037253,2136231.200000000186265,2077530.250000000232831,2057841.040000000037253,2114609.719999999739230,10689220.250000000000000
20160930,2320868.269999999552965,2160844.400000000372529,2107276.550000000279397,2093292.000000000000000,2134743.860000000335276,10817025.080000001937151
20161003,2309987.900000000372529,2155692.799999999813735,2104744.950000000186265,2067869.929999999934807,2138873.940000000409782,10777169.519999999552965
20161004,2319841.820000000298023,2148824.000000000000000,2107593.000000000000000,2060639.799999999813735,2135518.250000000000000,10772416.870000001043081
20161005,2320868.269999999552965,2174582.000000000000000,2142086.049999999813735,2072301.299999999813735,2151522.309999999590218,10861359.929999999701977
20161006,2338112.629999999888241,2179161.200000000186265,2147782.150000000372529,2080930.810000000055879,2151780.440000000409782,10897767.230000000447035
20161007,2341602.560000000521541,2180878.400000000372529,2155376.950000000186265,2099122.750000000000000,2139390.200000000186265,10916370.859999999403954
20161010,2382455.269999999552965,2176299.200000000186265,2172148.799999999813735,2077199.130000000121072,2145585.320000000298023,10953687.720000000670552
20161011,2387587.519999999552965,2133369.200000000186265,2161705.950000000186265,2065071.170000000158325,2117707.280000000260770,10865441.120000001043081
20161012,2408937.679999999701977,2125355.600000000558794,2156009.849999999627471,2065770.859999999869615,2123128.009999999776483,10879202.000000000000000
