訓練日期,20140115 - 20140417
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11121951.330000000074506
真實報酬,1121951.330000000074506

夏普值報酬,0.103495133000000
夏普值風險,0.032173461829025
夏普值,3.216785733222886

預期報酬,18990.652406234985392
風險,105082.897791726849391
趨勢值,0.180720676773439
找到最佳解世代,1726
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),DD[7](3),MCD[15](9),MSFT[18](2),
20140131,2592480.100000000093132,2667517.129999999888241,2472433.300000000279397,2643934.260000000242144,10376364.790000000968575
20140203,2551347.160000000149012,2619361.100000000093132,2442241.200000000186265,2548909.699999999720603,10161859.160000000149012
20140204,2553555.640000000130385,2635413.109999999869615,2444078.979999999981374,2539826.470000000204891,10172874.200000001117587
20140205,2538648.399999999906868,2628827.669999999925494,2456943.439999999944121,2502794.840000000316650,10127214.349999999627471
20140206,2590271.620000000111759,2672044.620000000111759,2492648.879999999888241,2527948.399999999906868,10282913.519999999552965
20140207,2618981.860000000335276,2672867.799999999813735,2518377.800000000279397,2554499.380000000353903,10364726.840000001713634
20140210,2608767.640000000130385,2686861.859999999869615,2490548.560000000055879,2571268.419999999925494,10357446.480000000447035
20140211,2621466.399999999906868,2745307.640000000130385,2503150.479999999981374,2597120.690000000409782,10467045.210000000894070
20140212,2654869.660000000149012,2718142.700000000186265,2491336.180000000167638,2618081.990000000223517,10482430.530000001192093
20140213,2653213.300000000279397,2714026.799999999813735,2506300.959999999962747,2627863.930000000167638,10501404.990000000223517
20140214,2665359.939999999944121,2737899.019999999552965,2514702.240000000223517,2628562.640000000130385,10546523.839999999850988
20140218,2665636.000000000000000,2742014.919999999925494,2521003.200000000186265,2614588.440000000409782,10543242.560000000521541
20140219,2655973.899999999906868,2721847.009999999776483,2508663.819999999832362,2620876.830000000074506,10507361.560000000521541
20140220,2675574.160000000149012,2763006.009999999776483,2513914.620000000111759,2637645.870000000111759,10590140.660000000149012
20140221,2691585.640000000130385,2752716.259999999776483,2532292.420000000391155,2653716.199999999720603,10630310.519999999552965
20140224,2686616.560000000055879,2751893.079999999608845,2533605.120000000111759,2633453.609999999869615,10605568.369999999180436
20140225,2661495.100000000093132,2767945.089999999850988,2536755.600000000093132,2622972.959999999962747,10589168.750000000000000
20140226,2683303.840000000316650,2803341.829999999608845,2517590.180000000167638,2618081.990000000223517,10622317.839999999850988
20140227,2669500.840000000316650,2843266.059999999590218,2496324.439999999944121,2645331.680000000167638,10654423.019999999552965
20140228,2676954.459999999962747,2855202.169999999925494,2498162.220000000204891,2676773.630000000353903,10707092.480000000447035
20140303,2658734.500000000000000,2839150.160000000149012,2476371.399999999906868,2639742.000000000000000,10613998.060000000521541
20140304,2678334.760000000242144,2899242.299999999813735,2493699.040000000037253,2683760.729999999981374,10755036.830000000074506
20140305,2660390.860000000335276,2925584.059999999590218,2494749.200000000186265,2662799.430000000167638,10743523.550000000745058
20140306,2694346.239999999757856,2917763.850000000093132,2509451.439999999944121,2665594.270000000018626,10787155.799999998882413
20140307,2679162.939999999944121,2902123.430000000167638,2507351.120000000111759,2648126.520000000018626,10736764.009999999776483
20140310,2670881.140000000130385,2920644.979999999515712,2499474.920000000391155,2642536.840000000316650,10733537.879999998956919
20140311,2673365.680000000167638,2887306.189999999944121,2593464.240000000223517,2656511.040000000502914,10810647.150000000372529
20140312,2672813.560000000055879,2873723.719999999739230,2591626.459999999962747,2673978.790000000502914,10812142.529999999329448
20140313,2639410.300000000279397,2856848.529999999795109,2556446.100000000093132,2647427.810000000055879,10700132.740000000223517
20140314,2633336.979999999981374,2851497.859999999869615,2561959.439999999944121,2634152.320000000298023,10680946.599999999627471
20140317,2641066.660000000149012,2872077.359999999869615,2562484.520000000018626,2658607.169999999925494,10734235.709999999031425
20140318,2661495.100000000093132,2911178.410000000149012,2554870.860000000335276,2763413.669999999925494,10890958.039999999105930
20140319,2651280.880000000353903,2907885.689999999944121,2523103.520000000018626,2743849.790000000502914,10826119.880000000819564
20140320,2655973.899999999906868,2944928.789999999571592,2536230.520000000018626,2817913.049999999813735,10955046.259999997913837
20140321,2688548.979999999981374,2942870.839999999850988,2506563.500000000000000,2806034.979999999981374,10944018.300000000745058
20140324,2673641.739999999757856,2939989.709999999962747,2525203.840000000316650,2829791.120000000111759,10968626.410000000149012
20140325,2721676.180000000167638,2968389.419999999925494,2518115.260000000242144,2818611.760000000242144,11026792.619999999180436
20140326,2699867.439999999944121,2897184.350000000093132,2516277.479999999981374,2780182.709999999962747,10893511.980000000447035
20140327,2717811.340000000316650,2812808.399999999906868,2524678.760000000242144,2750138.180000000167638,10805436.679999999701977
20140328,2743760.979999999981374,2825156.100000000093132,2553033.080000000074506,2815816.919999999925494,10937767.080000000074506
20140331,2743208.860000000335276,2848205.140000000130385,2573773.740000000223517,2864027.910000000149012,11029215.650000000372529
20140401,2755355.500000000000000,2913647.950000000186265,2570360.720000000204891,2894072.440000000409782,11133436.609999999403954
20140402,2833204.419999999925494,2924760.879999999888241,2562221.979999999981374,2889181.470000000204891,11209368.750000000000000
20140403,2830995.939999999944121,2905004.559999999590218,2564059.760000000242144,2865425.330000000074506,11165485.589999999850988
20140404,2820505.660000000149012,2853967.399999999906868,2569573.100000000093132,2785772.390000000130385,11029818.550000000745058
20140407,2791243.300000000279397,2809515.680000000167638,2546994.660000000149012,2780881.419999999925494,10928635.060000000521541
20140408,2826578.979999999981374,2817747.479999999515712,2575086.439999999944121,2782278.840000000316650,11001691.739999998360872
20140409,2843142.580000000074506,2870430.999999999534339,2582175.020000000018626,2827694.990000000223517,11123443.589999999850988
20140410,2822990.200000000186265,2795933.209999999962747,2610529.340000000316650,2750138.180000000167638,10979590.929999999701977
20140411,2800629.340000000316650,2751893.079999999608845,2606853.780000000260770,2739657.530000000260770,10899033.730000000447035
20140414,2837345.320000000298023,2783997.100000000093132,2628382.060000000055879,2737561.399999999906868,10987285.880000000819564
20140415,2829615.640000000130385,2788112.999999999534339,2647284.939999999944121,2777387.870000000111759,11042401.449999999254942
20140416,2841486.220000000204891,2842854.469999999739230,2647284.939999999944121,2822804.020000000018626,11154429.649999998509884
20140417,2838725.620000000111759,2855613.759999999776483,2632057.620000000111759,2795554.330000000074506,11121951.330000000074506
