訓練日期,20160513 - 20160815
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11080573.660000000149012
真實報酬,1080573.660000000149012

夏普值報酬,0.099357366000000
夏普值風險,0.033045580947819
夏普值,3.006676328580594

預期報酬,18176.708541931340733
風險,77952.254164494457655
趨勢值,0.233177458904202
找到最佳解世代,1961
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](9),JNJ[12](7),VZ[26](13),
20160617,3517449.029999999795109,3369808.000000000000000,3482933.219999999739230,10370191.250000000000000
20160620,3508962.719999999739230,3400738.800000000279397,3481637.979999999515712,10391340.500000000000000
20160621,3538849.290000000037253,3390234.000000000465661,3503657.060000000055879,10432741.350000001490116
20160622,3525566.370000000111759,3398404.399999999906868,3499123.719999999739230,10423095.489999998360872
20160623,3545859.719999999739230,3425250.000000000000000,3540571.399999999906868,10511682.119999999180436
20160624,3446237.820000000298023,3374185.000000000000000,3525028.520000000018626,10345452.339999999850988
20160627,3396057.900000000372529,3401030.600000000093132,3545104.740000000223517,10342194.240000000223517
20160628,3453248.250000000000000,3450053.000000000000000,3550285.699999999720603,10453587.949999999254942
20160629,3483134.820000000298023,3482151.000000000000000,3565828.580000000074506,10531115.400000000372529
20160630,3527411.219999999739230,3539635.600000000093132,3616342.939999999944121,10683390.759999999776483
20160701,3538111.350000000093132,3539343.800000000279397,3641600.119999999646097,10719056.269999999552965
20160705,3504904.049999999813735,3567940.200000000186265,3661028.719999999739230,10733873.969999998807907
20160706,3524828.430000000167638,3578736.800000000279397,3643542.979999999515712,10747109.210000000894070
20160707,3539956.199999999720603,3574943.400000000372529,3586552.419999999925494,10701453.019999999552965
20160708,3567259.980000000447035,3584864.600000000093132,3620228.659999999683350,10772354.240000000223517
20160711,3578329.080000000074506,3587199.000000000465661,3622171.520000000018626,10787700.599999999627471
20160712,3594563.760000000242144,3586907.200000000186265,3592381.000000000000000,10773852.960000000894070
20160713,3574270.410000000149012,3589241.600000000093132,3626704.859999999869615,10790217.869999999180436
20160714,3645112.650000000372529,3594494.000000000465661,3616342.939999999944121,10855950.589999999850988
20160715,3644743.680000000167638,3589241.600000000093132,3616342.939999999944121,10850329.220000000670552
20160718,3683485.529999999795109,3593326.800000000279397,3622171.520000000018626,10898984.849999999627471
20160719,3684961.410000000149012,3654896.600000000093132,3607276.260000000242144,10947135.269999999552965
20160720,3688282.139999999664724,3651686.800000000279397,3602095.299999999813735,10942065.239999998360872
20160721,3668726.730000000447035,3651978.600000000093132,3585904.799999999813735,10906611.129999998956919
20160722,3640316.040000000037253,3648477.000000000000000,3633181.060000000055879,10921975.099999999627471
20160725,3591612.000000000000000,3644391.800000000279397,3618285.799999999813735,10854290.600000001490116
20160726,3566891.010000000242144,3651978.600000000093132,3549638.080000000074506,10768508.690000001341105
20160727,3798604.169999999925494,3640890.200000000186265,3582666.699999999720603,11022162.070000000298023
20160728,3849891.000000000000000,3631844.399999999906868,3552876.179999999701977,11034612.580000000074506
20160729,3845094.389999999664724,3654313.000000000000000,3588495.279999999795109,11087903.669999999925494
20160801,3912984.870000000111759,3659273.600000000093132,3529561.859999999869615,11101821.330000000074506
20160802,3855056.580000000074506,3643224.600000000093132,3497180.859999999869615,10995463.039999999105930
20160803,3903391.650000000372529,3615503.600000000093132,3490704.659999999683350,11009600.910000000149012
20160804,3906343.410000000149012,3614336.399999999906868,3492647.520000000018626,11013328.330000000074506
20160805,3965747.580000000074506,3625424.799999999813735,3473866.540000000037253,11065039.919999999925494
20160808,3998585.910000000149012,3608208.600000000093132,3470628.439999999944121,11077423.949999999254942
20160809,4014820.590000000316650,3601789.000000000465661,3475161.779999999795109,11091772.370000001043081
20160810,3984934.020000000018626,3599746.399999999906868,3484876.080000000074506,11069557.500000000000000
20160811,3982351.230000000447035,3611710.200000000186265,3488114.179999999701977,11082176.609999999403954
20160812,3991575.480000000447035,3595661.200000000186265,3474514.159999999683350,11061751.839999999850988
20160815,4039541.580000000074506,3569107.400000000372529,3471923.679999999701977,11080573.660000000149012
