訓練日期,20150204 - 20150507
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10918096.760000001639128
真實報酬,918096.760000001639128

夏普值報酬,0.083109676000000
夏普值風險,0.025841681642999
夏普值,3.216109429260629

預期報酬,15398.697669246785154
風險,115726.176579004240921
趨勢值,0.133061491569579
找到最佳解世代,3494
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](20),IBM[10](11),JPM[13](3),NKE[19](1),WBA[27](5),
20150327,1898714.000000000000000,2024356.600000000093132,2099785.799999999813735,2139671.439999999944121,2280780.500000000000000,10443308.339999999850988
20150330,1939228.400000000139698,2053004.000000000000000,2149502.400000000372529,2161521.880000000353903,2299499.199999999720603,10602755.880000000819564
20150331,1907293.520000000018626,2025618.600000000093132,2136103.599999999627471,2149525.560000000055879,2264468.490000000223517,10483009.769999999552965
20150401,1897999.040000000037253,2008960.200000000186265,2113889.799999999813735,2132816.399999999906868,2253237.270000000018626,10406902.709999999031425
20150402,1912298.239999999990687,2024987.599999999860302,2133988.000000000000000,2134958.600000000093132,2298964.379999999888241,10505196.820000000298023
20150406,1942088.239999999990687,2045053.399999999906868,2132225.000000000000000,2136672.359999999869615,2353516.020000000018626,10609555.019999999552965
20150407,1919447.840000000316650,2045432.000000000000000,2145623.799999999813735,2134101.720000000204891,2333995.089999999850988,10578600.450000001117587
20150408,1917064.639999999897555,2042655.600000000093132,2152675.799999999813735,2160236.560000000055879,2344691.490000000223517,10617324.089999999850988
20150409,1922784.320000000298023,2048839.400000000139698,2167485.000000000000000,2157665.919999999925494,2476792.029999999795109,10773566.669999999925494
20150410,1968541.760000000009313,2055401.800000000279397,2175594.799999999813735,2141813.640000000130385,2460747.429999999701977,10802099.429999999701977
20150413,1957579.040000000037253,2049344.199999999953434,2188641.000000000000000,2126818.240000000223517,2452457.719999999739230,10774840.199999999254942
20150414,1978074.560000000055879,2048334.600000000325963,2222843.200000000186265,2132387.960000000428408,2459677.790000000037253,10841318.109999999403954
20150415,2029551.679999999934807,2071429.199999999953434,2264097.399999999441206,2138814.560000000055879,2447911.750000000000000,10951804.589999999850988
20150416,2010009.440000000176951,2058809.199999999953434,2249993.400000000372529,2140099.880000000353903,2393894.929999999701977,10852806.850000001490116
20150417,1984747.520000000018626,2027764.000000000000000,2215791.200000000186265,2111394.399999999906868,2325437.969999999739230,10665135.089999999850988
20150420,2016205.760000000009313,2097047.800000000046566,2229895.200000000186265,2142242.080000000074506,2329716.529999999795109,10815107.369999999180436
20150421,2000000.000000000000000,2073069.800000000046566,2197103.400000000372529,2148668.680000000167638,2328914.299999999813735,10747756.179999999701977
20150422,2022640.400000000139698,2086951.800000000279397,2219317.200000000186265,2145669.600000000093132,2327042.429999999701977,10801621.429999999701977
20150423,2020733.840000000316650,2148537.400000000372529,2214380.799999999813735,2166234.720000000204891,2318217.899999999906868,10868104.660000002011657
20150424,2016205.760000000009313,2142732.200000000186265,2207328.799999999813735,2162807.199999999720603,2299231.790000000037253,10828305.750000000000000
20150427,2033603.120000000111759,2154721.200000000186265,2198161.200000000186265,2162378.760000000242144,2302975.529999999795109,10851839.810000000521541
20150428,2054336.960000000195578,2194979.000000000000000,2212970.400000000372529,2139243.000000000000000,2301905.889999999664724,10903435.250000000000000
20150429,2085318.560000000055879,2201036.600000000093132,2242588.799999999813735,2146098.040000000037253,2261526.979999999515712,10936568.980000000447035
20150430,2070542.719999999972060,2161788.399999999906868,2230600.400000000372529,2117392.560000000055879,2217671.740000000223517,10797995.820000000298023
20150501,2082220.400000000139698,2191824.000000000000000,2242941.400000000372529,2158951.240000000223517,2231844.469999999739230,10907781.510000001639128
20150504,2080552.159999999916181,2195610.000000000000000,2282080.000000000000000,2160236.560000000055879,2249760.939999999944121,10968239.660000000149012
20150505,2073402.560000000055879,2184378.200000000186265,2270796.799999999813735,2151239.320000000298023,2223287.350000000093132,10903104.229999998584390
20150506,2073164.239999999990687,2146139.600000000093132,2253872.000000000000000,2146954.919999999925494,2222217.709999999497086,10842348.469999998807907
20150507,2059818.320000000298023,2158002.400000000372529,2274322.799999999813735,2173518.199999999720603,2252435.040000000037253,10918096.760000001639128
