訓練日期,20130320 - 20130620
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11290540.839999999850988
真實報酬,1290540.839999999850988

夏普值報酬,0.120354084000000
夏普值風險,0.045866095547175
夏普值,2.624031598159700

預期報酬,27161.828803181546391
風險,103215.467234980998910
趨勢值,0.263156574598890
找到最佳解世代,2536
找到最佳解實驗#,7
找到最佳解次數,14

stock[index](rank)
投資組合檔數,5
AXP[1](6),BA[2](1),INTC[11](2),MRK[17](11),UNH[23](8),
Stock#,AXP[1](6),BA[2](1),INTC[11](2),MRK[17](11),UNH[23](8),
張數,30707,23389,94607,45766,36251,
20130410,2008290.890000000363216,2054028.589999999618158,2105959.840000000316650,2143705.239999999757856,2262457.239999999292195,10574441.800000000745058
20130411,2018731.270000000018626,2070634.779999999795109,2065278.829999999841675,2160638.659999999683350,2283120.309999999590218,10598403.849999997764826
20130412,2016888.850000000325963,2079054.819999999832362,2051087.780000000027940,2156062.059999999590218,2284932.860000000335276,10588026.370000001043081
20130415,1968371.789999999804422,2029470.139999999664724,2022705.679999999934807,2126314.159999999683350,2232731.419999999925494,10379593.189999999478459
20130416,1983418.220000000204891,2032276.819999999832362,2073793.460000000195578,2149197.159999999683350,2276957.639999999664724,10515643.300000000745058
20130417,1969293.000000000000000,2027599.019999999785796,2074739.530000000027940,2140043.959999999497086,2248681.860000000335276,10460357.370000001043081
20130418,1997236.370000000344589,2014267.290000000037253,2104067.699999999720603,2130890.759999999776483,2163854.519999999552965,10410316.639999998733401
20130419,2064791.770000000018626,2057303.049999999813735,2122989.100000000093132,2173453.140000000130385,2176542.370000000111759,10595079.429999999701977
20130422,2046981.709999999962747,2033446.269999999785796,2164616.179999999701977,2193132.520000000018626,2146816.549999999813735,10584993.230000000447035
20130423,2071240.240000000223517,2062448.630000000121072,2211919.679999999701977,2225626.379999999888241,2122165.870000000111759,10693400.800000000745058
20130424,2070319.030000000027940,2124429.479999999981374,2238409.640000000130385,2194505.500000000000000,2131228.620000000111759,10758892.269999999552965
20130425,2092121.000000000000000,2144076.239999999757856,2211919.679999999701977,2167045.899999999906868,2151166.669999999925494,10766329.490000000223517
20130426,2080452.340000000083819,2171675.259999999776483,2213811.819999999832362,2190844.219999999739230,2156241.809999999590218,10813025.449999999254942
20130429,2076767.500000000000000,2149455.709999999962747,2247870.340000000316650,2188555.919999999925494,2175454.839999999850988,10838104.310000000521541
20130430,2100718.959999999962747,2137995.099999999627471,2265845.669999999925494,2151027.799999999813735,2172554.759999999776483,10828142.289999999105930
20130501,2096727.050000000046566,2132615.629999999888241,2269629.949999999720603,2091074.339999999618158,2164942.049999999813735,10754989.019999999552965
20130502,2130504.750000000000000,2156706.299999999813735,2280982.790000000037253,2092904.979999999748543,2156241.809999999590218,10817340.629999998956919
20130503,2156605.700000000186265,2192491.469999999739230,2266791.740000000223517,2090159.019999999785796,2135941.250000000000000,10841989.179999999701977
20130506,2151385.509999999776483,2203016.520000000018626,2262061.390000000130385,2058580.479999999748543,2182342.530000000260770,10857386.429999999701977
20130507,2156912.769999999552965,2217049.919999999925494,2284767.069999999832362,2071852.619999999878928,2193217.830000000074506,10923800.209999999031425
20130508,2159062.259999999776483,2199508.169999999925494,2294227.770000000018626,2059038.139999999897555,2266082.339999999850988,10977918.679999999701977
20130509,2155991.559999999590218,2212839.899999999906868,2304634.540000000037253,2081921.139999999897555,2247956.839999999850988,11003343.979999998584390
20130510,2151999.650000000372529,2204185.969999999739230,2317879.520000000018626,2102973.500000000000000,2280582.739999999292195,11057621.379999998956919
20130513,2143094.620000000111759,2216348.250000000000000,2278144.580000000074506,2113042.020000000018626,2261732.219999999739230,11012361.690000001341105
20130514,2195910.660000000149012,2247923.399999999906868,2255438.899999999906868,2135009.699999999720603,2237806.559999999590218,11072089.219999998807907
20130515,2234908.549999999813735,2269207.389999999664724,2289497.419999999925494,2138670.979999999515712,2233456.439999999478459,11165740.779999999329448
20130516,2218019.700000000186265,2258916.229999999981374,2264899.600000000093132,2122195.219999999739230,2252669.469999999739230,11116700.219999998807907
20130517,2251490.330000000074506,2313646.489999999757856,2274360.299999999813735,2104804.140000000130385,2278045.169999999925494,11222346.429999999701977
