訓練日期,20100929 - 20101230
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11492092.400000000372529
真實報酬,1492092.400000000372529

夏普值報酬,0.140509240000000
夏普值風險,0.044374856964498
夏普值,3.166415614869819

預期報酬,24134.698928948906541
風險,88991.387349481898127
趨勢值,0.271202637106538
找到最佳解世代,2045
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
CAT[3](13),DIS[6](5),KO[14](1),XOM[29](2),
20101109,2570288.959999999497086,2773928.199999999720603,2649745.540000000037253,2845225.310000000055879,10839188.009999999776483
20101110,2587547.409999999683350,2783711.350000000093132,2646361.459999999962747,2865366.810000000055879,10882987.029999999329448
20101111,2586919.829999999608845,2703941.049999999813735,2656513.699999999720603,2893564.910000000149012,10840939.489999998360872
20101112,2542989.229999999981374,2840905.149999999906868,2661589.819999999832362,2859727.189999999944121,10905211.389999998733401
20101115,2567464.849999999627471,2803277.649999999906868,2663281.859999999869615,2839182.860000000335276,10873207.219999998807907
20101116,2521965.299999999813735,2778443.500000000000000,2626056.979999999981374,2777147.040000000037253,10703612.820000000298023
20101117,2547068.500000000000000,2801020.000000000000000,2644669.419999999925494,2779966.850000000093132,10772724.769999999552965
20101118,2607943.759999999776483,2828111.799999999813735,2700506.740000000223517,2832334.750000000000000,10968897.050000000745058
20101119,2634929.699999999720603,2785216.449999999720603,2720811.219999999739230,2841599.840000000316650,10982557.209999999031425
20101122,2635871.069999999832362,2780701.149999999906868,2719119.180000000167638,2827500.790000000037253,10963192.190000001341105
20101123,2592881.839999999850988,2718239.499999999534339,2691200.520000000018626,2778758.360000000335276,10781080.219999998807907
20101124,2657522.579999999608845,2774680.749999999534339,2733501.520000000018626,2815013.060000000055879,10980717.910000000149012
20101126,2639950.339999999850988,2761887.399999999906868,2712351.020000000018626,2788829.110000000335276,10903017.870000001043081
20101129,2625516.000000000000000,2740816.000000000000000,2681894.299999999813735,2797691.370000000111759,10845917.669999999925494
20101130,2654698.469999999739230,2747588.949999999720603,2672588.080000000074506,2802122.500000000000000,10876998.000000000000000
20101201,2744128.620000000111759,2793494.499999999534339,2736885.600000000093132,2873423.410000000149012,11147932.129999998956919
20101202,2780842.049999999813735,2810050.600000000093132,2745345.800000000279397,2879465.860000000335276,11215704.310000002384186
20101203,2804690.089999999850988,2828864.350000000093132,2728425.399999999906868,2867783.790000000037253,11229763.629999998956919
20101206,2799041.870000000111759,2826606.700000000186265,2707274.899999999906868,2872617.750000000000000,11205541.220000000670552
20101207,2835127.719999999739230,2809298.049999999813735,2713197.040000000037253,2878660.199999999720603,11236283.009999999776483
20101208,2812221.049999999813735,2782206.250000000000000,2724195.300000000279397,2894370.569999999832362,11212993.169999999925494
20101209,2813790.000000000000000,2764897.600000000093132,2742807.740000000223517,2900413.020000000018626,11221908.359999999403954
20101210,2822262.329999999608845,2758877.199999999720603,2735193.559999999590218,2907663.960000000428408,11223997.049999998882413
20101213,2875292.839999999850988,2794247.050000000279397,2742807.740000000223517,2914914.899999999906868,11327262.530000001192093
20101214,2889727.180000000167638,2802525.100000000093132,2703044.799999999813735,2907663.960000000428408,11302961.040000000968575
20101215,2922047.549999999813735,2780701.149999999906868,2738577.639999999664724,2894370.569999999832362,11335696.910000000149012
20101216,2924557.870000000111759,2785216.449999999720603,2763958.240000000223517,2909275.279999999795109,11383007.839999999850988
20101217,2905416.680000000167638,2788226.649999999906868,2779186.600000000093132,2907261.129999999888241,11380091.059999998658895
20101220,2927695.769999999552965,2788979.200000000186265,2763112.219999999739230,2909275.279999999795109,11389062.469999998807907
20101221,2969429.839999999850988,2809298.049999999813735,2769880.379999999888241,2929416.779999999795109,11478025.049999998882413
20101222,2967547.099999999627471,2855956.149999999906868,2774956.499999999534339,2932639.419999999925494,11531099.169999999925494
20101223,2963781.620000000111759,2837142.399999999906868,2774110.479999999981374,2948752.620000000111759,11523787.120000001043081
20101227,2951857.599999999627471,2820586.299999999813735,2752113.959999999962747,2941098.850000000093132,11465656.709999999031425
20101228,2939933.579999999608845,2811555.699999999720603,2764804.259999999776483,2957614.879999999888241,11473908.419999998062849
20101229,2942757.689999999944121,2829616.899999999906868,2769034.359999999869615,2955600.729999999981374,11497009.679999999701977
20101230,2945581.799999999813735,2820586.299999999813735,2770726.399999999906868,2955197.899999999906868,11492092.400000000372529
