訓練日期,20120731 - 20121101
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11234063.460000000894070
真實報酬,1234063.460000000894070

夏普值報酬,0.114706346000000
夏普值風險,0.041922341881003
夏普值,2.736162648680128

預期報酬,21825.598728447122994
風險,115208.014660617482150
趨勢值,0.189445142273665
找到最佳解世代,2176
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](4),HD[9](1),PFE[20](6),PG[21](5),TRV[22](3),
20120816,2051743.250000000000000,2114927.479999999981374,2026149.119999999878928,2058369.900000000139698,2025944.799999999813735,10277134.550000000745058
20120817,2053924.000000000000000,2130701.839999999850988,2006748.159999999683350,2058369.900000000139698,2060748.799999999813735,10310492.699999999254942
20120820,2087230.000000000000000,2124692.560000000055879,2016870.399999999906868,2050689.650000000139698,2076885.199999999953434,10356367.810000000521541
20120821,2088022.999999999767169,2115303.060000000055879,1998312.959999999962747,2051304.070000000065193,2063912.800000000046566,10316855.890000000596046
20120822,2075136.750000000000000,2127321.620000000111759,1999156.479999999748543,2053761.750000000000000,2070873.599999999860302,10326250.199999999254942
20120823,2063440.000000000000000,2123941.399999999906868,2002530.559999999823049,2048539.180000000400469,2050307.599999999860302,10288758.740000000223517
20120824,2080885.999999999767169,2139340.180000000167638,2025305.599999999860302,2058984.320000000065193,2069291.600000000093132,10373807.699999999254942
20120827,2084058.000000000000000,2128448.359999999869615,2015183.359999999869615,2061749.210000000195578,2062330.800000000046566,10351769.729999998584390
20120828,2082273.750000000000000,2123190.240000000223517,2011809.280000000027940,2058062.689999999944121,2051573.199999999953434,10326909.160000000149012
20120829,2092186.250000000000000,2134833.220000000204891,2021088.000000000000000,2054376.170000000391155,2050307.599999999860302,10352791.240000000223517
20120830,2076128.000000000000000,2126570.459999999962747,2010965.759999999776483,2054683.379999999888241,2040499.199999999720603,10308846.799999998882413
20120831,2095953.000000000000000,2131453.000000000000000,2012652.799999999813735,2064206.890000000130385,2048409.199999999720603,10352674.889999998733401
20120904,2109632.250000000000000,2132955.319999999832362,2005904.639999999897555,2070658.300000000279397,2045245.199999999953434,10364395.709999999031425
20120905,2179614.500000000000000,2123565.819999999832362,2017713.919999999925494,2067278.990000000223517,2041764.799999999813735,10429938.030000001192093
20120906,2250984.500000000000000,2165255.199999999720603,2053141.759999999776483,2096463.939999999944121,2067393.199999999953434,10633238.599999997764826
20120907,2306296.250000000000000,2150607.580000000074506,2044706.559999999823049,2105065.820000000298023,2063279.999999999767169,10669956.210000000894070
20120910,2273585.000000000000000,2152109.899999999906868,2032897.280000000027940,2104758.610000000335276,2066444.000000000000000,10629794.790000000968575
20120911,2313433.250000000000000,2130326.259999999776483,2038801.919999999925494,2097078.360000000335276,2118333.599999999627471,10697973.389999998733401
20120912,2344162.000000000000000,2142720.399999999906868,2030366.719999999972060,2092163.000000000000000,2137001.200000000186265,10746413.320000000298023
20120913,2392336.750000000000000,2189667.899999999906868,2045550.079999999841675,2117047.009999999776483,2165793.599999999627471,10910395.339999999850988
20120914,2406016.000000000000000,2233235.180000000167638,2007591.679999999934807,2124727.259999999776483,2169906.799999999813735,10941476.919999998062849
20120917,2377071.500000000000000,2212578.279999999795109,2026149.119999999878928,2127492.150000000372529,2166742.799999999813735,10910033.850000001490116
20120918,2376675.000000000000000,2210700.379999999888241,2025305.599999999860302,2126570.520000000484288,2166110.000000000000000,10905361.500000000000000
20120919,2359625.500000000000000,2233610.759999999776483,2037958.399999999906868,2127799.360000000335276,2158832.799999999813735,10917826.820000000298023
20120920,2332068.750000000000000,2226474.740000000223517,2059046.399999999906868,2137015.660000000149012,2165793.599999999627471,10920399.150000000372529
20120921,2314028.000000000000000,2231732.859999999869615,2068325.119999999878928,2132714.719999999739230,2170856.000000000000000,10917656.699999999254942
20120924,2311649.000000000000000,2230606.120000000111759,2087726.079999999841675,2143159.860000000335276,2164844.400000000372529,10937985.460000000894070
20120925,2250191.500000000000000,2243000.259999999776483,2095317.759999999776483,2137937.290000000037253,2166742.799999999813735,10893189.609999999403954
20120926,2241865.000000000000000,2222343.359999999869615,2094474.239999999757856,2129028.200000000186265,2144594.799999999813735,10832305.600000001490116
20120927,2284488.750000000000000,2249009.540000000037253,2105440.000000000000000,2129028.200000000186265,2164528.000000000000000,10932494.490000000223517
20120928,2253760.000000000000000,2267412.959999999962747,2096161.280000000027940,2130871.459999999962747,2159782.000000000000000,10907987.699999999254942
20121001,2316803.500000000000000,2274924.560000000055879,2112188.160000000149012,2133636.350000000558794,2185410.399999999441206,11022962.969999998807907
20121002,2324535.250000000000000,2265910.640000000130385,2118936.320000000298023,2113360.490000000223517,2173703.599999999627471,10996446.300000000745058
20121003,2337619.750000000000000,2319994.160000000149012,2135806.719999999739230,2125034.469999999739230,2183512.000000000000000,11101967.099999999627471
20121004,2377071.500000000000000,2318867.419999999925494,2138337.280000000260770,2131485.879999999888241,2192054.799999999813735,11157816.879999998956919
20121005,2365374.750000000000000,2373702.100000000093132,2152677.120000000111759,2139166.129999999888241,2200914.000000000000000,11231834.099999999627471
20121008,2368348.500000000000000,2324125.540000000037253,2142554.879999999888241,2122884.000000000000000,2200281.200000000186265,11158194.120000001043081
20121009,2371718.750000000000000,2289196.600000000093132,2134963.200000000186265,2110595.600000000558794,2193320.399999999441206,11099794.550000000745058
20121010,2380640.000000000000000,2243751.419999999925494,2122310.399999999441206,2093391.840000000083819,2195851.599999999627471,11035945.259999999776483
20121011,2418505.750000000000000,2216334.080000000074506,2118936.320000000298023,2089090.900000000139698,2188258.000000000000000,11031125.050000000745058
20121012,2383019.000000000000000,2236990.979999999981374,2118936.320000000298023,2087247.640000000130385,2174336.399999999441206,11000530.339999999850988
20121015,2468266.500000000000000,2277929.199999999720603,2156894.719999999739230,2110902.809999999590218,2208191.200000000186265,11222184.429999999701977
20121016,2442890.500000000000000,2285816.379999999888241,2176295.679999999701977,2119811.900000000372529,2230339.199999999254942,11255153.660000000149012
20121017,2476593.000000000000000,2305722.120000000111759,2179669.759999999776483,2134250.770000000484288,2258498.799999999813735,11354734.449999999254942
20121018,2481152.750000000000000,2321120.899999999906868,2196540.160000000149012,2134250.770000000484288,2339497.200000000186265,11472561.780000001192093
20121019,2450820.500000000000000,2324501.120000000111759,2172921.599999999627471,2106601.870000000111759,2325892.000000000000000,11380737.089999999850988
20121022,2433969.250000000000000,2330134.819999999832362,2159425.280000000260770,2104451.400000000372529,2341079.199999999254942,11369059.949999999254942
20121023,2359229.000000000000000,2319243.000000000000000,2124840.959999999962747,2071887.140000000130385,2321778.799999999813735,11196978.899999998509884
20121024,2374494.250000000000000,2301590.740000000223517,2134963.200000000186265,2091548.580000000074506,2315450.799999999813735,11218047.570000000298023
20121025,2373503.000000000000000,2271544.339999999850988,2160268.799999999813735,2152683.370000000111759,2281912.400000000372529,11239911.910000000149012
20121026,2367952.000000000000000,2255018.819999999832362,2145085.439999999478459,2133329.139999999664724,2264194.000000000000000,11165579.399999998509884
20121031,2426435.750000000000000,2305346.540000000037253,2097848.320000000298023,2127184.940000000409782,2244577.200000000186265,11201392.750000000000000
20121101,2475205.250000000000000,2338397.580000000074506,2070855.679999999934807,2127492.150000000372529,2222112.799999999813735,11234063.460000000894070
