訓練日期,20100920 - 20101220
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11611951.020000001415610
真實報酬,1611951.020000001415610

夏普值報酬,0.152495102000000
夏普值風險,0.043876420680178
夏普值,3.475559301237434

預期報酬,25658.593748572027835
風險,85590.678154803375946
趨勢值,0.299782573309732
找到最佳解世代,1881
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](7),DIS[6](15),INTC[11](4),KO[14](1),NKE[19](5),XOM[29](2),
20101001,1781446.959999999962747,1607831.500000000232831,1711854.550000000279397,1711835.799999999813735,1730502.839999999850988,1714926.959999999962747,10258402.609999999403954
20101004,1759811.659999999916181,1598186.500000000000000,1671982.300000000279397,1704886.600000000093132,1722738.899999999674037,1705329.609999999869615,10162939.570000000298023
20101005,1808320.280000000027940,1631461.750000000000000,1696791.699999999953434,1727471.499999999767169,1753794.659999999683350,1734670.079999999841675,10352513.970000000670552
20101006,1796022.319999999832362,1617958.749999999767169,1704766.150000000139698,1730367.000000000000000,1749481.360000000102445,1747283.739999999757856,10345883.320000000298023
20101007,1793289.439999999711290,1635319.749999999767169,1718942.949999999953434,1721101.399999999906868,1746893.379999999888241,1750848.469999999972060,10366399.389999998733401
20101008,1830411.060000000055879,1664254.750000000000000,1729575.550000000046566,1720522.300000000046566,1769322.540000000037253,1765381.599999999860302,10479471.799999998882413
20101011,1821529.199999999953434,1667148.250000000000000,1733119.750000000000000,1724576.000000000000000,1768459.879999999888241,1770043.169999999692664,10484880.250000000000000
20101012,1806953.840000000083819,1662807.999999999767169,1751726.800000000046566,1725734.199999999953434,1765871.899999999674037,1774156.320000000065193,10487255.060000000521541
20101013,1828589.140000000130385,1683544.749999999767169,1704766.150000000139698,1735578.899999999906868,1769322.540000000037253,1783479.459999999962747,10505284.940000001341105
20101014,1819935.019999999785796,1680651.250000000000000,1711854.550000000279397,1734999.800000000046566,1763283.919999999925494,1790608.919999999692664,10501337.459999999031425
20101015,1816291.179999999934807,1682098.000000000232831,1711854.550000000279397,1735578.899999999906868,1768459.879999999888241,1787592.609999999869615,10501879.120000001043081
20101018,1827450.439999999711290,1675828.750000000000000,1700335.900000000372529,1737316.199999999953434,1761558.600000000093132,1817481.500000000000000,10519975.390000000596046
20101019,1788962.379999999888241,1651234.000000000000000,1702108.000000000232831,1747160.900000000139698,1740854.759999999776483,1785673.139999999897555,10415997.179999999701977
20101020,1829272.359999999869615,1669559.499999999767169,1740208.150000000139698,1770903.999999999767169,1752069.339999999850988,1810077.830000000074506,10572095.179999999701977
20101021,1796705.540000000037253,1672453.000000000000000,1750840.750000000232831,1780169.599999999860302,1771047.860000000102445,1818578.339999999618158,10589799.089999999850988
20101022,1783952.099999999860302,1686438.250000000000000,1757929.150000000139698,1784223.299999999813735,1766734.559999999823049,1819126.760000000009313,10598408.119999999180436
20101025,1800349.379999999888241,1710068.500000000000000,1760587.300000000279397,1766850.300000000046566,1769322.540000000037253,1815287.820000000065193,10622469.839999999850988
20101026,1791239.780000000027940,1734181.000000000000000,1775650.150000000139698,1773220.399999999906868,1764146.579999999841675,1824336.750000000000000,10662778.660000000149012
20101027,1781446.959999999962747,1732252.000000000000000,1788940.900000000372529,1772062.199999999953434,1747756.040000000037253,1800754.689999999944121,10623216.790000000968575
20101028,1770515.439999999711290,1760704.750000000000000,1813750.300000000046566,1772641.299999999813735,1749481.360000000102445,1815836.239999999757856,10682933.389999998733401
20101029,1790101.079999999841675,1742379.250000000232831,1776536.200000000186265,1775536.800000000046566,1756382.639999999897555,1823239.909999999683350,10664179.880000000819564
20101101,1805359.659999999916181,1737556.750000000000000,1822610.800000000279397,1787118.799999999813735,1748618.699999999953434,1835853.570000000065193,10737122.280000001192093
20101102,1816291.179999999934807,1741414.750000000000000,1802231.650000000139698,1791172.500000000000000,1763283.919999999925494,1860258.260000000009313,10774656.259999999776483
20101103,1819251.799999999813735,1750095.250000000000000,1814636.350000000325963,1794068.000000000000000,1765009.239999999990687,1863822.989999999757856,10806887.630000000819564
20101104,1894406.000000000000000,1785781.750000000000000,1858052.800000000046566,1808545.500000000000000,1798652.979999999981374,1902486.599999999860302,11047929.629999998956919
20101105,1902604.640000000130385,1793980.000000000232831,1881976.150000000139698,1812020.099999999860302,1814180.860000000102445,1919487.619999999878928,11124253.369999999180436
20101108,1893039.560000000055879,1787228.500000000000000,1881090.100000000325963,1808545.500000000000000,1802966.279999999795109,1928262.339999999618158,11101136.279999999329448
20101109,1865483.019999999785796,1777583.500000000000000,1874887.750000000232831,1813757.399999999906868,1794339.679999999934807,1936762.849999999860302,11062818.199999999254942
20101110,1878008.719999999739230,1783852.750000000000000,1864255.150000000139698,1811441.000000000000000,1809004.899999999674037,1950473.349999999860302,11097039.869999999180436
20101111,1877553.239999999990687,1732734.250000000000000,1879318.000000000232831,1818390.199999999953434,1804691.600000000093132,1969668.049999999813735,11082359.339999999850988
20101112,1845669.640000000130385,1820503.750000000000000,1907671.600000000325963,1821864.800000000046566,1782262.439999999944121,1946634.409999999683350,11124610.640000000596046
20101115,1863433.359999999869615,1796391.250000000000000,1887292.450000000186265,1823023.000000000000000,1764146.579999999841675,1932649.699999999953434,11066940.339999999850988
20101116,1830411.060000000055879,1780477.000000000000000,1866913.300000000279397,1797542.599999999860302,1736541.459999999729916,1890421.359999999869615,10902310.779999999329448
20101117,1848630.260000000009313,1794944.500000000000000,1867799.350000000093132,1810282.800000000046566,1755519.979999999981374,1892340.830000000074506,10969521.719999998807907
20101118,1892811.819999999832362,1812305.500000000000000,1862483.050000000046566,1848503.400000000139698,1778811.800000000046566,1927988.129999999888241,11122907.699999999254942
20101119,1912397.459999999962747,1784817.250000000000000,1873115.650000000139698,1862401.799999999813735,1850412.579999999841675,1934294.959999999962747,11217443.699999999254942
20101122,1913080.679999999934807,1781923.750000000232831,1882862.200000000186265,1861243.600000000093132,1853000.559999999823049,1924697.609999999869615,11216812.400000000372529
20101123,1881880.299999999813735,1741896.999999999767169,1868685.400000000139698,1842133.299999999813735,1839198.000000000000000,1891518.199999999953434,11065316.199999999254942
20101124,1928794.739999999990687,1778065.749999999767169,1895266.900000000139698,1871088.300000000046566,1865940.459999999729916,1916197.099999999860302,11255357.249999998137355
20101126,1916041.299999999813735,1769867.500000000232831,1890836.650000000139698,1856610.800000000046566,1853863.219999999739230,1898373.449999999953434,11185596.919999998062849
20101129,1905565.260000000009313,1756364.500000000000000,1889950.600000000093132,1835763.199999999953434,1836610.019999999785796,1904406.070000000065193,11128663.650000000372529
20101130,1926745.079999999841675,1760704.750000000000000,1874887.750000000232831,1829393.099999999860302,1857313.860000000102445,1907422.379999999888241,11156470.919999998062849
20101201,1991650.979999999981374,1790121.999999999767169,1903241.350000000325963,1873404.699999999953434,1890094.939999999944121,1955957.549999999813735,11404475.519999999552965
20101202,2018296.560000000055879,1800731.500000000232831,1922734.450000000186265,1879195.700000000186265,1894408.239999999990687,1960070.699999999953434,11475441.150000000372529
20101203,2035604.799999999813735,1812787.750000000232831,1921848.400000000372529,1867613.699999999953434,1887506.959999999729916,1952118.609999999869615,11477484.219999998807907
20101206,2031505.479999999981374,1811341.000000000000000,1922734.450000000186265,1853136.199999999953434,1891820.259999999776483,1955409.129999999888241,11465950.519999999552965
20101207,2057695.579999999841675,1800249.250000000000000,1912101.850000000093132,1857189.899999999906868,1880605.679999999934807,1959522.279999999795109,11467368.539999999105930
20101208,2041070.560000000055879,1782888.250000000000000,1933367.050000000279397,1864718.200000000186265,1883193.659999999683350,1970216.469999999739230,11475458.190000001341105
20101209,2042209.260000000009313,1771796.500000000000000,1932481.000000000000000,1877458.400000000139698,1886644.300000000046566,1974329.619999999878928,11484923.080000000074506
20101210,2048358.239999999990687,1767938.499999999767169,1941341.500000000232831,1872246.499999999767169,1893545.579999999841675,1979265.400000000139698,11502699.720000000670552
20101213,2086846.299999999813735,1790604.250000000232831,1905013.450000000186265,1877458.400000000139698,1924601.339999999850988,1984201.179999999934807,11568728.919999999925494
20101214,2097322.339999999850988,1795909.000000000000000,1902355.300000000046566,1850240.699999999953434,1925464.000000000000000,1979265.400000000139698,11550560.740000000223517
20101215,2120779.559999999590218,1781923.750000000232831,1885520.350000000325963,1874562.899999999906868,1910798.779999999795109,1970216.469999999739230,11543805.809999998658895
20101216,2122601.480000000447035,1784817.250000000000000,1887292.450000000186265,1891935.900000000139698,1924601.339999999850988,1980362.239999999757856,11591614.660000002011657
20101217,2108709.339999999850988,1786746.249999999767169,1901469.250000000232831,1902359.699999999953434,1941854.540000000037253,1978991.189999999944121,11620134.269999999552965
20101220,2124878.879999999888241,1787228.500000000000000,1881090.100000000325963,1891356.799999999813735,1947030.500000000000000,1980362.239999999757856,11611951.020000001415610
