訓練日期,20141211 - 20150317
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12307249.509999997913837
真實報酬,2307249.509999997913837

夏普值報酬,0.222024951000000
夏普值風險,0.055789453047613
夏普值,3.979693990018432

預期報酬,34906.491930603719084
風險,149047.059631153970258
趨勢值,0.234197789724847
找到最佳解世代,1880
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),UNH[23](3),WBA[27](4),
20150126,3585519.489999999757856,3754493.279999999795109,3709458.589999999850988,11049472.359999999403954
20150127,3542998.119999999646097,3700670.879999999888241,3664949.580000000074506,10908619.580000000074506
20150128,3734477.999999999534339,3648530.429999999701977,3608212.819999999366701,10991222.250000000000000
20150129,3952166.020000000018626,3679814.699999999720603,3647341.619999999180436,11279323.339999999850988
20150130,3887715.390000000130385,3574188.239999999757856,3607234.599999999627471,11069139.230000000447035
20150202,3911516.659999999683350,3609172.799999999813735,3662993.139999999664724,11183683.599999997764826
20150203,3940399.100000000093132,3626665.079999999608845,3658102.040000000037253,11225167.219999998807907
20150204,3937189.939999999944121,3630365.369999999646097,3652232.719999999739230,11219789.029999999329448
20150205,3974095.279999999795109,3660640.469999999739230,3658102.040000000037253,11292838.789999999105930
20150206,3958049.479999999981374,3619600.889999999664724,3724621.000000000000000,11302272.369999999180436
20150209,3946817.420000000391155,3582261.599999999627471,3736848.750000000000000,11265928.769999999552965
20150210,3959119.199999999720603,3665686.319999999832362,3751032.939999999478459,11375839.459999999031425
20150211,3955910.039999999571592,3695288.639999999664724,3889940.179999999701977,11541139.859999999403954
20150212,3960456.350000000093132,3694952.250000000000000,3910971.909999999217689,11566381.509999997913837
20150213,4004314.869999999646097,3681496.649999999906868,3850811.379999999888241,11536623.899999998509884
20150217,4009396.039999999571592,3692261.129999999888241,3815106.349999999627471,11516764.519999999552965
20150218,4042824.789999999571592,3692597.519999999552965,3804835.040000000037253,11540258.349999997764826
20150219,4111821.729999999981374,3701343.659999999683350,3771086.449999999254942,11584252.839999999850988
20150220,4233769.810000000521541,3788468.669999999925494,3772553.779999999329448,11794793.259999999776483
20150223,4138297.300000000279397,3915624.089999999850988,3843963.839999999850988,11897886.230000000447035
20150224,4128669.819999999832362,3882994.259999999776483,3932003.639999999664724,11943668.719999998807907
20150225,4092031.909999999683350,3836572.439999999478459,3913417.459999999962747,11842022.809999998658895
20150226,4057800.869999999646097,3823453.229999999515712,3993631.500000000000000,11874886.599999999627471
20150227,4034267.029999999795109,3822444.059999999590218,4063574.229999999515712,11920286.320000000298023
20150302,4113158.880000000353903,3848346.089999999850988,4089986.169999999925494,12051492.140000000596046
20150303,4160493.989999999757856,3796542.029999999795109,4069932.659999999217689,12026969.679999999701977
20150304,4127867.529999999795109,3828835.469999999739230,4060639.569999999366701,12017343.570000000298023
20150305,4131076.689999999944121,3861465.299999999813735,4069443.549999999813735,12061986.539999999105930
20150306,4094973.640000000130385,3797214.809999999590218,4027869.199999999254942,11920058.649999998509884
20150309,4138564.729999999981374,3865165.589999999850988,4084116.849999999627471,12087848.169999999925494
20150310,4076253.539999999571592,3783086.429999999701977,4045966.269999999552965,11905307.239999998360872
20150311,4042824.789999999571592,3791832.569999999832362,4035694.959999999962747,11870353.320000000298023
20150312,4066091.199999999720603,3864492.809999999590218,4120800.099999999627471,12051385.109999999403954
20150313,4053521.989999999757856,3876939.239999999757856,4094877.269999999552965,12025339.500000000000000
20150316,4109682.289999999571592,3986938.769999999552965,4244055.819999999366701,12340677.879999998956919
20150317,4132146.409999999683350,3955990.889999999664724,4219111.209999999962747,12307249.509999997913837
