訓練日期,20170215 - 20170518
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10766707.269999999552965
真實報酬,766707.269999999552965

夏普值報酬,0.067970727000000
夏普值風險,0.021522954615524
夏普值,3.158057442121577

預期報酬,13292.963285432133489
風險,64482.495465878739196
趨勢值,0.206148400265715
找到最佳解世代,2235
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),DIS[6](15),KO[14](1),WMT[28](2),
Stock#,AAPL[0](5),DIS[6](15),KO[14](1),WMT[28](2),
張數,18515,22659,61682,36411,
20170327,2608497.899999999441206,2546450.950000000186265,2610410.780000000260770,2536411.000000000000000,10301770.629999998956919
20170328,2662561.699999999720603,2561632.479999999981374,2617195.799999999813735,2560442.259999999776483,10401832.239999998360872
20170329,2668486.500000000000000,2549849.800000000279397,2616578.979999999981374,2575734.879999999888241,10410650.160000000149012
20170330,2664968.649999999906868,2564578.150000000372529,2627681.740000000223517,2606684.230000000447035,10463912.770000001415610
20170331,2659969.599999999627471,2569336.540000000502914,2617812.620000000111759,2624525.620000000111759,10471644.380000000819564
20170403,2660710.199999999720603,2565031.330000000540167,2615962.159999999683350,2615422.870000000111759,10457126.559999998658895
20170404,2680521.250000000000000,2561405.890000000596046,2632616.299999999813735,2621976.850000000558794,10496520.290000000968575
20170405,2666635.000000000000000,2560499.530000000260770,2625831.280000000260770,2608868.890000000596046,10461834.700000001117587
20170406,2659969.599999999627471,2561632.479999999981374,2631999.479999999981374,2600858.470000000670552,10454460.030000001192093
20170407,2654044.799999999813735,2550982.750000000000000,2628298.560000000055879,2654382.640000000596046,10487708.750000000000000
20170410,2650897.249999999534339,2547583.900000000372529,2633233.120000000111759,2660208.400000000372529,10491922.670000001788139
20170411,2622384.149999999441206,2562085.660000000149012,2631382.659999999683350,2673680.470000000670552,10489532.939999999478459
20170412,2625531.699999999720603,2561405.890000000596046,2648653.620000000111759,2674044.580000000074506,10509635.789999999105930
20170413,2611645.449999999720603,2565031.330000000540167,2639401.319999999832362,2663485.390000000596046,10479563.490000000223517
20170417,2626087.149999999906868,2578173.550000000279397,2656672.280000000260770,2675865.129999999888241,10536798.109999999403954
20170418,2614422.699999999720603,2587463.740000000223517,2681961.899999999906868,2690429.530000000260770,10574277.870000001043081
20170419,2604794.899999999906868,2577040.600000000558794,2666541.399999999906868,2696983.509999999776483,10545360.410000000149012
20170420,2637381.299999999813735,2601059.140000000596046,2657905.920000000391155,2723563.540000000037253,10619909.900000002235174
20170421,2634233.750000000000000,2593128.490000000223517,2656672.280000000260770,2728661.080000000074506,10612695.600000001490116
20170424,2659599.299999999348074,2576360.830000000540167,2669625.500000000000000,2722835.320000000298023,10628420.949999999254942
20170425,2676077.649999999906868,2609896.150000000372529,2659139.560000000055879,2732666.290000000037253,10677779.650000002235174
20170426,2660339.899999999906868,2618959.750000000000000,2667158.220000000204891,2746502.470000000670552,10692960.340000001713634
20170427,2662376.549999999348074,2624851.090000000316650,2652971.359999999869615,2746866.580000000074506,10687065.580000000074506
20170428,2659784.449999999720603,2619412.930000000167638,2661606.839999999850988,2737399.720000000670552,10678203.940000001341105
20170501,2714033.399999999906868,2599699.600000000558794,2665924.580000000074506,2739220.270000000484288,10718877.850000001490116
20170502,2731252.349999999627471,2591542.360000000335276,2676410.520000000018626,2749779.459999999962747,10748984.690000001341105
20170503,2722920.599999999627471,2529230.110000000335276,2672092.780000000260770,2758518.100000000558794,10682761.589999999850988
20170504,2713107.649999999906868,2519033.560000000521541,2693064.659999999683350,2779636.480000000447035,10704842.350000001490116
20170505,2758099.100000000093132,2537613.939999999944121,2694915.120000000111759,2785462.240000000223517,10776090.400000000372529
20170508,2833084.849999999627471,2524698.310000000521541,2707251.520000000018626,2771626.060000000521541,10836660.740000000223517
20170509,2851229.549999999813735,2539426.660000000149012,2683812.359999999869615,2793472.660000000149012,10867941.230000000447035
20170510,2837713.599999999627471,2484818.470000000204891,2687513.280000000260770,2792744.440000000409782,10802789.790000000968575
20170511,2850488.949999999720603,2483005.750000000000000,2693681.479999999981374,2771990.169999999925494,10799166.349999999627471
20170512,2890296.199999999720603,2485498.240000000223517,2688746.920000000391155,2756697.549999999813735,10821238.910000000149012
20170515,2882890.199999999720603,2472809.200000000186265,2697382.399999999906868,2777815.930000000633299,10830897.730000000447035
20170516,2878631.749999999534339,2446751.350000000558794,2704784.240000000223517,2734850.950000000186265,10765018.289999999105930
20170517,2781983.449999999720603,2408910.820000000298023,2709718.799999999813735,2735215.060000000521541,10635828.129999998956919
20170518,2824382.799999999348074,2417294.650000000372529,2701700.139999999664724,2823329.680000000633299,10766707.269999999552965
