訓練日期,20110909 - 20111209
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11779200.150000000372529
真實報酬,1779200.150000000372529

夏普值報酬,0.169220015000000
夏普值風險,0.048421974691041
夏普值,3.494694631512168

預期報酬,26821.849669140014157
風險,193447.139592435269151
趨勢值,0.138652087209197
找到最佳解世代,2596
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),IBM[10](4),WMT[28](3),
20111109,3815975.999999999534339,3676038.290000000037253,3706181.959999999497086,11198197.249999998137355
20111110,3820083.600000000558794,3698428.100000000093132,3711289.479999999981374,11229802.180000001564622
20111111,3908397.000000000465661,3779717.229999999981374,3779602.560000000055879,11467717.790000000968575
20111114,3927908.100000000093132,3779112.100000000093132,3759810.919999999925494,11466832.120000001043081
20111115,3909423.899999999906868,3807351.500000000000000,3668514.000000000000000,11385290.400000000372529
20111116,3885805.200000000651926,3764387.270000000018626,3618715.679999999701977,11268909.150000000372529
20111117,3863213.399999999906868,3746435.079999999608845,3621907.879999999422580,11231557.359999999403954
20111118,3889912.800000000279397,3736551.290000000037253,3653829.879999999422580,11280294.969999998807907
20111121,3805707.000000000465661,3660708.329999999608845,3617438.799999999348074,11083855.129999998956919
20111122,3809814.600000000093132,3657279.260000000242144,3629569.159999999683350,11096664.019999999552965
20111123,3750254.400000000372529,3589504.699999999720603,3616161.919999999925494,10955922.019999999552965
20111125,3745119.899999999906868,3571552.510000000242144,3632122.919999999925494,10948796.330000000074506
20111128,3830352.599999999627471,3675433.160000000149012,3655106.759999999776483,11160893.519999999552965
20111129,4000818.000000000000000,3649815.989999999757856,3713843.239999999757856,11364478.230000000447035
20111130,4027517.399999999906868,3792223.250000000000000,3760449.359999999869615,11580191.009999999776483
20111201,4039840.200000000651926,3821471.199999999720603,3741934.599999999627471,11603247.000000000000000
20111202,4101454.199999999720603,3825707.109999999869615,3708735.720000000204891,11635898.029999999329448
20111205,4131234.299999999813735,3849508.890000000130385,3724696.720000000204891,11705440.910000000149012
20111206,4140476.399999999906868,3891867.989999999757856,3752788.080000000074506,11785133.469999998807907
20111207,4182579.299999999813735,3914257.800000000279397,3735550.199999999720603,11832388.299999998882413
20111208,4098373.499999999534339,3864435.430000000167638,3701712.879999999422580,11664522.809999998658895
20111209,4131234.299999999813735,3924545.010000000242144,3723419.839999999850988,11779200.150000000372529
