訓練日期,20160225 - 20160526
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11180012.250000000000000
真實報酬,1180012.250000000000000

夏普值報酬,0.109301225000000
夏普值風險,0.032141150272594
夏普值,3.400663139713433

預期報酬,19200.742055623763008
風險,89792.208366582271992
趨勢值,0.213835280420274
找到最佳解世代,2130
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
IBM[10](15),JNJ[12](1),PFE[20](8),XOM[29](2),
20160425,2801388.250000000000000,2703643.900000000372529,2765653.629999999888241,2678175.270000000018626,10948861.050000000745058
20160426,2806471.000000000465661,2689353.100000000093132,2752329.309999999590218,2687375.370000000111759,10935528.780000001192093
20160427,2832637.750000000000000,2686018.580000000074506,2748165.459999999962747,2712828.979999999981374,10979650.769999999552965
20160428,2768632.750000000000000,2679111.360000000335276,2740670.529999999795109,2699642.170000000391155,10888056.810000000521541
20160429,2747360.500000000000000,2669584.160000000149012,2724015.129999999888241,2710988.960000000428408,10851948.750000000000000
20160502,2734747.750000000000000,2685542.220000000204891,2731510.059999999590218,2733375.870000000111759,10885175.900000000372529
20160503,2713287.250000000000000,2684113.140000000130385,2806459.360000000335276,2702095.530000000260770,10905955.280000001192093
20160504,2715546.250000000000000,2672918.680000000167638,2781476.259999999776483,2696882.140000000130385,10866823.330000000074506
20160505,2757337.750000000000000,2688638.560000000055879,2795633.350000000093132,2699948.840000000316650,10941558.500000000000000
20160506,2772774.250000000000000,2685304.040000000037253,2796466.119999999646097,2714362.330000000074506,10968906.740000000223517
20160509,2773715.500000000000000,2708645.680000000167638,2816452.600000000093132,2716202.350000000093132,11015016.129999998956919
20160510,2823225.250000000000000,2731272.780000000260770,2814787.059999999590218,2759749.490000000223517,11129034.580000000074506
20160511,2804023.750000000000000,2724127.380000000353903,2761489.779999999795109,2723562.430000000167638,11013203.339999999850988
20160512,2801953.000000000000000,2720792.860000000335276,2763988.089999999850988,2749936.050000000279397,11036670.000000000000000
20160513,2780869.000000000000000,2704834.800000000279397,2763988.089999999850988,2718962.379999999888241,10968654.269999999552965
20160516,2813624.500000000000000,2725794.640000000130385,2779810.720000000204891,2746869.350000000093132,11066099.210000000894070
20160517,2786140.000000000000000,2711265.660000000149012,2750663.770000000018626,2745642.670000000391155,10993712.099999999627471
20160518,2773715.500000000000000,2705549.340000000316650,2762322.550000000279397,2740122.609999999869615,10981710.000000000000000
20160519,2728347.250000000000000,2687924.020000000018626,2779810.720000000204891,2763429.530000000260770,10959511.519999999552965
20160520,2772021.250000000000000,2682922.240000000223517,2809790.439999999944121,2752082.740000000223517,11016816.669999999925494
20160523,2762985.250000000000000,2671489.600000000093132,2803961.050000000279397,2747789.359999999869615,10986225.259999999776483
20160524,2791975.750000000000000,2684113.140000000130385,2839770.160000000149012,2749936.050000000279397,11065795.100000001490116
20160525,2855604.250000000000000,2699833.020000000018626,2860589.410000000149012,2768029.580000000074506,11184056.259999999776483
20160526,2869723.000000000000000,2689114.920000000391155,2867251.569999999832362,2753922.760000000242144,11180012.250000000000000
