訓練日期,20130628 - 20130930
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11756648.699999999254942
真實報酬,1756648.699999999254942

夏普值報酬,0.166964870000000
夏普值風險,0.045512617718028
夏普值,3.668540250407577

預期報酬,29350.147959856945818
風險,136737.609976723295404
趨勢值,0.214645758141108
找到最佳解世代,1645
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](8),DD[7](1),NKE[19](7),
20130809,2885329.479999999981374,2552834.479999999981374,2939546.500000000465661,2660461.999999999534339,11038172.460000000894070
20130812,2967550.879999999888241,2526417.239999999757856,2896134.500000000000000,2668485.100000000093132,11058587.719999998807907
20130813,3108438.359999999869615,2574646.880000000353903,2927065.550000000279397,2640404.249999999534339,11250555.040000000968575
20130814,3164882.239999999757856,2524478.359999999869615,2917297.850000000093132,2581033.310000000055879,11187691.759999999776483
20130815,3161326.719999999739230,2489820.880000000353903,2871172.600000000093132,2547336.290000000037253,11069656.489999998360872
20130816,3189326.440000000409782,2507755.520000000018626,2850551.900000000372529,2553754.770000000018626,11101388.630000000819564
20130819,3223548.319999999832362,2538050.520000000018626,2830473.850000000093132,2595474.890000000130385,11187547.580000000074506
20130820,3181326.520000000018626,2535869.279999999795109,2855435.750000000000000,2593067.959999999962747,11165699.510000001639128
20130821,3189770.879999999888241,2518419.359999999869615,2870087.300000000279397,2573010.209999999962747,11151287.750000000000000
20130822,3193326.399999999906868,2548229.640000000130385,2873885.850000000093132,2601893.370000000111759,11217335.260000001639128
20130823,3180882.079999999608845,2556469.880000000353903,2993811.500000000465661,2575417.140000000130385,11306580.600000001490116
20130826,3193326.399999999906868,2557681.680000000167638,2986757.050000000279397,2564184.800000000279397,11301949.930000001564622
20130827,3102216.199999999720603,2501454.160000000149012,2902646.300000000279397,2520057.750000000000000,11026374.410000000149012
20130828,3116882.719999999739230,2502908.319999999832362,2893963.899999999906868,2542522.430000000167638,11056277.369999999180436
20130829,3121771.559999999590218,2543140.080000000074506,2899390.400000000372529,2546533.979999999981374,11110836.019999999552965
20130830,3093327.399999999906868,2518661.720000000204891,2890165.350000000093132,2520057.750000000000000,11022212.220000000670552
20130903,3102216.199999999720603,2545078.960000000428408,2893421.250000000000000,2579428.689999999944121,11120145.099999999627471
20130904,3166215.559999999590218,2578039.920000000391155,2919468.450000000186265,2613125.709999999962747,11276849.640000000596046
20130905,3144438.000000000000000,2584826.000000000000000,2968306.950000000186265,2622753.429999999701977,11320324.379999998956919
20130906,3163104.479999999981374,2570769.120000000111759,2979702.600000000093132,2606707.229999999981374,11320283.429999999701977
20130909,3213770.640000000130385,2597913.439999999944121,2999238.000000000465661,2623555.740000000223517,11434477.820000000298023
20130910,3140438.040000000037253,2621664.720000000204891,3089860.550000000279397,2680519.749999999534339,11532483.060000000521541
20130911,2969773.079999999608845,2647354.880000000353903,3079550.200000000186265,2711809.839999999850988,11408488.000000000000000
20130912,3001328.319999999832362,2661169.399999999906868,3003036.550000000279397,2731065.279999999795109,11396599.549999998882413
20130913,2951551.040000000037253,2698250.479999999981374,3081178.150000000372529,2724646.800000000279397,11455626.470000000670552
20130916,2857774.199999999720603,2803434.720000000204891,3075751.650000000372529,2735879.140000000130385,11472839.710000000894070
20130917,2891107.199999999720603,2838334.560000000055879,3068697.200000000186265,2740692.999999999534339,11538831.960000000894070
20130918,2950217.719999999739230,2869599.000000000000000,3157691.800000000279397,2787226.979999999981374,11764735.500000000000000
20130919,2998661.680000000167638,2885110.040000000037253,3138156.399999999906868,2788029.290000000037253,11809957.410000000149012
20130920,2967550.879999999888241,2826701.279999999795109,3068154.550000000279397,2783215.429999999701977,11645622.140000000596046
20130923,3115104.959999999962747,2848028.960000000428408,3032339.650000000372529,2767169.229999999981374,11762642.800000000745058
20130924,3105327.280000000260770,2884140.600000000093132,3022571.950000000186265,2785622.359999999869615,11797662.190000001341105
20130925,3057327.760000000242144,2872264.960000000428408,3080092.850000000093132,2764762.300000000279397,11774447.870000001043081
20130926,3087105.239999999757856,2893350.279999999795109,3090403.200000000186265,2821726.310000000055879,11892585.029999999329448
20130927,3064883.239999999757856,2877839.239999999757856,3015517.500000000000000,2954107.459999999962747,11912347.440000001341105
20130930,3027105.839999999850988,2847786.600000000093132,2967764.300000000279397,2913991.959999999962747,11756648.699999999254942
