訓練日期,20130730 - 20131029
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11328141.299999998882413
真實報酬,1328141.299999998882413

夏普值報酬,0.124114130000000
夏普值風險,0.035791672382177
夏普值,3.467681774540489

預期報酬,21315.212637057586107
風險,116409.908910023063072
趨勢值,0.183104796117767
找到最佳解世代,2011
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),BA[2](3),DD[7](2),NKE[19](1),UNH[23](16),
20130828,2192586.239999999757856,1970613.719999999739230,2140046.719999999739230,2021045.750000000000000,1965655.000000000000000,10289947.429999999701977
20130829,2196025.279999999795109,2002289.840000000083819,2144059.519999999552965,2024234.500000000000000,1990383.399999999674037,10356992.539999999105930
20130830,2176016.319999999832362,1983017.019999999785796,2137237.759999999776483,2003188.750000000000000,1971150.199999999487773,10270610.049999998882413
20130903,2182269.119999999646097,2003816.399999999906868,2139645.439999999478459,2050382.250000000000000,1993680.519999999785796,10369793.729999998584390
20130904,2227289.279999999795109,2029767.919999999925494,2158906.879999999888241,2077167.750000000000000,2015386.559999999590218,10508518.389999996870756
20130905,2211969.919999999925494,2035110.879999999888241,2195022.080000000074506,2084820.749999999767169,2034345.000000000000000,10561268.629999998956919
20130906,2225100.799999999813735,2024043.319999999599531,2203448.959999999962747,2072065.750000000232831,2034894.519999999785796,10559553.349999999627471
20130909,2260741.759999999776483,2045415.159999999683350,2217895.040000000037253,2085458.500000000232831,2040114.959999999729916,10649625.419999999925494
20130910,2209156.159999999683350,2064115.519999999785796,2284908.799999999813735,2130738.750000000000000,2050555.839999999618158,10739475.070000000298023
20130911,2089102.399999999674037,2084342.439999999944121,2277284.479999999515712,2155611.000000000000000,2065667.639999999897555,10672007.960000000894070
20130912,2111299.839999999850988,2095219.179999999701977,2220704.000000000000000,2170917.000000000000000,2053578.199999999487773,10651718.219999998807907
20130913,2076284.159999999916181,2124414.639999999664724,2278488.319999999366701,2165815.000000000000000,2046434.439999999944121,10691436.559999998658895
20130916,2010317.119999999878928,2207230.519999999552965,2274475.519999999552965,2174743.500000000000000,2064019.079999999841675,10730785.740000000223517
20130917,2033765.119999999878928,2234708.599999999627471,2269258.879999999888241,2178570.000000000000000,2041763.519999999785796,10758066.119999999180436
20130918,2075346.239999999757856,2259324.379999999888241,2335068.799999999813735,2215559.500000000000000,2006869.000000000000000,10892167.919999998062849
20130919,2109424.000000000000000,2271536.860000000335276,2320622.719999999739230,2216197.250000000000000,1946421.799999999813735,10864202.629999998956919
20130920,2087539.199999999720603,2225549.239999999292195,2268857.599999999627471,2212370.750000000000000,1939003.279999999562278,10733320.069999998435378
20130923,2191335.680000000167638,2242341.400000000372529,2242373.120000000111759,2199615.750000000000000,1973348.279999999562278,10849014.229999998584390
20130924,2184457.600000000093132,2270773.580000000074506,2235150.080000000074506,2214284.000000000000000,1987086.279999999562278,10891751.539999999105930
20130925,2150692.479999999981374,2261423.400000000372529,2277685.759999999776483,2197702.500000000000000,1977744.439999999944121,10865248.580000000074506
20130926,2171639.359999999869615,2278024.739999999292195,2285310.080000000074506,2242982.750000000000000,1982690.119999999646097,10960647.049999998882413
20130927,2156007.359999999869615,2265812.259999999776483,2229933.439999999478459,2348211.500000000000000,1978019.199999999487773,10977983.759999997913837
20130930,2129432.959999999962747,2242150.580000000074506,2194620.799999999813735,2316324.000000000000000,1967578.319999999599531,10850106.660000000149012
20131001,2179455.359999999869615,2246921.080000000074506,2189404.160000000149012,2309308.750000000000000,1994230.039999999571592,10919319.389999998733401
20131002,2186646.080000000074506,2248638.459999999962747,2211474.559999999590218,2292727.250000000000000,1993955.279999999562278,10933441.629999998956919
20131003,2159133.759999999776483,2199025.259999999776483,2215487.359999999403954,2284436.500000000000000,1992581.479999999515712,10850664.359999999403954
20131004,2157257.919999999925494,2236425.979999999515712,2285310.080000000074506,2300380.250000000000000,2005495.199999999487773,10984869.429999999701977
20131007,2178517.439999999944121,2226694.160000000149012,2248793.599999999627471,2274870.250000000000000,1982964.879999999888241,10911840.329999998211861
20131008,2148191.359999999869615,2202841.660000000149012,2201442.559999999590218,2241069.500000000000000,1964006.439999999944121,10757551.519999997690320
20131009,2173202.560000000055879,2184332.120000000111759,2224315.519999999552965,2260839.750000000000000,1961258.839999999618158,10803948.789999999105930
20131010,2186958.720000000204891,2268865.379999999888241,2308584.319999999366701,2341834.000000000000000,2032696.439999999944121,11138938.859999997541308
20131011,2201027.520000000018626,2251309.939999999478459,2347107.200000000186265,2342471.750000000000000,2040664.479999999515712,11182580.890000000596046
20131014,2215408.959999999962747,2279551.299999999813735,2332661.120000000111759,2361604.250000000000000,2053028.679999999701977,11242254.309999998658895
20131015,2227289.279999999795109,2255126.339999999850988,2310590.719999999739230,2350124.750000000000000,2029674.079999999841675,11172805.169999999925494
20131016,2238231.680000000167638,2296343.459999999962747,2350317.439999999478459,2376272.500000000000000,2065942.399999999674037,11327107.480000000447035
20131017,2253238.399999999906868,2333553.360000000335276,2365164.799999999813735,2376910.250000000000000,1960984.079999999841675,11289850.889999998733401
20131018,2272934.720000000204891,2337942.219999999739230,2360750.719999999739230,2421552.750000000000000,1889271.719999999972060,11282452.130000000819564
20131021,2328584.640000000130385,2317906.120000000111759,2363559.679999999701977,2426654.750000000000000,1873885.159999999916181,11310590.349999999627471
20131022,2322019.199999999720603,2337178.939999999478459,2374394.240000000223517,2422190.500000000000000,1892019.319999999599531,11347802.199999999254942
20131023,2344529.279999999795109,2461975.219999999739230,2345100.799999999813735,2409435.500000000000000,1868664.719999999972060,11429705.520000001415610
20131024,2375793.279999999795109,2461211.939999999478459,2321425.280000000260770,2408160.000000000000000,1857674.319999999599531,11424264.820000000298023
20131025,2349218.879999999888241,2503383.160000000149012,2258424.319999999366701,2413899.750000000000000,1857949.079999999841675,11382875.189999999478459
20131028,2366726.720000000204891,2478385.739999999292195,2235150.080000000074506,2408160.000000000000000,1839265.399999999674037,11327687.939999999478459
20131029,2307637.759999999776483,2474187.700000000186265,2254812.799999999813735,2420915.000000000000000,1870588.039999999571592,11328141.299999998882413
