訓練日期,20111220 - 20120323
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13212208.750000000000000
真實報酬,3212208.750000000000000

夏普值報酬,0.312520875000000
夏普值風險,0.083984313498248
夏普值,3.721181515718621

預期報酬,54488.763039022029261
風險,114596.210113104680204
趨勢值,0.475484861019771
找到最佳解世代,2567
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MSFT[18](4),NKE[19](2),
20120131,3981073.499999999534339,3855593.000000000000000,3711633.750000000000000,11548301.250000000000000
20120201,3978631.500000000000000,3902596.399999999906868,3703068.450000000186265,11584297.350000001490116
20120202,3969473.999999999534339,3910430.299999999813735,3670234.800000000279397,11550140.099999999627471
20120203,4009156.500000000000000,3948294.149999999441206,3694503.149999999906868,11651954.799999998882413
20120206,4046397.000000000000000,3943071.549999999813735,3693075.600000000093132,11682545.150000000372529
20120207,4089132.000000000465661,3962656.299999999813735,3720199.049999999813735,11771988.350000001490116
20120208,4157507.999999999534339,4003131.449999999720603,3780156.149999999906868,11940796.599999999627471
20120209,4300975.500000000000000,4017493.599999999627471,3774445.950000000186265,12092916.050000000745058
20120210,4303417.500000000000000,3982241.049999999813735,3761598.000000000000000,12047257.550000000745058
20120213,4383393.000000000000000,3992686.249999999534339,3755887.799999999813735,12131968.050000000745058
20120214,4443222.000000000000000,3949599.799999999813735,3805852.049999999813735,12198674.850000001490116
20120215,4340658.000000000000000,3923486.799999999813735,3804424.500000000000000,12068570.300000000745058
20120216,4379730.000000000000000,4085387.399999999906868,3788721.449999999720603,12253839.849999999627471
20120217,4379119.500000000000000,4080164.799999999813735,3807279.600000000093132,12266564.900000000372529
20120221,4490230.500000000000000,4104972.149999999906868,3745894.949999999720603,12341098.599999999627471
20120222,4474357.500000000000000,4082776.099999999627471,3773018.399999999906868,12330153.000000000000000
20120223,4503661.500000000000000,4095832.600000000093132,3788721.449999999720603,12388216.549999998882413
20120224,4556164.500000000000000,4110194.750000000000000,3793004.100000000093132,12459364.349999999627471
20120227,4585468.500000000000000,4093221.299999999813735,3824410.199999999720603,12503101.000000000000000
20120228,4669717.500000000000000,4161115.100000000093132,3834403.049999999813735,12665236.649999998509884
20120229,4730767.500000000000000,4144141.649999999441206,3851533.649999999906868,12726443.799999998882413
20120301,4748472.000000000000000,4215952.399999999441206,3874374.450000000186265,12838799.849999997764826
20120302,4754577.000000000000000,4188533.749999999534339,3881512.200000000186265,12824623.949999999254942
20120305,4650181.500000000000000,4151975.549999999813735,3898642.799999999813735,12700800.850000001490116
20120306,4624540.500000000000000,4120639.949999999720603,3831547.950000000186265,12576729.399999998509884
20120307,4628203.500000000000000,4157198.149999999906868,3840113.250000000000000,12625515.900000000372529
20120308,4727104.500000000000000,4179394.199999999720603,3851533.649999999906868,12758033.349999999627471
20120309,4754577.000000000000000,4176782.899999999441206,3925766.250000000000000,12857127.149999998509884
20120312,4814406.000000000000000,4183311.149999999906868,3905780.549999999813735,12903498.699999999254942
20120313,4954821.000000000000000,4265567.099999999627471,3952889.700000000186265,13173278.800000000745058
20120314,5142244.500000000000000,4278623.600000000558794,3937186.649999999906868,13358055.750000001862645
20120315,5106835.500000000000000,4289068.799999999813735,3951462.149999999906868,13347367.450000001117587
20120316,5106835.500000000000000,4256427.549999999813735,3970020.299999999813735,13333284.350000001490116
20120319,5242366.500000000000000,4204201.549999999813735,4001426.400000000372529,13447995.450000001117587
20120320,5285101.500000000000000,4176782.899999999441206,3988578.450000000186265,13450463.849999997764826
20120321,5254576.500000000000000,4166337.699999999720603,3941469.299999999813735,13362384.500000000000000
20120322,5227104.000000000000000,4178088.549999999813735,3961455.000000000000000,13366648.550000000745058
20120323,5198410.500000000000000,4179394.199999999720603,3834403.049999999813735,13212208.750000000000000
