訓練日期,20150223 - 20150526
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10769413.169999999925494
真實報酬,769413.169999999925494

夏普值報酬,0.068241317000000
夏普值風險,0.023323445470150
夏普值,2.925867753430178

預期報酬,12962.795953878185173
風險,95575.931339163129451
趨勢值,0.135628246277591
找到最佳解世代,1865
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](2),GS[8](5),IBM[10](9),JPM[13](3),NKE[19](1),WBA[27](4),
20150312,1708431.419999999925494,1653090.879999999888241,1608922.719999999739230,1710421.899999999906868,1703530.450000000186265,1820514.960000000195578,10204916.330000000074506
20150313,1696794.489999999990687,1647782.659999999916181,1571241.919999999925494,1700110.000000000000000,1682113.959999999962747,1809062.720000000204891,10107109.750000000000000
20150316,1711619.620000000111759,1670059.780000000027940,1599757.120000000111759,1723799.500000000000000,1692997.750000000000000,1874967.120000000111759,10273204.890000000596046
20150317,1705083.809999999823049,1658486.119999999878928,1598535.040000000037253,1717110.699999999953434,1694753.200000000186265,1863947.040000000270084,10237919.910000000149012
20150318,1721184.219999999972060,1673714.619999999878928,1627559.439999999944121,1721012.500000000000000,1711956.609999999869615,1883826.400000000372529,10339257.789999999105930
20150319,1711619.620000000111759,1653264.919999999925494,1627559.439999999944121,1705684.000000000000000,1726000.209999999962747,1887715.840000000083819,10311848.030000001192093
20150320,1728517.080000000074506,1680763.239999999990687,1658824.319999999832362,1721012.500000000000000,1790249.680000000167638,1906514.800000000279397,10485885.620000001043081
20150323,1725169.469999999972060,1670581.900000000139698,1676646.319999999832362,1704011.800000000046566,1781121.339999999850988,1899816.320000000298023,10457351.149999998509884
20150324,1707474.959999999962747,1664664.540000000037253,1660046.399999999906868,1685060.199999999953434,1767077.739999999990687,1901544.960000000195578,10385872.800000000745058
20150325,1673839.449999999953434,1630465.679999999934807,1621347.199999999720603,1661370.699999999953434,1737937.270000000018626,1855736.000000000000000,10180700.300000000745058
20150326,1677665.289999999804422,1629508.459999999962747,1635502.959999999962747,1659419.800000000046566,1743905.800000000046566,1824620.480000000214204,10170626.789999999105930
20150327,1681491.130000000121072,1636644.100000000093132,1633568.000000000000000,1659698.500000000000000,1753385.229999999981374,1842987.280000000260770,10207778.240000002086163
20150330,1691693.370000000111759,1662402.020000000018626,1656685.679999999701977,1698995.199999999953434,1771290.820000000065193,1858112.880000000121072,10339183.970000000670552
20150331,1672085.939999999944121,1635860.919999999925494,1634586.399999999906868,1688404.599999999860302,1761460.300000000046566,1829806.400000000372529,10222208.560000000521541
20150401,1680853.489999999990687,1672931.439999999944121,1621143.520000000018626,1670846.500000000000000,1747767.790000000037253,1820731.040000000270084,10214277.779999999329448
20150402,1689780.449999999953434,1667014.080000000074506,1634077.199999999720603,1686732.400000000139698,1749523.239999999990687,1857680.720000000204891,10284812.090000001713634
20150406,1683882.279999999795109,1671365.080000000074506,1650269.759999999776483,1685338.899999999906868,1750927.599999999860302,1901761.040000000270084,10343548.660000000149012
20150407,1680694.080000000074506,1674323.759999999776483,1650575.279999999795109,1695929.500000000000000,1748821.060000000055879,1885987.200000000186265,10336334.879999998956919
20150408,1695519.209999999962747,1675803.100000000093132,1648334.799999999813735,1701503.500000000000000,1770237.550000000046566,1894630.400000000372529,10386032.560000000521541
20150409,1702055.019999999785796,1696078.759999999776483,1653324.959999999962747,1713208.899999999906868,1768131.010000000009313,2001373.920000000391155,10534176.569999998435378
20150410,1704924.399999999906868,1702605.259999999776483,1658620.640000000130385,1719619.000000000000000,1755140.680000000167638,1988409.120000000111759,10529323.100000001490116
20150413,1697910.360000000102445,1702083.140000000130385,1653732.319999999832362,1729930.899999999906868,1742852.530000000027940,1981710.640000000130385,10508223.890000000596046
20150414,1700301.510000000009313,1720705.419999999925494,1652917.600000000093132,1756964.800000000046566,1747416.700000000186265,1987544.800000000279397,10565854.830000000074506
20150415,1705402.630000000121072,1750118.179999999934807,1671554.319999999832362,1789572.699999999720603,1752683.050000000046566,1978037.280000000260770,10647372.160000000149012
20150416,1723256.549999999813735,1742373.400000000139698,1661370.319999999832362,1778424.699999999953434,1753736.320000000065193,1934389.120000000111759,10593554.410000000149012
20150417,1700779.739999999990687,1717485.679999999934807,1636317.679999999701977,1751390.800000000046566,1730213.290000000037253,1879072.640000000130385,10415263.830000000074506
20150420,1725169.469999999972060,1724012.179999999934807,1692227.839999999850988,1762538.800000000046566,1755491.770000000018626,1882529.920000000391155,10541973.980000000447035
20150421,1716561.330000000074506,1713047.659999999916181,1672878.239999999757856,1736619.699999999953434,1760758.119999999878928,1881881.680000000167638,10481750.730000000447035
20150422,1720705.989999999990687,1725926.619999999878928,1684080.640000000130385,1754177.800000000046566,1758300.489999999990687,1880369.120000000111759,10523564.660000000149012
20150423,1737603.449999999953434,1734541.600000000093132,1733778.560000000055879,1750276.000000000000000,1775152.810000000055879,1873238.480000000214204,10604594.900000000372529
20150424,1746052.179999999934807,1723054.959999999962747,1729093.919999999925494,1744702.000000000000000,1772344.089999999850988,1857896.800000000279397,10573147.949999999254942
20150427,1756095.010000000009313,1710263.020000000018626,1738768.719999999739230,1737455.800000000046566,1771993.000000000000000,1860921.920000000391155,10575501.470000000670552
20150428,1752269.169999999925494,1718703.959999999962747,1771255.679999999701977,1749161.199999999953434,1753034.139999999897555,1860057.600000000093132,10604485.750000000000000
20150429,1750515.659999999916181,1728015.100000000093132,1776144.000000000000000,1772572.000000000000000,1758651.580000000074506,1827429.520000000018626,10613331.859999999403954
20150430,1733139.969999999972060,1709392.819999999832362,1744471.759999999776483,1763096.199999999953434,1735128.550000000046566,1791992.400000000372529,10477225.700000001117587
20150501,1761833.769999999785796,1719052.040000000037253,1768709.679999999701977,1772850.699999999953434,1769184.280000000027940,1803444.640000000130385,10595079.109999999403954
20150504,1769963.679999999934807,1734454.580000000074506,1771764.879999999888241,1803786.399999999906868,1770237.550000000046566,1817922.000000000000000,10668133.089999999850988
20150505,1766456.659999999916181,1716963.559999999823049,1762701.120000000111759,1794868.000000000232831,1762864.660000000149012,1796530.080000000307336,10600388.080000000074506
20150506,1749080.969999999972060,1707913.479999999981374,1731843.600000000093132,1781490.400000000139698,1759353.760000000009313,1795665.760000000009313,10525351.970000000670552
20150507,1741748.110000000102445,1717833.759999999776483,1741416.560000000055879,1797655.000000000000000,1781121.339999999850988,1820082.800000000279397,10599861.570000000298023
20150508,1755297.959999999962747,1744896.979999999981374,1758627.520000000018626,1825246.299999999813735,1798324.750000000000000,1837153.120000000111759,10719550.629999998956919
20150511,1731227.049999999813735,1755600.439999999944121,1742740.479999999981374,1824131.500000000000000,1804644.369999999878928,1820514.960000000195578,10678862.800000000745058
20150512,1741429.289999999804422,1745158.040000000037253,1736935.600000000093132,1821623.199999999953434,1797271.479999999981374,1819002.400000000372529,10661424.009999999776483
20150513,1740632.239999999990687,1752989.840000000083819,1754553.919999999925494,1826082.399999999906868,1793409.489999999990687,1816625.520000000018626,10684297.410000000149012
20150514,1752428.580000000074506,1763345.219999999972060,1772579.600000000093132,1840853.500000000000000,1815879.250000000000000,1844283.760000000009313,10789373.910000000149012
20150515,1758326.750000000000000,1766390.919999999925494,1764534.239999999757856,1836115.599999999860302,1842913.180000000167638,1868484.720000000204891,10836769.410000000149012
20150518,1758804.979999999981374,1781097.300000000046566,1762497.439999999944121,1851165.400000000139698,1839051.190000000176951,1866107.840000000083819,10858728.150000000372529
20150519,1762471.409999999916181,1787536.780000000027940,1766774.719999999739230,1867608.700000000186265,1836944.650000000139698,1854871.680000000167638,10876211.939999999478459
20150520,1756732.649999999906868,1784752.140000000130385,1769626.239999999757856,1852837.600000000093132,1836593.560000000055879,1834344.080000000307336,10834890.269999999552965
20150521,1759761.439999999944121,1783620.879999999888241,1765348.959999999962747,1857575.500000000232831,1832731.570000000065193,1882962.080000000307336,10882004.429999999701977
20150522,1757689.110000000102445,1808421.580000000074506,1753942.879999999888241,1852558.899999999906868,1833433.750000000000000,1868052.560000000288710,10874102.780000001192093
20150526,1744617.489999999990687,1796064.739999999990687,1732658.319999999832362,1831935.100000000093132,1815528.160000000149012,1848605.360000000102445,10769413.169999999925494
