訓練日期,20160518 - 20160818
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10952691.269999999552965
真實報酬,952691.269999999552965

夏普值報酬,0.086569127000000
夏普值風險,0.029746853392606
夏普值,2.910194428211945

預期報酬,16584.419839534508355
風險,77758.890508412194322
趨勢值,0.213280047221615
找到最佳解世代,1975
找到最佳解實驗#,2
找到最佳解次數,35

stock[index](rank)
投資組合檔數,6
AAPL[0](15),JNJ[12](7),MSFT[18](14),PG[21](1),VZ[26](16),WBA[27](17),
20160621,1709807.339999999850988,1701072.350000000093132,1689103.280000000027940,1724343.669999999925494,1771443.600000000093132,1813108.239999999990687,10408882.480000000447035
20160622,1703389.619999999878928,1705171.829999999841675,1682504.080000000074506,1727651.349999999860302,1769151.590000000083819,1824875.919999999692664,10412748.389999998733401
20160623,1713194.469999999972060,1718641.549999999813735,1712860.399999999906868,1740882.069999999832362,1790107.110000000102445,1853641.359999999869615,10529330.959999999031425
20160624,1665061.570000000065193,1693019.799999999813735,1644228.719999999972060,1700569.720000000204891,1782248.790000000037253,1782163.599999999860302,10267296.200000001117587
20160627,1640816.850000000093132,1706489.520000000018626,1598034.320000000065193,1679276.530000000027940,1792399.120000000111759,1730080.719999999972060,10147101.060000000521541
20160628,1668448.700000000186265,1731086.400000000139698,1631360.280000000027940,1704704.319999999832362,1795018.560000000055879,1740758.799999999813735,10271381.060000002384186
20160629,1682888.570000000065193,1747191.500000000000000,1667655.880000000121072,1734680.169999999925494,1802876.880000000121072,1812890.319999999832362,10448187.320000000298023
20160630,1704280.969999999972060,1776034.270000000018626,1688443.360000000102445,1750391.650000000139698,1828416.420000000158325,1814633.679999999701977,10562204.350000001490116
20160701,1709450.800000000046566,1775887.860000000102445,1688113.399999999906868,1752665.679999999934807,1841186.189999999944121,1810057.359999999869615,10577365.289999999105930
20160705,1693406.500000000000000,1790236.039999999804422,1688443.360000000102445,1766309.859999999869615,1851009.090000000083819,1820081.679999999701977,10609490.529999999329448
20160706,1703033.080000000074506,1795653.209999999962747,1695372.520000000018626,1757833.929999999934807,1842168.479999999981374,1777151.439999999711290,10571216.660000000149012
20160707,1710342.149999999906868,1793749.880000000121072,1695372.520000000018626,1753699.329999999841675,1813354.640000000130385,1754269.839999999850988,10520792.360000001266599
20160708,1723534.130000000121072,1798727.819999999832362,1725728.839999999850988,1773131.949999999953434,1830381.000000000000000,1782599.439999999711290,10634107.179999999701977
20160711,1728882.229999999981374,1799899.100000000093132,1735297.680000000167638,1772718.489999999990687,1831363.290000000037253,1787175.760000000009313,10655340.549999998882413
20160712,1736726.110000000102445,1799752.689999999944121,1755755.199999999953434,1772718.489999999990687,1816301.510000000009313,1769960.079999999841675,10651218.080000000074506
20160713,1726921.260000000009313,1800923.969999999972060,1765654.000000000000000,1775612.709999999962747,1833655.300000000046566,1781945.679999999701977,10684716.919999999925494
20160714,1761149.100000000093132,1803559.350000000093132,1773243.080000000074506,1775199.250000000000000,1828416.420000000158325,1825747.599999999860302,10767318.800000000745058
20160715,1760970.830000000074506,1800923.969999999972060,1771923.240000000223517,1778093.470000000204891,1828416.420000000158325,1798071.760000000009313,10738403.689999999478459
20160718,1779689.179999999934807,1802973.709999999962747,1780502.199999999953434,1776439.630000000121072,1831363.290000000037253,1803955.599999999860302,10774927.609999999403954
20160719,1780402.260000000009313,1833866.219999999972060,1751795.680000000167638,1781401.150000000139698,1823832.400000000139698,1791534.159999999683350,10762835.870000001043081
20160720,1782006.689999999944121,1832255.709999999962747,1844844.399999999906868,1763829.099999999860302,1821212.959999999962747,1798071.760000000009313,10842224.619999999180436
20160721,1772558.380000000121072,1832402.120000000111759,1841214.839999999850988,1762588.720000000204891,1813027.209999999962747,1780420.239999999990687,10802215.509999999776483
20160722,1758831.589999999850988,1830645.199999999953434,1866621.760000000009313,1772098.300000000046566,1836929.600000000093132,1772793.039999999804422,10837923.489999998360872
20160725,1735299.950000000186265,1828595.459999999962747,1871901.119999999878928,1773752.139999999897555,1829398.709999999962747,1777587.279999999795109,10816538.659999998286366
20160726,1723355.860000000102445,1832402.120000000111759,1872891.000000000000000,1762795.449999999953434,1794691.130000000121072,1772357.199999999720603,10758496.759999999776483
20160727,1835309.420000000158325,1826838.539999999804422,1854083.280000000027940,1746050.319999999832362,1811390.060000000055879,1742066.319999999832362,10815741.940000001341105
20160728,1860088.950000000186265,1822299.829999999841675,1854743.199999999953434,1753285.870000000111759,1796328.280000000027940,1731606.159999999683350,10818356.290000000968575
20160729,1857771.439999999944121,1833573.400000000139698,1870251.320000000065193,1769410.810000000055879,1814336.929999999934807,1727029.839999999850988,10872377.740000000223517
20160801,1890573.119999999878928,1836062.370000000111759,1866951.719999999972060,1786362.669999999925494,1784540.800000000046566,1727465.679999999701977,10891960.359999999403954
20160802,1862584.729999999981374,1828009.819999999832362,1866951.719999999972060,1793598.220000000204891,1768169.300000000046566,1720492.239999999990687,10839810.030000001192093
20160803,1885938.100000000093132,1814100.870000000111759,1879820.159999999916181,1777266.550000000046566,1764895.000000000000000,1734657.039999999804422,10856681.719999998807907
20160804,1887364.260000000009313,1813515.229999999981374,1893678.479999999981374,1778920.389999999897555,1765877.290000000037253,1740105.039999999804422,10879464.689999999478459
20160805,1916065.729999999981374,1819078.809999999823049,1912486.199999999953434,1773338.679999999934807,1756381.820000000065193,1754923.599999999860302,10932278.839999999850988
20160808,1931931.760000000009313,1810440.620000000111759,1915785.800000000046566,1772925.220000000204891,1754744.670000000158325,1757102.799999999813735,10942934.870000001043081
20160809,1939775.640000000130385,1807219.600000000093132,1920405.240000000223517,1777680.009999999776483,1757036.679999999934807,1762768.719999999972060,10964889.890000000596046
20160810,1925335.770000000018626,1806194.729999999981374,1914465.960000000195578,1784295.370000000111759,1761948.130000000121072,1797853.839999999850988,10990097.800000000745058
20160811,1924087.880000000121072,1812197.539999999804422,1923704.839999999850988,1792978.030000000027940,1763585.280000000027940,1806788.559999999823049,11023346.130000000819564
20160812,1928544.630000000121072,1804144.989999999990687,1911826.280000000027940,1799386.660000000149012,1756709.250000000000000,1815723.279999999795109,11016339.089999999850988
20160815,1951719.729999999981374,1790821.679999999934807,1917765.560000000055879,1798973.199999999953434,1755399.530000000027940,1822042.959999999729916,11036726.660000000149012
20160816,1949937.030000000027940,1761832.500000000000000,1895328.280000000027940,1789877.079999999841675,1727567.979999999981374,1804391.439999999711290,10928938.310000000521541
20160817,1947084.709999999962747,1776180.679999999934807,1899287.800000000046566,1797732.819999999832362,1740992.610000000102445,1798289.679999999701977,10959572.299999998882413
20160818,1944588.929999999934807,1767542.489999999990687,1900607.640000000130385,1807655.859999999869615,1731169.709999999962747,1801122.639999999897555,10952691.269999999552965
