訓練日期,20120622 - 20120924
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11761039.630000000819564
真實報酬,1761039.630000000819564

夏普值報酬,0.167403963000000
夏普值風險,0.049525584207407
夏普值,3.380151202233827

預期報酬,27592.647272193455137
風險,80431.584526995167835
趨勢值,0.343057362781813
找到最佳解世代,2759
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,6
AAPL[0](4),GS[8](8),HD[9](11),MCD[15](18),PG[21](1),WBA[27](10),
20120803,1776537.679999999934807,1792328.919999999925494,1700154.390000000130385,1703749.149999999906868,1827050.750000000000000,2046879.749999999767169,10846704.640000000596046
20120806,1796330.739999999990687,1810787.879999999888241,1690725.620000000111759,1705650.849999999860302,1835697.580000000074506,2046308.000000000000000,10885504.669999999925494
20120807,1791483.460000000195578,1832441.659999999916181,1703730.820000000065193,1692719.290000000037253,1847133.709999999962747,2060030.000000000000000,10927542.940000001341105
20120808,1788453.909999999916181,1819307.399999999906868,1716410.890000000130385,1664574.129999999888241,1861080.209999999962747,2072036.750000000000000,10921867.289999999105930
20120809,1791079.520000000251457,1838831.299999999813735,1728115.570000000065193,1657347.669999999925494,1861359.140000000130385,2063460.500000000232831,10940197.700000001117587
20120810,1793705.130000000121072,1828536.879999999888241,1725189.400000000139698,1677315.520000000018626,1862474.859999999869615,2068034.500000000000000,10955260.289999999105930
20120813,1817739.560000000055879,1839008.789999999804422,1717386.280000000027940,1671610.419999999925494,1854385.890000000130385,2056599.500000000000000,10956734.439999999478459
20120814,1822586.839999999850988,1832796.639999999897555,1778835.850000000093132,1675794.159999999916181,1861359.140000000130385,2041734.000000000000000,11013110.630000000819564
20120815,1820163.200000000186265,1830489.269999999785796,1788264.620000000111759,1669898.889999999897555,1858848.770000000018626,2033157.750000000232831,11000826.500000000000000
20120816,1836118.830000000074506,1836878.909999999916181,1830856.650000000139698,1663242.939999999711290,1868890.250000000000000,2030870.750000000232831,11066862.330000000074506
20120817,1870049.790000000037253,1838831.299999999813735,1844512.110000000102445,1661341.239999999757856,1868890.250000000000000,2049166.750000000232831,11132795.439999999478459
20120820,1919128.500000000000000,1868649.619999999878928,1839310.030000000027940,1676745.010000000009313,1861917.000000000000000,2060030.000000000000000,11225784.160000000149012
20120821,1892872.400000000139698,1869359.579999999841675,1831181.780000000027940,1683400.959999999729916,1862474.859999999869615,2038303.500000000000000,11177597.080000000074506
20120822,1929832.909999999916181,1857822.729999999981374,1841585.940000000176951,1683971.469999999739230,1864706.299999999813735,2032585.999999999767169,11210509.349999999627471
20120823,1911857.580000000074506,1847350.819999999832362,1838659.770000000018626,1678266.369999999878928,1859964.490000000223517,2038875.249999999767169,11174978.280000001192093
20120824,1913675.310000000055879,1862969.939999999711290,1851990.100000000093132,1691007.760000000009313,1869448.109999999869615,2038303.500000000000000,11227398.719999998807907
20120827,1949625.969999999972060,1865809.780000000027940,1842561.330000000074506,1702798.300000000046566,1871958.479999999981374,2035444.750000000000000,11268202.609999999403954
20120828,1947000.360000000102445,1864212.369999999878928,1838009.510000000242144,1695191.500000000000000,1868611.319999999832362,2024009.750000000000000,11237038.810000000521541
20120829,1943162.929999999934807,1873086.869999999878928,1848088.540000000270084,1704890.169999999925494,1865264.160000000149012,2018292.249999999767169,11252788.919999999925494
20120830,1915493.040000000037253,1858710.179999999934807,1840935.679999999934807,1686824.020000000018626,1865543.089999999850988,2013146.500000000000000,11180656.509999999776483
20120831,1919330.469999999972060,1876459.179999999934807,1845162.370000000111759,1701847.449999999720603,1874189.919999999925494,2044592.750000000000000,11261586.139999998733401
20120904,1947404.300000000046566,1888705.989999999757856,1846462.890000000130385,1693479.969999999739230,1880047.450000000186265,2041162.250000000232831,11297266.849999999627471
20120905,1933872.310000000055879,1951359.959999999962747,1838334.640000000130385,1693670.139999999897555,1876979.220000000204891,2051453.750000000232831,11345674.019999999552965
20120906,1951241.729999999981374,2015256.360000000102445,1874424.070000000065193,1724287.510000000009313,1903477.569999999832362,2012574.750000000232831,11481265.990000000223517
20120907,1963359.929999999934807,2064776.069999999832362,1861744.000000000000000,1730943.459999999729916,1911287.609999999869615,1997709.249999999767169,11529824.320000000298023
20120910,1912261.520000000251457,2035490.219999999972060,1863044.520000000018626,1736268.219999999739230,1911008.680000000167638,2009144.250000000000000,11467221.410000000149012
20120911,1906000.450000000186265,2071165.709999999962747,1844186.979999999981374,1734366.520000000018626,1904035.430000000167638,2007429.000000000000000,11467188.089999999850988
20120912,1932458.520000000251457,2098676.659999999683350,1854916.270000000018626,1727140.059999999823049,1899572.549999999813735,2021722.750000000000000,11534490.809999998658895
20120913,1970630.849999999860302,2141806.729999999981374,1895557.520000000018626,1741402.809999999823049,1922165.879999999888241,2059458.250000000232831,11731026.039999999105930
20120914,1994463.310000000055879,2154053.540000000037253,1933272.600000000093132,1743875.020000000018626,1929139.129999999888241,2059458.250000000232831,11814265.850000001490116
20120917,2019103.650000000139698,2128140.000000000000000,1915390.449999999953434,1752242.500000000000000,1931649.500000000000000,2041162.250000000232831,11787692.350000001490116
20120918,2025162.750000000000000,2127785.020000000018626,1913764.800000000046566,1770118.479999999748543,1930812.709999999962747,2038875.249999999767169,11806523.009999999776483
20120919,2025768.659999999916181,2112520.879999999888241,1933597.729999999981374,1765364.229999999748543,1931928.430000000167638,2047451.500000000232831,11816635.429999999701977
20120920,2015872.130000000121072,2087849.769999999785796,1927420.260000000242144,1771449.669999999925494,1940296.330000000074506,2032585.999999999767169,11775478.160000000149012
20120921,2019911.530000000260770,2071698.179999999934807,1931972.080000000074506,1782099.189999999711290,1936391.310000000055879,2007429.000000000000000,11749505.289999999105930
20120924,1993049.520000000251457,2069568.299999999813735,1930996.690000000176951,1782099.189999999711290,1945874.930000000167638,2039447.000000000000000,11761039.630000000819564
