訓練日期,20120106 - 20120410
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12386514.830000000074506
真實報酬,2386514.830000000074506

夏普值報酬,0.229951483000000
夏普值風險,0.071886758512705
夏普值,3.198801667477591

預期報酬,44017.890749052479805
風險,122644.219530640373705
趨勢值,0.358907178157348
找到最佳解世代,1760
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,4
AAPL[0](2),GS[8](10),HD[9](1),UNH[23](16),
20120229,3243887.739999999757856,3043441.919999999925494,2759920.640000000130385,2650216.919999999925494,11697467.220000000670552
20120301,3256027.719999999739230,3201769.599999999627471,2753538.660000000149012,2661625.799999999813735,11872961.780000001192093
20120302,3260213.919999999459833,3170844.159999999683350,2750637.759999999776483,2654495.250000000000000,11836191.089999999850988
20120305,3188629.899999999906868,3135689.599999999627471,2749477.399999999906868,2616465.649999999906868,11690262.550000000745058
20120306,3171047.859999999869615,3004586.879999999888241,2691459.399999999906868,2588894.189999999944121,11455988.330000000074506
20120307,3173559.580000000074506,3076746.240000000223517,2749477.399999999906868,2585566.600000000093132,11585349.820000000298023
20120308,3241376.020000000018626,3097098.879999999888241,2774425.140000000130385,2643561.739999999757856,11756461.780000001192093
20120309,3260213.919999999459833,3100270.720000000204891,2790670.180000000167638,2651643.029999999795109,11802797.849999999627471
20120312,3301238.679999999701977,3092341.119999999646097,2819099.000000000000000,2615514.910000000149012,11828193.709999999031425
20120313,3397521.279999999795109,3291902.720000000204891,2851008.899999999906868,2630251.379999999888241,12170684.280000001192093
20120314,3526037.620000000111759,3181681.280000000260770,2870154.839999999850988,2651643.029999999795109,12229516.769999999552965
20120315,3501757.660000000149012,3252783.359999999869615,2854489.979999999981374,2648315.439999999944121,12257346.439999999478459
20120316,3501757.660000000149012,3249347.200000000186265,2845787.279999999795109,2642611.000000000000000,12239503.140000000596046
20120319,3594691.300000000279397,3285559.040000000037253,2833023.319999999832362,2668280.979999999981374,12381554.640000000596046
20120320,3623994.699999999720603,3331022.079999999608845,2864933.220000000204891,2604106.029999999795109,12424056.029999999329448
20120321,3603063.699999999720603,3330229.119999999646097,2888720.599999999627471,2565601.060000000055879,12387614.479999998584390
20120322,3584225.800000000279397,3297189.119999999646097,2882338.619999999646097,2561322.729999999981374,12325076.269999999552965
20120323,3564550.660000000149012,3335251.200000000186265,2874216.099999999627471,2550864.589999999850988,12324882.550000000745058
20120326,3629855.379999999422580,3385207.679999999701977,2908446.720000000204891,2619317.870000000111759,12542827.649999998509884
20120327,3674647.719999999739230,3339216.000000000000000,2903225.099999999627471,2635005.080000000074506,12552093.900000000372529
20120328,3693485.620000000111759,3340008.959999999962747,2895682.759999999776483,2635480.449999999720603,12564657.789999999105930
20120329,3647018.800000000279397,3271285.760000000242144,2895682.759999999776483,2762404.239999999757856,12576391.560000000521541
20120330,3585481.660000000149012,3287409.280000000260770,2918889.959999999962747,2801859.949999999720603,12593640.849999999627471
20120402,3699764.919999999459833,3301418.240000000223517,2900324.200000000186265,2810416.609999999869615,12711923.969999998807907
20120403,3763395.160000000149012,3243532.159999999683350,2900904.379999999888241,2823726.969999999739230,12731558.669999998062849
20120404,3733673.139999999664724,3170844.159999999683350,2892201.680000000167638,2807564.390000000130385,12604283.369999999180436
20120405,3789768.219999999739230,3119037.439999999944121,2936875.539999999571592,2805187.540000000037253,12650868.739999998360872
20120409,3804838.540000000037253,3093134.079999999608845,2934554.819999999832362,2763830.350000000093132,12596357.789999999105930
20120410,3758371.719999999739230,3028111.359999999869615,2863772.859999999869615,2736258.890000000130385,12386514.830000000074506
