訓練日期,20101202 - 20110307
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11703350.910000000149012
真實報酬,1703350.910000000149012

夏普值報酬,0.161635091000000
夏普值風險,0.047694503705774
夏普值,3.388966829325306

預期報酬,26835.217841029192641
風險,62295.944149062954239
趨勢值,0.430769903363490
找到最佳解世代,2002
找到最佳解實驗#,3
找到最佳解次數,15

stock[index](rank)
投資組合檔數,4
CVX[5](1),MMM[16](14),PFE[20](2),XOM[29](3),
Stock#,CVX[5](1),MMM[16](14),PFE[20](2),XOM[29](3),
張數,30229,29052,149700,35048,
20110214,2930763.250000000000000,2669954.200000000186265,2851795.000000000000000,2975951.839999999850988,11428464.289999999105930
20110215,2912323.560000000055879,2672859.399999999906868,2851795.000000000000000,2907958.720000000204891,11344936.680000001564622
20110216,2921996.839999999385327,2682446.560000000055879,2886226.000000000000000,2933193.280000000260770,11423862.679999999701977
20110217,2937413.629999999888241,2694067.359999999869615,2899699.000000000000000,2939852.399999999906868,11471032.390000000596046
20110218,2984268.579999999608845,2700749.319999999832362,2872753.000000000000000,2961582.160000000149012,11519353.059999998658895
20110222,3032634.979999999515712,2672859.399999999906868,2827843.000000000000000,2994527.280000000260770,11527864.660000000149012
20110223,3091581.529999999795109,2622308.919999999925494,2808382.000000000465661,3051655.520000000018626,11573927.969999998807907
20110224,3084326.569999999832362,2615626.959999999962747,2829340.000000000000000,3013102.720000000204891,11542396.250000000000000
20110225,3086442.599999999627471,2622018.399999999906868,2823352.000000000000000,2991022.480000000447035,11522835.480000000447035
20110228,3136320.449999999720603,2679541.359999999869615,2880237.999999999534339,2997681.600000000093132,11693781.409999998286366
20110301,3110625.799999999813735,2628119.319999999832362,2865268.000000000000000,2972096.560000000055879,11576109.679999999701977
20110302,3127856.329999999608845,2653104.039999999571592,2872753.000000000000000,2981910.000000000000000,11635623.369999999180436
20110303,3149621.209999999497086,2696391.520000000018626,2959579.000000000000000,3007845.520000000018626,11813437.250000000000000
20110304,3136320.449999999720603,2678379.279999999795109,2943112.000000000000000,2981910.000000000000000,11739721.730000000447035
20110307,3113950.989999999757856,2684480.200000000186265,2935627.000000000000000,2969292.720000000204891,11703350.910000000149012
