訓練日期,20160122 - 20160425
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11568582.390000000596046
真實報酬,1568582.390000000596046

夏普值報酬,0.148158239000000
夏普值風險,0.042935432805335
夏普值,3.450721917064032

預期報酬,25472.789847755298979
風險,69131.514258221068303
趨勢值,0.368468564895150
找到最佳解世代,2058
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,9
DD[7](4),KO[14](10),MCD[15](20),MMM[16](6),MRK[17](23),PFE[20](28),UNH[23](8),UTX[24](2),XOM[29](11),
20160303,1312114.139999999897555,1180100.080000000074506,1100268.800000000046566,1285476.300000000046566,1136858.599999999860302,1086040.540000000037253,1192555.479999999981374,1247962.360000000102445,1235561.200000000186265,10776938.500000000000000
20160304,1330505.369999999878928,1184126.680000000167638,1104888.520000000018626,1291041.150000000139698,1136422.199999999720603,1079500.420000000158325,1192359.699999999953434,1259518.120000000111759,1233911.860000000102445,10812275.019999999552965
20160307,1316386.849999999860302,1181442.280000000027940,1104605.679999999934807,1295073.650000000139698,1148641.399999999906868,1082407.139999999897555,1191968.140000000130385,1258479.400000000139698,1266448.840000000083819,10845454.379999998956919
20160308,1291865.209999999962747,1189763.920000000158325,1116579.239999999990687,1292089.600000000093132,1144495.599999999860302,1066783.520000000018626,1190989.239999999990687,1258219.720000000204891,1239009.820000000065193,10789796.870000001043081
20160309,1297995.619999999878928,1202917.480000000214204,1128081.399999999906868,1291202.450000000186265,1142531.799999999813735,1080590.439999999944121,1185507.399999999906868,1254324.520000000018626,1235561.200000000186265,10818713.309999998658895
20160310,1299853.319999999832362,1214191.959999999962747,1131286.919999999925494,1289589.449999999953434,1157369.399999999906868,1075140.340000000083819,1195198.510000000009313,1248871.240000000223517,1232262.520000000251457,10843764.659999998286366
20160311,1339236.560000000055879,1213386.640000000130385,1146088.879999999888241,1305638.800000000046566,1160860.599999999860302,1108204.280000000027940,1224663.399999999906868,1256272.120000000111759,1232412.459999999962747,10986764.740000002086163
20160314,1330133.829999999841675,1215802.600000000093132,1158816.679999999934807,1305074.250000000000000,1158242.199999999720603,1093670.680000000167638,1225838.080000000074506,1257310.840000000083819,1235711.140000000130385,10980601.299999998882413
20160315,1327904.589999999850988,1214460.400000000139698,1163813.520000000018626,1309913.250000000000000,1143841.000000000000000,1073323.639999999897555,1222216.149999999906868,1250299.480000000214204,1241858.679999999934807,10947631.709999999031425
20160316,1340165.409999999916181,1209360.040000000037253,1164662.040000000037253,1313784.449999999953434,1133367.399999999906868,1055156.639999999897555,1222705.600000000093132,1265880.280000000027940,1242608.380000000121072,10947691.240000000223517
20160317,1359857.030000000027940,1228687.720000000204891,1161267.959999999962747,1320720.350000000093132,1124421.199999999953434,1066056.840000000083819,1219083.669999999925494,1283408.680000000167638,1261051.000000000000000,11024555.449999999254942
20160318,1366730.519999999785796,1224124.240000000223517,1169941.719999999972060,1333463.050000000279397,1140131.599999999860302,1070053.580000000074506,1240521.580000000074506,1286135.320000000065193,1262550.400000000139698,11093653.009999999776483
20160321,1363572.429999999934807,1226003.320000000065193,1167396.159999999916181,1329511.200000000186265,1152132.599999999860302,1092580.660000000149012,1240717.359999999869615,1287693.400000000139698,1253853.880000000121072,11113462.010000001639128
20160322,1355770.089999999850988,1221439.840000000083819,1167490.439999999944121,1330075.750000000000000,1157151.199999999953434,1103844.199999999953434,1253247.280000000027940,1281071.560000000055879,1261350.880000000121072,11131442.240000000223517
20160323,1354098.159999999916181,1220366.080000000074506,1170978.800000000046566,1324914.150000000139698,1158242.199999999720603,1096940.739999999990687,1270573.809999999823049,1286914.360000000102445,1255803.100000000093132,11138832.400000000372529
20160324,1357627.789999999804422,1223587.360000000102445,1162493.600000000093132,1326446.500000000232831,1158023.999999999767169,1092944.000000000000000,1258827.010000000009313,1286265.160000000149012,1259251.720000000204891,11125468.140000000596046
20160328,1364129.739999999990687,1229493.040000000037253,1161362.239999999990687,1341124.800000000046566,1152787.199999999720603,1082043.800000000046566,1262057.379999999888241,1284317.560000000055879,1262850.280000000027940,11140167.039999999105930
20160329,1352426.229999999748543,1247746.959999999962747,1168904.639999999897555,1325881.949999999953434,1163478.999999999767169,1091853.979999999981374,1270965.370000000111759,1300028.200000000186265,1267498.420000000158325,11188785.749999998137355
20160330,1361900.500000000000000,1250431.360000000102445,1186440.719999999972060,1344915.350000000093132,1161296.999999999767169,1092580.660000000149012,1269497.020000000018626,1301716.120000000111759,1267348.479999999981374,11236128.210000000894070
20160331,1345552.739999999990687,1245331.000000000000000,1185026.520000000018626,1343947.550000000046566,1154532.799999999813735,1076957.040000000037253,1261861.600000000093132,1299768.520000000018626,1253404.060000000055879,11166382.830000000074506
20160401,1352983.539999999804422,1257142.360000000102445,1197660.040000000037253,1351206.050000000046566,1171770.599999999860302,1091490.639999999897555,1271846.379999999888241,1298080.600000000093132,1243957.840000000083819,11236139.049999998882413
20160404,1351125.839999999850988,1258753.000000000000000,1202845.439999999944121,1342092.600000000093132,1187044.599999999860302,1116197.760000000009313,1267637.110000000102445,1301975.800000000046566,1246956.640000000130385,11274629.790000000968575
20160405,1342394.649999999906868,1249089.160000000149012,1201054.119999999878928,1337334.250000000000000,1183553.399999999906868,1139451.520000000018626,1243654.060000000055879,1296652.360000000102445,1232712.340000000083819,11225896.859999999403954
20160406,1347410.439999999944121,1253921.080000000074506,1202374.040000000037253,1345399.250000000000000,1213883.199999999953434,1196495.899999999906868,1253345.169999999925494,1303274.200000000186265,1249205.740000000223517,11365310.020000001415610
20160407,1334406.539999999804422,1244525.680000000167638,1208219.399999999906868,1348222.000000000000000,1209301.000000000000000,1190319.119999999878928,1241989.929999999934807,1310025.880000000121072,1235111.380000000121072,11322121.930000001564622
20160408,1343137.729999999748543,1258216.120000000111759,1206522.359999999869615,1343947.550000000046566,1207991.799999999813735,1180872.280000000027940,1230341.020000000018626,1315609.000000000000000,1247706.340000000083819,11334345.199999999254942
20160411,1342951.959999999962747,1246673.199999999953434,1202751.159999999916181,1343624.950000000186265,1201227.599999999860302,1158708.540000000037253,1236703.869999999878928,1326255.880000000121072,1249355.679999999934807,11308253.839999999850988
20160412,1365615.899999999906868,1252310.439999999944121,1203222.560000000055879,1355238.550000000046566,1207555.399999999906868,1161251.920000000158325,1241304.699999999953434,1338460.840000000083819,1264799.500000000000000,11389760.809999998658895
20160413,1381220.579999999841675,1235935.600000000093132,1196434.399999999906868,1359754.950000000186265,1221083.799999999813735,1182325.639999999897555,1250702.140000000130385,1358326.360000000102445,1271996.620000000111759,11457781.089999999850988
20160414,1385307.519999999785796,1230298.360000000102445,1202279.760000000009313,1356287.000000000000000,1231775.599999999860302,1186322.379999999888241,1252855.719999999972060,1359235.240000000223517,1280993.020000000251457,11485355.599999999627471
20160415,1385493.289999999804422,1237546.240000000223517,1204825.320000000065193,1361287.300000000046566,1225011.399999999906868,1180872.280000000027940,1246492.869999999878928,1357807.000000000000000,1274095.780000000027940,11473432.480000000447035
20160418,1389951.769999999785796,1240767.520000000018626,1214913.280000000027940,1367497.350000000093132,1233084.799999999813735,1184869.020000000018626,1251191.590000000083819,1365078.040000000037253,1286240.920000000158325,11533595.290000000968575
20160419,1403512.979999999748543,1250968.240000000223517,1215007.560000000055879,1368303.850000000093132,1240721.799999999813735,1195042.540000000037253,1277524.000000000000000,1363390.120000000111759,1292688.340000000083819,11607160.429999999701977
20160420,1374161.319999999832362,1191106.120000000111759,1212084.880000000121072,1362577.700000000186265,1234612.199999999720603,1207396.099999999860302,1311100.270000000018626,1370271.640000000130385,1301534.800000000046566,11564846.030000001192093
20160421,1375090.169999999925494,1172046.879999999888241,1186063.600000000093132,1360319.500000000000000,1235048.599999999860302,1207759.440000000176951,1301604.940000000176951,1368973.240000000223517,1301384.860000000102445,11508292.230000000447035
20160422,1391809.469999999972060,1195669.600000000093132,1183329.479999999981374,1360319.500000000000000,1238103.399999999906868,1208849.460000000195578,1313058.070000000065193,1372478.920000000158325,1312480.420000000158325,11576099.320000000298023
20160425,1389951.769999999785796,1200233.080000000074506,1201808.359999999869615,1358061.300000000046566,1226756.999999999767169,1206669.420000000158325,1309631.919999999925494,1365986.920000000158325,1309481.620000000111759,11568582.390000000596046
