訓練日期,20091106 - 20100210
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11282026.339999999850988
真實報酬,1282026.339999999850988

夏普值報酬,0.119502634000000
夏普值風險,0.042874249828348
夏普值,2.787282214346424

預期報酬,25023.471372871401400
風險,186776.738417056680191
趨勢值,0.133975309692988
找到最佳解世代,1892
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),MCD[15](13),UNH[23](2),
20091202,3601898.740000000223517,3388635.360000000335276,3342785.879999999888241,10333320.980000000447035
20091203,3601229.000000000000000,3359899.820000000298023,3229351.319999999832362,10190481.140000000596046
20091204,3662175.339999999850988,3339296.980000000447035,3244712.250000000000000,10246185.570000000298023
20091207,3738525.700000000186265,3357731.100000000093132,3343967.490000000223517,10440225.290000000968575
20091208,3727809.859999999869615,3286163.340000000316650,3362873.250000000000000,10376847.449999999254942
20091209,3715084.799999999813735,3285621.160000000614673,3367599.689999999944121,10368306.650000000372529
20091210,3684276.759999999776483,3310019.260000000242144,3581471.099999999627471,10575768.119999999180436
20091211,3723791.419999999925494,3343092.240000000223517,3601558.470000000204891,10668443.130000000819564
20091214,3753929.719999999739230,3369116.880000000353903,3657094.139999999664724,10780141.739999998360872
20091215,3728479.600000000093132,3361526.360000000335276,3700813.709999999962747,10790820.670000001788139
20091216,3692313.640000000130385,3384297.920000000391155,3804795.390000000130385,10881407.950000001117587
20091217,3648110.799999999813735,3357188.920000000391155,3759894.209999999962747,10765194.929999999701977
20091218,3579127.580000000074506,3370743.420000000391155,3726809.129999999888241,10676681.129999998956919
20091221,3636725.219999999739230,3397310.240000000223517,3801250.560000000055879,10835287.019999999552965
20091222,3690304.419999999925494,3414117.820000000298023,3818974.709999999962747,10923397.949999999254942
20091223,3680928.060000000055879,3435262.840000000316650,3736262.010000000242144,10852453.910000000149012
20091224,3715754.540000000037253,3438515.920000000391155,3743351.669999999925494,10897623.130000000819564
20091228,3692983.379999999888241,3448817.340000000316650,3709084.979999999981374,10850886.700000001117587
20091229,3697671.560000000055879,3447732.980000000447035,3645278.040000000037253,10790683.580000001937151
20091230,3680928.060000000055879,3409780.380000000353903,3664183.800000000279397,10754893.240000000223517
20091231,3625339.640000000130385,3385382.280000000260770,3601558.470000000204891,10612281.390000000596046
20100104,3762636.339999999850988,3403816.400000000372529,3725627.520000000018626,10892081.259999999776483
20100105,3885868.500000000000000,3377791.760000000242144,3719719.470000000204891,10983380.730000000447035
20100106,4003742.740000000223517,3331706.460000000428408,3756349.379999999888241,11091799.580000001937151
20100107,4165819.820000000298023,3356104.560000000055879,3900505.799999999813735,11422431.179999999701977
20100108,4125635.419999999925494,3352851.480000000447035,3863875.890000000130385,11342363.790000000968575
20100111,4076744.399999999906868,3378876.120000000577420,3889871.310000000055879,11345492.830000000074506
20100112,4047275.839999999850988,3397310.240000000223517,3787071.239999999757856,11231658.320000000298023
20100113,4096166.859999999869615,3393514.980000000447035,3844970.129999999888241,11334652.969999998807907
20100114,4122956.459999999962747,3396768.060000000055879,3937135.709999999962747,11456861.230000000447035
20100115,4073395.700000000186265,3376707.400000000372529,3987944.939999999944121,11438049.040000000968575
20100119,4062010.120000000111759,3441769.000000000000000,4151007.120000000111759,11654787.240000000223517
20100120,4031871.820000000298023,3416286.540000000037253,4082473.739999999757856,11530633.099999999627471
20100121,3964897.820000000298023,3426587.960000000428408,3911140.290000000037253,11302627.070000000298023
20100122,3869125.000000000000000,3436889.380000000353903,3918229.949999999720603,11224245.330000000074506
20100125,3869794.740000000223517,3420623.980000000447035,3899324.189999999944121,11189743.910000000149012
20100126,3865106.560000000055879,3459660.940000000409782,3833154.029999999795109,11157922.529999999329448
20100127,4147736.839999999850988,3455323.500000000000000,3927682.830000000074506,11530744.169999999925494
20100128,4189930.459999999962747,3406527.300000000279397,3950133.419999999925494,11546592.179999999701977
20100129,4058661.419999999925494,3384840.100000000093132,3899324.189999999944121,11342826.709999999031425
20100201,4132332.820000000298023,3463998.380000000353903,3914685.120000000111759,11511017.320000000298023
20100202,4148406.580000000074506,3471588.900000000372529,4023393.239999999757856,11643389.720000000670552
20100203,4116259.060000000055879,3535566.140000000130385,3937135.709999999962747,11588961.910000000149012
20100204,3972934.700000000186265,3473215.440000000409782,3835517.250000000000000,11281668.390000000596046
20100205,3911318.620000000111759,3435805.020000000018626,3844970.129999999888241,11192094.769999999552965
20100208,3877161.879999999888241,3411406.920000000391155,3829609.199999999720603,11118179.000000000000000
20100209,4001063.780000000260770,3446648.620000000577420,3899324.189999999944121,11347037.589999999850988
20100210,3987668.979999999981374,3429298.860000000335276,3865057.500000000000000,11282026.339999999850988
