訓練日期,20170908 - 20171208
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11519017.300000000745058
真實報酬,1519017.300000000745058

夏普值報酬,0.143201730000000
夏普值風險,0.041948454146713
夏普值,3.413754640377385

預期報酬,24239.742702396833920
風險,47167.913286200389848
趨勢值,0.513903223899636
找到最佳解世代,2938
找到最佳解實驗#,2
找到最佳解次數,19

stock[index](rank)
投資組合檔數,8
CAT[3](1),CSCO[4](4),CVX[5](23),DIS[6](15),HD[9](12),INTC[11](6),V[25](11),WMT[28](9),
20171023,1397626.830000000074506,1351934.629999999888241,1329713.400000000139698,1271119.920000000158325,1303894.340000000083819,1436054.589999999850988,1285503.380000000121072,1383076.530000000027940,10758923.619999999180436
20171024,1467248.110000000102445,1360986.739999999757856,1333067.400000000139698,1265839.940000000176951,1314103.399999999906868,1440275.110000000102445,1296022.899999999906868,1372623.859999999869615,10850167.459999999031425
20171025,1452389.909999999916181,1349966.779999999795109,1324235.199999999953434,1259529.719999999972060,1314419.959999999962747,1434296.040000000037253,1308933.219999999972060,1380424.359999999869615,10824195.189999999478459
20171026,1453451.209999999962747,1348786.070000000065193,1324235.199999999953434,1269317.000000000000000,1326924.080000000074506,1454343.510000000009313,1312638.959999999962747,1382608.500000000000000,10872304.530000001192093
20171027,1462684.520000000018626,1355083.189999999944121,1269453.200000000186265,1266097.500000000000000,1324470.739999999990687,1561615.059999999823049,1311563.099999999860302,1375588.049999999813735,10926555.359999999403954
20171030,1448675.360000000102445,1339733.959999999962747,1278956.199999999953434,1262620.440000000176951,1308405.320000000065193,1560559.929999999934807,1315507.920000000158325,1356554.829999999841675,10871013.960000000894070
20171031,1441352.390000000130385,1344063.229999999981374,1295726.199999999953434,1259658.500000000000000,1312124.899999999906868,1599951.449999999953434,1314790.680000000167638,1362171.189999999944121,10929838.540000000968575
20171101,1446552.760000000009313,1362561.019999999785796,1295838.000000000000000,1275369.660000000149012,1308959.300000000046566,1642860.069999999832362,1327820.540000000037253,1371999.819999999832362,11031961.169999998062849
20171102,1448463.100000000093132,1346424.649999999906868,1289465.399999999906868,1266612.619999999878928,1287828.920000000158325,1656576.760000000009313,1326744.680000000167638,1385416.679999999934807,11007532.809999998658895
20171103,1450161.179999999934807,1356657.469999999972060,1285664.199999999953434,1270347.239999999990687,1301124.439999999944121,1629846.800000000046566,1331287.199999999953434,1399145.560000000055879,11024234.089999999850988
20171106,1461623.219999999972060,1354296.049999999813735,1308583.200000000186265,1296103.239999999990687,1299779.060000000055879,1642508.360000000102445,1337981.439999999944121,1383856.579999999841675,11084731.150000000372529
20171107,1473297.520000000018626,1353902.479999999981374,1310819.199999999953434,1308594.900000000139698,1295347.219999999972060,1645322.040000000037253,1340013.620000000111759,1387756.829999999841675,11115053.810000000521541
20171108,1457165.760000000009313,1357838.179999999934807,1304446.600000000093132,1303057.360000000102445,1298433.680000000167638,1642508.360000000102445,1344556.139999999897555,1408194.139999999897555,11116200.220000000670552
20171109,1436470.409999999916181,1340127.529999999795109,1310819.199999999953434,1322374.360000000102445,1292260.760000000009313,1628439.959999999729916,1340611.320000000065193,1408818.179999999934807,11079921.719999998807907
20171110,1448569.229999999981374,1337766.110000000102445,1310148.400000000139698,1349418.160000000149012,1298908.520000000018626,1603116.839999999850988,1337503.280000000027940,1418490.799999999813735,11103921.339999999850988
20171113,1449099.879999999888241,1336191.830000000074506,1310707.400000000139698,1348903.040000000037253,1308721.879999999888241,1609095.909999999916181,1331765.360000000102445,1419582.869999999878928,11114068.169999999925494
20171114,1459819.010000000009313,1339733.959999999962747,1307241.600000000093132,1328684.580000000074506,1330168.820000000065193,1612964.719999999972060,1338698.680000000167638,1421142.969999999972060,11138454.340000001713634
20171115,1423310.290000000037253,1342488.949999999953434,1301987.000000000000000,1335381.140000000130385,1309671.560000000055879,1598896.319999999832362,1318018.260000000009313,1401485.709999999962747,11031239.230000000447035
20171116,1447295.670000000158325,1412150.840000000083819,1280968.599999999860302,1334222.119999999878928,1325736.979999999981374,1605578.809999999823049,1327222.839999999850988,1554219.500000000000000,11287395.360000001266599
20171117,1444854.679999999934807,1412937.979999999981374,1282533.799999999813735,1332161.640000000130385,1327636.340000000083819,1569704.389999999897555,1312878.040000000037253,1520677.349999999860302,11203384.219999998807907
20171120,1453132.820000000065193,1436552.179999999934807,1282645.600000000093132,1323275.820000000065193,1349083.279999999795109,1569352.679999999934807,1314432.060000000055879,1520833.359999999869615,11249307.799999998882413
20171121,1460455.790000000037253,1442455.729999999981374,1287676.600000000093132,1326495.320000000065193,1368156.020000000018626,1580607.399999999906868,1332363.060000000055879,1505856.399999999906868,11304066.320000002160668
20171122,1464807.119999999878928,1434584.330000000074506,1295949.800000000046566,1323147.040000000037253,1361824.820000000065193,1570407.809999999823049,1324832.040000000037253,1504140.289999999804422,11279693.250000000000000
20171124,1458227.059999999823049,1436158.610000000102445,1302657.800000000046566,1321859.239999999990687,1363961.600000000093132,1573924.909999999916181,1338579.139999999897555,1507416.500000000000000,11302784.860000001266599
20171127,1456104.459999999962747,1451114.269999999785796,1292372.199999999953434,1323790.940000000176951,1378444.219999999972060,1564780.449999999953434,1343480.280000000027940,1507416.500000000000000,11317503.319999998435378
20171128,1475207.860000000102445,1484961.289999999804422,1301987.000000000000000,1331775.300000000046566,1397516.959999999962747,1573221.489999999757856,1355195.199999999953434,1509756.649999999906868,11429621.750000000000000
20171129,1465337.770000000018626,1475122.039999999804422,1310148.400000000139698,1355342.040000000037253,1402898.479999999981374,1545788.110000000102445,1313356.199999999953434,1522081.439999999944121,11390074.479999998584390
20171130,1498131.939999999944121,1468037.779999999795109,1330384.199999999953434,1349933.280000000027940,1423237.459999999962747,1577090.300000000046566,1345990.620000000111759,1516933.109999999869615,11509738.690000001341105
20171201,1502058.750000000000000,1479844.879999999888241,1336197.800000000046566,1355470.820000000065193,1427985.859999999869615,1571462.939999999944121,1323756.180000000167638,1518805.229999999748543,11515582.459999999031425
20171204,1501846.489999999990687,1484567.719999999972060,1351067.199999999953434,1419474.479999999981374,1463440.580000000074506,1564780.449999999953434,1284307.979999999981374,1513500.889999999897555,11582985.790000000968575
20171205,1487412.809999999823049,1468431.350000000093132,1346036.199999999953434,1380840.479999999981374,1447216.879999999888241,1527850.899999999906868,1298055.080000000074506,1526293.709999999962747,11482137.410000000149012
20171206,1489535.409999999916181,1472367.049999999813735,1337315.800000000046566,1358175.199999999953434,1430993.180000000167638,1528202.610000000102445,1311921.719999999972060,1517713.159999999916181,11446224.130000000819564
20171207,1516598.559999999823049,1471973.479999999981374,1337539.399999999906868,1355599.600000000093132,1440489.979999999981374,1515189.339999999850988,1331765.360000000102445,1509912.659999999916181,11479068.379999998956919
20171208,1526893.170000000158325,1480238.449999999953434,1340781.600000000093132,1342335.260000000009313,1451648.719999999972060,1524685.510000000009313,1346110.159999999916181,1506324.429999999934807,11519017.300000000745058
