訓練日期,20131025 - 20140129
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10833621.239999998360872
真實報酬,833621.239999998360872

夏普值報酬,0.074662124000000
夏普值風險,0.027065512891700
夏普值,2.758570447149938

預期報酬,15096.787480488977963
風險,90403.269872480537742
趨勢值,0.166993821150318
找到最佳解世代,2756
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](13),MRK[17](1),MSFT[18](15),UTX[24](2),V[25](14),
20140102,2126344.400000000372529,2141496.169999999925494,2204029.839999999850988,2101437.830000000074506,2178196.480000000447035,10751504.720000000670552
20140103,2125161.399999999441206,2151881.209999999962747,2189202.089999999850988,2109097.040000000037253,2179773.440000000409782,10755115.179999999701977
20140106,2097242.599999999627471,2152313.919999999925494,2142939.510000000242144,2107042.129999999888241,2166763.520000000484288,10666301.679999999701977
20140107,2104104.000000000000000,2168324.190000000409782,2159546.589999999850988,2120492.450000000186265,2183321.600000000558794,10735788.830000001937151
20140108,2109072.599999999627471,2154477.469999999739230,2120994.439999999944121,2123107.790000000037253,2190417.919999999925494,10698070.220000000670552
20140109,2122558.799999999813735,2142794.299999999813735,2107352.910000000149012,2124228.649999999441206,2187264.000000000000000,10684198.660000000149012
20140110,2141486.799999999813735,2158371.860000000335276,2137601.520000000018626,2126470.370000000111759,2179379.200000000186265,10743309.750000000000000
20140113,2126817.599999999627471,2298569.900000000372529,2074731.859999999869615,2107228.939999999478459,2157696.000000000000000,10765044.299999998882413
20140114,2142669.799999999813735,2293377.379999999888241,2122180.660000000149012,2104053.169999999925494,2194360.320000000298023,10856641.330000000074506
20140115,2186440.799999999813735,2272607.299999999813735,2180305.439999999944121,2130953.809999999590218,2205399.040000000037253,10975706.389999996870756
20140116,2176976.799999999813735,2271741.879999999888241,2188015.870000000111759,2133755.959999999962747,2185687.040000000037253,10956177.550000000745058
20140117,2163490.599999999627471,2247942.830000000074506,2157767.260000000242144,2133569.149999999441206,2288583.679999999701977,10991353.519999999552965
20140121,2143616.200000000186265,2242750.309999999590218,2145311.950000000186265,2148140.330000000074506,2285824.000000000000000,10965642.789999999105930
20140122,2120902.599999999627471,2221980.230000000447035,2131077.310000000055879,2169249.860000000335276,2296468.480000000447035,10939678.480000000447035
20140123,2093457.000000000000000,2232797.980000000447035,2138787.740000000223517,2145338.179999999701977,2249553.919999999925494,10859934.820000000298023
20140124,2038802.399999999906868,2249240.959999999962747,2183270.990000000223517,2088547.939999999944121,2180561.919999999925494,10740424.209999999031425
20140127,2159941.600000000558794,2273040.009999999776483,2137008.410000000149012,2125723.129999999888241,2131281.919999999925494,10826995.070000000298023
20140128,2187860.400000000372529,2287752.150000000372529,2151243.050000000279397,2127030.799999999813735,2177802.240000000223517,10931688.640000002458692
20140129,2144089.400000000372529,2259193.290000000037253,2174374.339999999850988,2116009.009999999776483,2139955.200000000186265,10833621.239999998360872
