訓練日期,20150312 - 20150612
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11326147.579999998211861
真實報酬,1326147.579999998211861

夏普值報酬,0.123914758000000
夏普值風險,0.036023938143674
夏普值,3.439789328578970

預期報酬,20836.712943895792705
風險,91167.826190701118321
趨勢值,0.228553359387010
找到最佳解世代,2180
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](2),GS[8](1),JPM[13](3),
20150518,3634043.349999999627471,3703980.040000000037253,3675297.120000000111759,11013321.509999999776483
20150519,3614529.699999999720603,3717372.560000000055879,3707944.180000000167638,11039847.439999999478459
20150520,3637045.449999999720603,3711581.200000000186265,3678617.160000000149012,11027244.810000000521541
20150521,3661062.250000000000000,3709228.459999999497086,3688023.939999999944121,11058315.649999998509884
20150522,3654557.700000000186265,3760807.760000000242144,3678063.819999999832362,11093430.280000001192093
20150526,3607024.450000000186265,3735108.599999999627471,3637116.660000000149012,10979250.710000000894070
20150527,3648053.149999999441206,3783611.239999999757856,3678063.819999999832362,11109729.209999999031425
20150528,3674571.699999999720603,3773114.399999999906868,3663123.640000000130385,11110810.740000000223517
20150529,3710096.550000000279397,3731669.979999999981374,3639883.359999999869615,11081650.890000000596046
20150601,3723606.000000000000000,3760988.739999999757856,3656483.559999999590218,11141079.300000000745058
20150602,3751625.600000000093132,3736013.500000000000000,3653163.519999999552965,11140803.619999999180436
20150603,3777143.449999999720603,3769675.779999999795109,3690790.640000000130385,11237610.869999999180436
20150604,3780145.549999999813735,3780172.620000000111759,3670317.059999999590218,11230636.230000000447035
20150605,3710096.550000000279397,3808767.459999999497086,3730631.120000000111759,11249496.129999998956919
20150608,3662563.299999999813735,3796822.779999999795109,3701304.100000000093132,11160691.179999999701977
20150609,3671069.250000000000000,3782887.319999999832362,3717350.960000000428408,11171308.530000001192093
20150610,3704592.700000000186265,3857270.099999999627471,3777111.680000000167638,11338975.480000000447035
20150611,3716601.100000000093132,3871929.479999999981374,3791498.519999999552965,11380030.099999999627471
20150612,3693584.999999999534339,3856003.239999999757856,3776558.339999999850988,11326147.579999998211861
