訓練日期,20170811 - 20171110
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11053736.719999998807907
真實報酬,1053736.719999998807907

夏普值報酬,0.096673672000000
夏普值風險,0.031367947746771
夏普值,3.081925307337041

預期報酬,17328.569961138106009
風險,47545.333091913205863
趨勢值,0.364464161553754
找到最佳解世代,2552
找到最佳解實驗#,1
找到最佳解次數,28

stock[index](rank)
投資組合檔數,8
BA[2](2),CAT[3](1),CSCO[4](3),CVX[5](14),MSFT[18](7),PG[21](26),UNH[23](12),V[25](4),
20171006,1387931.899999999906868,1402227.659999999916181,1360885.500000000000000,1328555.840000000083819,1330343.360000000102445,1258038.750000000000000,1285635.590000000083819,1340963.360000000102445,10694581.959999999031425
20171009,1386912.169999999925494,1401675.309999999823049,1361288.719999999972060,1336275.199999999953434,1335419.520000000251457,1255177.500000000000000,1274211.430000000167638,1344481.280000000260770,10695441.129999998956919
20171010,1400544.350000000093132,1416146.879999999888241,1352821.099999999860302,1348648.879999999888241,1335419.520000000251457,1248365.000000000000000,1263696.010000000242144,1348250.480000000214204,10713892.220000000670552
20171011,1403281.520000000018626,1420676.149999999906868,1354433.980000000214204,1354665.439999999944121,1337695.040000000037253,1246185.000000000000000,1267460.790000000037253,1362447.800000000046566,10746845.720000000670552
20171012,1405804.010000000242144,1436031.479999999981374,1341127.719999999972060,1352508.560000000055879,1349947.840000000083819,1255586.250000000000000,1252271.850000000093132,1358301.680000000167638,10751579.389999998733401
20171013,1399524.620000000111759,1443985.320000000065193,1349595.339999999850988,1352735.600000000093132,1356424.320000000065193,1267712.500000000000000,1249675.450000000186265,1365211.880000000121072,10784865.030000003054738
20171016,1394211.290000000037253,1452381.040000000037253,1352417.879999999888241,1363747.040000000037253,1359224.960000000195578,1269075.000000000000000,1254089.330000000074506,1360688.840000000083819,10805835.379999998956919
20171017,1388146.580000000074506,1442107.329999999841675,1354837.199999999953434,1364768.719999999972060,1358174.720000000204891,1264442.500000000000000,1323478.120000000111759,1351140.200000000186265,10847095.370000001043081
20171018,1395767.720000000204891,1450392.579999999841675,1352821.099999999860302,1341270.080000000074506,1358524.800000000046566,1264033.750000000000000,1332176.060000000055879,1354406.840000000083819,10849392.929999999701977
20171019,1390400.720000000204891,1453264.800000000046566,1360885.500000000000000,1341837.680000000167638,1363776.000000000000000,1247956.250000000000000,1319323.880000000121072,1344606.920000000158325,10822051.750000001862645
20171020,1421046.290000000037253,1451165.870000000111759,1381046.500000000000000,1346832.560000000055879,1379529.600000000093132,1202448.750000000000000,1346845.720000000204891,1351265.840000000083819,10880181.130000000819564
20171023,1408004.479999999981374,1454700.909999999916181,1385078.699999999953434,1350124.640000000130385,1379879.680000000167638,1189505.000000000000000,1343730.040000000037253,1351014.560000000055879,10862038.009999999776483
20171024,1427755.040000000037253,1527169.229999999981374,1394352.760000000009313,1353530.239999999990687,1380404.800000000046566,1185145.000000000000000,1351129.780000000260770,1362070.880000000121072,10981557.730000002309680
20171025,1387073.180000000167638,1511703.429999999934807,1383062.599999999860302,1344562.159999999916181,1376378.880000000121072,1183510.000000000000000,1347300.090000000083819,1375640.000000000000000,10909230.339999999850988
20171026,1391635.129999999888241,1512808.129999999888241,1381852.940000000176951,1344562.159999999916181,1378654.400000000139698,1192230.000000000000000,1357620.780000000260770,1379534.840000000083819,10938898.380000000819564
20171027,1376553.859999999869615,1522419.020000000018626,1388304.459999999962747,1288937.360000000102445,1467049.600000000093132,1185962.500000000000000,1380014.729999999981374,1378404.080000000074506,10987645.610000001266599
20171030,1391527.790000000037253,1507836.979999999981374,1372578.879999999888241,1298586.560000000055879,1468449.920000000158325,1175471.250000000000000,1359178.620000000111759,1382550.200000000186265,10956180.199999999254942
20171031,1384711.700000000186265,1500214.550000000046566,1377014.300000000046566,1315614.560000000055879,1456022.080000000307336,1176425.000000000000000,1364566.150000000139698,1381796.360000000102445,10956364.699999999254942
20171101,1387502.540000000037253,1505627.579999999841675,1395965.639999999897555,1315728.080000000074506,1456022.080000000307336,1183918.750000000000000,1360087.360000000102445,1395491.120000000111759,11000343.149999998509884
20171102,1409668.250000000000000,1507616.040000000037253,1379433.620000000111759,1309257.439999999944121,1471250.560000000055879,1178741.250000000000000,1370278.229999999981374,1394360.360000000102445,11020605.750000000000000
20171103,1404945.290000000037253,1509383.559999999823049,1389917.339999999850988,1305397.760000000009313,1472825.920000000158325,1179695.000000000000000,1381767.300000000046566,1399134.680000000167638,11043066.849999999627471
20171106,1417396.729999999981374,1521314.320000000065193,1387498.019999999785796,1328669.360000000102445,1478602.239999999990687,1172473.750000000000000,1376899.050000000046566,1406170.520000000251457,11089023.990000000223517
20171107,1428452.750000000000000,1533466.020000000018626,1387094.800000000046566,1330939.760000000009313,1475101.439999999944121,1185145.000000000000000,1380663.830000000074506,1408306.400000000139698,11129170.000000000000000
20171108,1425447.229999999981374,1516674.579999999841675,1391127.000000000000000,1324469.120000000111759,1480177.600000000093132,1193320.000000000000000,1368136.200000000186265,1413080.720000000204891,11112432.450000001117587
20171109,1410043.939999999944121,1495132.929999999934807,1372982.099999999860302,1330939.760000000009313,1471950.720000000204891,1196045.000000000000000,1373264.090000000083819,1408934.600000000093132,11059293.139999998733401
20171110,1400114.990000000223517,1507726.509999999776483,1370562.780000000027940,1330258.640000000130385,1468099.840000000083819,1201222.500000000000000,1370083.500000000000000,1405667.959999999962747,11053736.719999998807907
