訓練日期,20160915 - 20161215
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11686827.000000000000000
真實報酬,1686827.000000000000000

夏普值報酬,0.159982700000000
夏普值風險,0.046250201784243
夏普值,3.459070313818687

預期報酬,24299.313445150259213
風險,109284.013233896650490
趨勢值,0.222350119894877
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),CVX[5](2),MSFT[18](3),
20161031,3718687.080000000540167,3547717.439999999944121,3550180.680000000167638,10816586.200000001117587
20161101,3718164.919999999925494,3606309.080000000074506,3543070.919999999925494,10867545.919999999925494
20161102,3674825.640000000130385,3569392.959999999962747,3521149.160000000149012,10765368.759999999776483
20161103,3655766.800000000279397,3569392.959999999962747,3508114.600000000093132,10733275.359999999403954
20161104,3643234.959999999962747,3548733.479999999981374,3478490.600000000093132,10670460.039999999105930
20161107,3734351.880000000353903,3618840.239999999757856,3579804.680000000167638,10932997.800000000745058
20161108,3712682.239999999757856,3633742.160000000149012,3582767.080000000074506,10929192.480000000447035
20161109,3788134.360000000335276,3645595.959999999962747,3564992.680000000167638,10998724.000000000000000
20161110,3856015.160000000149012,3650676.160000000149012,3477898.120000000111759,10984590.440000001341105
20161111,3877684.800000000279397,3611727.959999999962747,3496857.479999999981374,10986271.240000000223517
20161114,3916063.560000000521541,3610034.560000000055879,3443534.279999999795109,10969633.400000000372529
20161115,3866980.520000000484288,3690301.719999999739230,3487970.279999999795109,11045253.519999999552965
20161116,3823380.160000000149012,3669642.239999999757856,3534183.719999999739230,11027207.120000001043081
20161117,3794400.280000000260770,3661852.600000000093132,3592839.240000000223517,11049093.120000001043081
20161118,3821030.439999999944121,3698430.040000000037253,3575657.320000000298023,11095118.800000000745058
20161121,3838522.800000000279397,3731620.680000000167638,3605873.799999999813735,11176018.280000001192093
20161122,3903792.800000000279397,3746522.600000000093132,3621278.279999999795109,11271594.679999999701977
20161123,3909536.560000000521541,3759392.439999999944121,3578619.719999999739230,11247549.719999998807907
20161125,3917368.959999999962747,3759392.439999999944121,3586321.959999999962747,11263084.359999999403954
20161128,3910319.800000000279397,3742458.439999999944121,3591061.799999999813735,11243841.039999999105930
20161129,3959141.759999999776483,3703171.560000000055879,3619500.840000000316650,11281815.160000000149012
20161130,3930945.120000000111759,3778358.520000000018626,3570325.000000000000000,11279629.640000000596046
20161201,3978722.759999999776483,3836950.160000000149012,3507522.120000000111759,11323196.039999999105930
20161202,3975067.640000000130385,3827128.439999999944121,3510484.520000000018626,11312681.599999999627471
20161205,3972717.919999999925494,3835595.439999999944121,3567955.080000000074506,11376269.439999999478459
20161206,3974806.560000000521541,3819000.120000000111759,3551958.120000000111759,11345765.800000000745058
20161207,4024411.759999999776483,3875898.359999999869615,3636090.279999999795109,11536401.399999998509884
20161208,4057046.759999999776483,3900622.000000000000000,3614761.000000000000000,11572430.759999999776483
20161209,4085765.560000000521541,3922297.520000000018626,3671639.080000000074506,11679703.160000000149012
20161212,4103257.919999999925494,3967680.640000000130385,3683488.680000000167638,11754428.240000000223517
20161213,4090203.919999999925494,3976825.000000000000000,3731479.560000000055879,11798509.480000000447035
20161214,4033027.399999999906868,3927377.719999999739230,3713705.160000000149012,11674111.279999999329448
20161215,4014751.800000000279397,3964293.839999999850988,3707780.359999999869615,11686827.000000000000000
