訓練日期,20121206 - 20130312
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11386977.990000000223517
真實報酬,1386977.990000000223517

夏普值報酬,0.129997799000000
夏普值風險,0.037772149618124
夏普值,3.441630945399617

預期報酬,21792.066115731588070
風險,65352.471800968582102
趨勢值,0.333454351690009
找到最佳解世代,2016
找到最佳解實驗#,21
找到最佳解次數,6

stock[index](rank)
投資組合檔數,5
JNJ[12](6),JPM[13](2),MMM[16](1),NKE[19](11),VZ[26](27),
20130128,2104327.950000000186265,2264073.919999999925494,2217936.040000000037253,2231777.000000000000000,1939683.170000000158325,10757798.080000000074506
20130129,2126908.519999999552965,2287374.559999999590218,2243497.799999999813735,2208026.000000000000000,1972789.399999999906868,10838596.279999999329448
20130130,2117761.959999999962747,2287859.990000000223517,2221241.439999999478459,2195741.000000000000000,1977778.009999999776483,10800382.400000000372529
20130131,2112902.849999999627471,2283976.549999999813735,2215732.439999999478459,2213759.000000000000000,1977778.009999999776483,10804148.849999999627471
20130201,2120334.430000000633299,2322810.950000000186265,2237988.799999999813735,2199017.000000000000000,2020861.459999999962747,10901012.640000000596046
20130204,2118333.620000000111759,2314558.639999999664724,2220580.359999999403954,2197379.000000000000000,2019047.420000000158325,10869899.039999999105930
20130205,2134054.269999999552965,2368441.369999999646097,2236446.279999999329448,2207207.000000000000000,2020861.459999999962747,10967010.379999998956919
20130206,2154919.860000000335276,2359703.629999999888241,2262889.479999999515712,2217854.000000000000000,2029478.149999999906868,11024845.119999999180436
20130207,2145487.469999999739230,2341257.289999999571592,2252532.559999999590218,2239148.000000000000000,2016326.359999999869615,10994751.679999999701977
20130208,2157492.330000000074506,2360674.490000000223517,2262228.399999999441206,2235872.000000000000000,2011337.750000000000000,11027604.969999998807907
20130211,2155491.519999999552965,2362130.779999999795109,2261346.959999999962747,2261261.000000000000000,2009977.219999999972060,11050207.479999998584390
20130212,2166638.889999999664724,2385431.419999999925494,2279857.200000000186265,2256347.000000000000000,2015419.339999999850988,11103693.849999999627471
20130213,2162637.269999999552965,2363101.639999999664724,2266635.599999999627471,2234234.000000000000000,2019047.420000000158325,11045655.929999997839332
20130214,2166924.719999999739230,2389314.859999999869615,2264872.719999999739230,2236691.000000000000000,2010430.729999999748543,11068234.030000001192093
20130215,2176928.769999999552965,2372810.240000000223517,2274788.919999999925494,2250614.000000000000000,2013605.299999999813735,11088747.230000000447035
20130219,2199795.169999999925494,2400479.750000000000000,2295723.120000000111759,2230958.000000000000000,2018140.399999999906868,11145096.439999999478459
20130220,2190934.440000000409782,2359703.629999999888241,2273026.040000000037253,2212121.000000000000000,2037187.820000000065193,11072972.929999999701977
20130221,2197222.700000000186265,2342228.149999999906868,2263550.559999999590218,2233415.000000000000000,2046258.019999999785796,11082674.429999999701977
20130222,2179501.240000000223517,2374266.529999999795109,2281620.080000000074506,2230958.000000000000000,2058956.299999999813735,11125302.149999998509884
20130225,2160064.799999999813735,2315529.500000000000000,2242175.639999999664724,2212940.000000000000000,2073468.619999999878928,11004178.559999998658895
20130226,2165209.740000000223517,2310675.200000000186265,2254515.799999999813735,2222768.000000000000000,2091609.019999999785796,11044777.759999999776483
20130227,2181502.049999999813735,2392227.439999999944121,2282281.160000000149012,2225225.000000000000000,2102039.750000000000000,11183275.400000000372529
20130228,2175499.620000000111759,2374751.959999999962747,2291756.639999999664724,2230139.000000000000000,2110202.930000000167638,11182350.149999998509884
20130301,2192363.589999999850988,2374266.529999999795109,2286688.359999999403954,2244881.000000000000000,2118819.619999999646097,11217019.099999997764826
20130304,2206655.089999999850988,2383489.700000000186265,2275890.719999999739230,2241605.000000000000000,2136506.509999999776483,11244147.019999999552965
20130305,2219803.269999999552965,2402421.470000000204891,2301672.839999999850988,2248157.000000000000000,2162810.089999999850988,11334864.669999999925494
20130306,2212085.860000000335276,2428634.689999999944121,2306300.399999999441206,2264537.000000000000000,2144216.180000000167638,11355774.129999998956919
20130307,2222375.740000000223517,2457760.490000000223517,2303656.080000000074506,2261261.000000000000000,2153286.379999999888241,11398339.690000001341105
20130308,2234952.259999999776483,2436887.000000000000000,2329438.200000000186265,2239967.000000000000000,2175054.859999999869615,11416299.320000000298023
20130311,2242098.009999999776483,2450479.039999999571592,2331641.799999999813735,2233415.000000000000000,2168252.209999999962747,11425886.059999998658895
20130312,2245527.969999999739230,2440770.439999999944121,2316657.319999999366701,2190827.000000000000000,2193195.259999999776483,11386977.990000000223517
