訓練日期,20151120 - 20160225
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10870702.259999999776483
真實報酬,870702.259999999776483

夏普值報酬,0.078370226000000
夏普值風險,0.020771192608469
夏普值,3.773024855975126

預期報酬,10559.955891741839878
風險,135503.052825873717666
趨勢值,0.077931498010689
找到最佳解世代,1843
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),UNH[23](5),WMT[28](3),
20160104,3459250.600000000093132,3508990.899999999906868,3375067.639999999664724,10343310.140000000596046
20160105,3506911.000000000000000,3515619.500000000465661,3455242.079999999608845,10477773.580000000074506
20160106,3483375.000000000000000,3479764.799999999813735,3489837.899999999441206,10452978.699999999254942
20160107,3402764.199999999720603,3377322.800000000279397,3571110.619999999646097,10351198.619999999180436
20160108,3397468.600000000093132,3319171.899999999906868,3489288.759999999776483,10205930.259999999776483
20160111,3433066.799999999813735,3301696.500000000000000,3526630.279999999795109,10261394.580000000074506
20160112,3455131.799999999813735,3382444.900000000372529,3493681.879999999422580,10331259.580000000074506
20160113,3386877.399999999906868,3291151.000000000000000,3400328.079999999608845,10078357.480000000447035
20160114,3431007.399999999906868,3337249.900000000372529,3462930.040000000037253,10231188.339999999850988
20160115,3388642.600000000093132,3292356.200000000186265,3400877.219999999739230,10081877.019999999552965
20160119,3456897.000000000000000,3392086.500000000000000,3435473.040000000037253,10284457.539999999105930
20160120,3406294.600000000093132,3458673.800000000279397,3341020.959999999962747,10205990.359999999403954
20160121,3466899.800000000279397,3419806.100000000093132,3398131.520000000018626,10284838.419999999925494
20160122,3483375.000000000000000,3444814.000000000000000,3442611.859999999403954,10370801.859999999403954
20160125,3506911.000000000000000,3416190.500000000000000,3484346.500000000000000,10407449.000000000000000
20160126,3543097.600000000093132,3433665.899999999906868,3514549.199999999720603,10491313.699999999254942
20160127,3556042.399999999906868,3384554.000000000000000,3511803.500000000000000,10452400.900000000372529
20160128,3600466.600000000093132,3355930.500000000000000,3526630.279999999795109,10483028.379999998956919
20160129,3641654.600000000093132,3469821.899999999906868,3644146.239999999757856,10755623.740000000223517
20160201,3666073.200000000186265,3491816.800000000279397,3706748.199999999720603,10864639.199999999254942
20160202,3646656.000000000000000,3431255.500000000000000,3671603.239999999757856,10749515.740000000223517
20160203,3573694.399999999906868,3397208.600000000093132,3639203.979999999515712,10610107.980000000447035
20160204,3549864.199999999720603,3440897.100000000093132,3647441.079999999608845,10638203.379999998956919
20160205,3395115.000000000000000,3366174.700000000186265,3679291.199999999720603,10440581.900000000372529
20160208,3414238.000000000000000,3314953.700000000186265,3673799.799999999813735,10402992.500000000000000
20160209,3442481.200000000186265,3349301.899999999906868,3613943.540000000037253,10405727.640000000596046
20160210,3458073.800000000279397,3396907.299999999813735,3612845.260000000242144,10467827.359999999403954
20160211,3434243.600000000093132,3333031.700000000186265,3587035.679999999236315,10354311.980000000447035
20160212,3469547.600000000093132,3369187.699999999720603,3634261.720000000204891,10472998.019999999552965
20160216,3506322.600000000093132,3469520.600000000093132,3618885.799999999813735,10594730.000000000000000
20160217,3490435.799999999813735,3564430.100000000093132,3630417.739999999757856,10685284.640000000596046
20160218,3447188.399999999906868,3538819.600000000093132,3521138.879999999888241,10507147.879999998956919
20160219,3428359.600000000093132,3545749.500000000465661,3550792.439999999478459,10524902.539999999105930
20160222,3461898.399999999906868,3653916.200000000186265,3604059.019999999552965,10719874.619999999180436
20160223,3439245.000000000000000,3650300.600000000093132,3650735.919999999925494,10740282.519999999552965
20160224,3443952.200000000186265,3621677.100000000093132,3685880.879999999888241,10751511.179999999701977
20160225,3482492.399999999906868,3651807.100000000093132,3736401.760000000242144,10870702.259999999776483
