訓練日期,20111223 - 20120328
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12795124.259999999776483
真實報酬,2795124.259999999776483

夏普值報酬,0.270812426000000
夏普值風險,0.074230098318043
夏普值,3.648283272368688

預期報酬,45564.051700208219700
風險,92032.815274862106889
趨勢值,0.495084840816052
找到最佳解世代,2177
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,4
AAPL[0](2),HD[9](1),MSFT[18](5),NKE[19](4),
20120206,2910072.700000000186265,2695609.360000000335276,2925219.790000000037253,2727750.400000000372529,11258652.250000001862645
20120207,2940806.200000000651926,2711114.979999999981374,2939748.940000000409782,2747784.000000000000000,11339454.120000001043081
20120208,2989979.799999999813735,2693820.250000000000000,2969775.850000000558794,2792068.800000000279397,11445644.700000001117587
20120209,3093156.550000000279397,2699783.950000000186265,2980430.560000000055879,2787851.200000000186265,11561222.260000001639128
20120210,3094912.750000000000000,2703362.169999999925494,2954278.090000000316650,2778361.600000000093132,11530914.609999999403954
20120213,3152428.300000000279397,2739144.370000000111759,2962026.970000000204891,2774144.000000000000000,11627743.640000000596046
20120214,3195455.200000000186265,2746897.180000000167638,2930062.840000000316650,2811048.000000000000000,11683463.220000000670552
20120215,3121694.799999999813735,2726024.229999999981374,2910690.640000000596046,2809993.600000000093132,11568403.269999999552965
20120216,3149794.000000000000000,2739144.370000000111759,3030798.280000000260770,2798395.200000000186265,11718131.850000001490116
20120217,3149354.950000000651926,2785661.229999999981374,3026923.840000000316650,2812102.400000000372529,11774042.420000001788139
20120221,3229262.050000000279397,2798185.000000000000000,3045327.430000000633299,2766763.199999999720603,11839537.679999999701977
20120222,3217846.750000000465661,2777312.049999999813735,3028861.060000000055879,2786796.800000000279397,11810816.660000002011657
20120223,3238921.149999999906868,2799974.110000000335276,3038547.160000000614673,2798395.200000000186265,11875837.620000001043081
20120224,3276679.450000000186265,2801763.219999999739230,3049201.870000000577420,2801558.399999999906868,11929202.940000001341105
20120227,3297753.850000000093132,2798781.370000000111759,3036609.940000000409782,2824755.200000000186265,11957900.359999999403954
20120228,3358342.750000000000000,2816672.469999999739230,3086977.660000000614673,2832136.000000000000000,12094128.880000000819564
20120229,3402247.750000000000000,2836949.049999999813735,3074385.729999999981374,2844788.800000000279397,12158371.330000000074506
20120301,3414980.200000000186265,2830388.979999999981374,3127659.280000000260770,2861659.200000000186265,12234687.660000000149012
20120302,3419370.700000000186265,2827407.129999999888241,3107318.470000000204891,2866931.200000000186265,12221027.500000000000000
20120305,3344293.150000000372529,2826214.390000000130385,3080197.390000000596046,2879584.000000000000000,12130288.930000001564622
20120306,3325853.050000000279397,2766577.390000000130385,3056950.750000000000000,2830027.200000000186265,11979408.390000000596046
20120307,3328487.350000000558794,2826214.390000000130385,3084071.830000000074506,2836353.600000000093132,12075127.169999999925494
20120308,3399613.450000000651926,2851858.299999999813735,3100538.200000000186265,2844788.800000000279397,12196798.750000000000000
20120309,3419370.700000000186265,2868556.660000000149012,3098600.979999999981374,2899617.600000000093132,12286145.939999999478459
20120312,3462397.600000000093132,2897778.790000000037253,3103444.030000000260770,2884856.000000000000000,12348476.420000001788139
20120313,3563379.100000000093132,2930579.140000000130385,3164466.460000000428408,2919651.200000000186265,12578075.900000002235174
20120314,3698167.450000000651926,2950259.350000000093132,3174152.560000000521541,2908052.799999999813735,12730632.160000000149012
20120315,3672702.550000000745058,2934157.360000000335276,3181901.440000000409782,2918596.800000000279397,12707358.150000002235174
20120316,3672702.550000000745058,2925211.809999999590218,3157686.190000000409782,2932304.000000000000000,12687904.550000000745058
20120319,3770171.650000000372529,2912091.669999999925494,3118941.790000000502914,2955500.800000000279397,12756705.910000002011657
20120320,3800905.149999999906868,2944892.020000000018626,3098600.979999999981374,2946011.200000000186265,12790409.350000001490116
20120321,3778952.649999999906868,2969343.189999999944121,3090852.100000000558794,2911216.000000000000000,12750363.940000001341105
20120322,3759195.400000000372529,2962783.120000000111759,3099569.590000000316650,2925977.600000000093132,12747525.710000000894070
20120323,3738560.050000000745058,2954433.939999999944121,3100538.200000000186265,2832136.000000000000000,12625668.190000001341105
20120326,3807051.850000000093132,2989619.770000000018626,3156717.580000000540167,2861659.200000000186265,12815048.400000002235174
20120327,3854030.200000000186265,2984252.439999999944121,3149937.310000000521541,2843734.399999999906868,12831954.350000001490116
20120328,3873787.450000000651926,2976499.629999999888241,3117973.180000000167638,2826864.000000000000000,12795124.259999999776483
