訓練日期,20110915 - 20111215
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344441.099999999627471
真實報酬,1344441.099999999627471

夏普值報酬,0.125744110000000
夏普值風險,0.042332405946523
夏普值,2.970398378935678

預期報酬,23075.948773821593932
風險,170939.059906899288762
趨勢值,0.134995177734040
找到最佳解世代,2168
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](2),IBM[10](4),MCD[15](1),WMT[28](3),
20111013,2564847.189999999944121,2792681.839999999850988,2573774.080000000074506,2635055.440000000409782,10566358.550000000745058
20111014,2612550.869999999646097,2848138.919999999925494,2591929.419999999925494,2656127.919999999925494,10708747.129999998956919
20111017,2582736.069999999832362,2789243.799999999813735,2555042.379999999888241,2623561.360000000335276,10550583.609999999403954
20111018,2679634.170000000391155,2674293.680000000167638,2583284.020000000018626,2676721.479999999981374,10613933.350000001490116
20111019,2638638.819999999832362,2651722.199999999720603,2582707.660000000149012,2693962.600000000093132,10567031.279999999329448
20111020,2663236.029999999795109,2649629.479999999981374,2565128.680000000167638,2699709.640000000130385,10577703.830000000074506
20111021,2747462.839999999850988,2715101.719999999739230,2660516.259999999776483,2726050.240000000223517,10849131.059999998658895
20111024,2735536.920000000391155,2724369.479999999981374,2651582.680000000167638,2719345.360000000335276,10830834.440000001341105
20111025,2686342.500000000000000,2696117.760000000242144,2644666.359999999869615,2715992.919999999925494,10743119.539999999105930
20111026,2724356.369999999646097,2720184.040000000037253,2644954.540000000037253,2747601.640000000130385,10837096.589999999850988
20111027,2785476.709999999962747,2785506.799999999813735,2694809.680000000167638,2768674.120000000111759,11034467.309999998658895
20111028,2692305.459999999962747,2802099.079999999608845,2688469.720000000204891,2737065.399999999906868,10919939.660000000149012
20111031,2668453.619999999646097,2759945.719999999739230,2675789.799999999813735,2716471.839999999850988,10820660.980000000447035
20111101,2649074.000000000000000,2710916.279999999795109,2648700.879999999888241,2693004.759999999776483,10701695.919999998062849
20111102,2682615.650000000372529,2749332.639999999664724,2666568.040000000037253,2723176.720000000204891,10821693.050000000745058
20111103,2716902.670000000391155,2799856.880000000353903,2680112.500000000000000,2749996.240000000223517,10946868.290000000968575
20111104,2712430.450000000186265,2786104.719999999739230,2703455.080000000074506,2753827.600000000093132,10955817.849999999627471
20111107,2783240.600000000093132,2800155.839999999850988,2726797.660000000149012,2774900.080000000074506,11085094.179999999701977
20111108,2827962.799999999813735,2799109.479999999981374,2726221.299999999813735,2840991.040000000037253,11194284.619999999180436
20111109,2769823.939999999944121,2724220.000000000000000,2670026.200000000186265,2780168.200000000186265,10944238.339999999850988
20111110,2772805.420000000391155,2740812.279999999795109,2687605.180000000167638,2783999.560000000055879,10985222.440000001341105
20111111,2836907.240000000223517,2801052.719999999739230,2730832.180000000167638,2835244.000000000000000,11204036.140000000596046
20111114,2851069.270000000018626,2800604.279999999795109,2710659.580000000074506,2820397.479999999981374,11182730.609999999403954
20111115,2837652.609999999869615,2821531.479999999981374,2722474.959999999962747,2751911.919999999925494,11133570.969999998807907
20111116,2820509.100000000093132,2789692.240000000223517,2684435.200000000186265,2714556.160000000149012,11009192.699999999254942
20111117,2804110.959999999962747,2776388.520000000018626,2659651.720000000204891,2716950.759999999776483,10957101.960000000894070
20111118,2823490.580000000074506,2769064.000000000000000,2672619.819999999832362,2740896.759999999776483,11006071.160000000149012
20111121,2762370.240000000223517,2712859.520000000018626,2659363.540000000037253,2713598.319999999832362,10848191.619999999180436
20111122,2765351.720000000204891,2710318.359999999869615,2670026.200000000186265,2722697.800000000279397,10868394.080000000074506
20111123,2722120.260000000242144,2660093.079999999608845,2647548.160000000149012,2712640.479999999981374,10742401.980000000447035
20111125,2718393.410000000149012,2646789.359999999869615,2654176.299999999813735,2724613.479999999981374,10743972.549999998882413
20111128,2780259.119999999646097,2723771.560000000055879,2702014.180000000167638,2741854.600000000093132,10947899.459999999031425
20111129,2903990.540000000037253,2704787.600000000093132,2693368.779999999795109,2785915.240000000223517,11088062.160000000149012
20111130,2923370.160000000149012,2810320.479999999981374,2752733.859999999869615,2820876.399999999906868,11307300.900000000372529
20111201,2932314.600000000093132,2831995.079999999608845,2752157.500000000000000,2806987.720000000204891,11323454.900000000372529
20111202,2977036.799999999813735,2835134.160000000149012,2757921.100000000093132,2782083.880000000353903,11352175.940000001341105
20111205,2998652.529999999795109,2852772.799999999813735,2747834.799999999813735,2794056.880000000353903,11393317.009999999776483
20111206,3005360.859999999869615,2884163.600000000093132,2766854.680000000167638,2815129.360000000335276,11471508.500000000000000
20111207,3035921.029999999795109,2900755.880000000353903,2779534.600000000093132,2802198.520000000018626,11518410.029999999329448
20111208,2974800.689999999944121,2863834.320000000298023,2793079.060000000055879,2776815.759999999776483,11408529.830000000074506
20111209,2998652.529999999795109,2908379.359999999869615,2825067.040000000037253,2793099.040000000037253,11525197.969999998807907
20111212,2985235.869999999646097,2872803.120000000111759,2838035.140000000130385,2782083.880000000353903,11478158.010000001639128
20111213,2944985.889999999664724,2857406.680000000167638,2824202.500000000000000,2758616.800000000279397,11385211.870000001043081
20111214,2917407.200000000186265,2821083.040000000037253,2812963.479999999981374,2761011.399999999906868,11312465.120000001043081
20111215,2938277.560000000055879,2802547.520000000018626,2828237.020000000018626,2775379.000000000000000,11344441.099999999627471
