訓練日期,20160223 - 20160524
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11019052.300000000745058
真實報酬,1019052.300000000745058

夏普值報酬,0.093205230000000
夏普值風險,0.032776918331487
夏普值,2.843623950774607

預期報酬,17378.163227459557675
風險,84943.712055014388170
趨勢值,0.204584457248636
找到最佳解世代,2286
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,4
IBM[10](14),JNJ[12](1),PFE[20](12),XOM[29](8),
20160328,2773405.439999999944121,2583053.680000000167638,2477537.620000000111759,2555527.689999999944121,10389524.429999999701977
20160329,2790785.279999999795109,2604771.740000000223517,2500000.000000000000000,2564934.020000000018626,10460491.039999999105930
20160330,2773592.319999999832362,2600953.180000000167638,2501663.879999999888241,2564630.589999999850988,10440839.969999998807907
20160331,2830403.839999999385327,2582337.700000000186265,2465890.459999999962747,2536411.600000000093132,10415043.599999999627471
20160401,2850400.000000000000000,2605965.040000000037253,2499168.059999999590218,2517295.509999999776483,10472828.609999999403954
20160404,2841990.399999999441206,2591645.439999999944121,2555739.979999999515712,2523364.109999999869615,10512739.929999999701977
20160405,2803306.239999999757856,2600237.200000000186265,2608984.139999999664724,2494538.259999999776483,10507065.839999999850988
20160406,2803680.000000000000000,2611454.220000000204891,2739598.719999999739230,2527915.560000000055879,10682648.500000000000000
20160407,2770602.239999999757856,2607874.319999999832362,2725455.739999999757856,2499393.140000000130385,10603325.439999999478459
20160408,2791159.039999999571592,2603817.100000000093132,2703825.299999999813735,2524881.259999999776483,10623682.699999999254942
20160411,2789290.239999999757856,2600714.520000000018626,2653076.959999999962747,2528218.989999999757856,10571300.709999999031425
20160412,2796391.679999999701977,2615750.100000000093132,2658900.540000000037253,2559472.279999999795109,10630514.599999999627471
20160413,2826292.479999999515712,2622193.919999999925494,2707153.059999999590218,2574036.919999999925494,10729676.379999998956919
20160414,2824984.319999999832362,2621477.939999999944121,2716304.399999999906868,2592242.720000000204891,10755009.380000000819564
20160415,2835449.599999999627471,2629592.380000000353903,2703825.299999999813735,2578284.939999999944121,10747152.220000000670552
20160418,2850586.879999999888241,2647491.880000000353903,2712976.639999999664724,2602862.770000000018626,10813918.169999999925494
20160419,2691178.239999999757856,2689257.380000000353903,2736270.959999999962747,2615910.259999999776483,10732616.839999999850988
20160420,2730609.919999999925494,2710736.779999999795109,2764556.919999999459833,2633812.629999999888241,10839716.250000000000000
20160421,2790224.640000000130385,2710498.119999999646097,2765388.859999999869615,2633509.200000000186265,10899620.820000000298023
20160422,2775274.239999999757856,2704531.619999999646097,2767884.680000000167638,2655963.020000000018626,10903653.559999998658895
20160425,2781067.520000000018626,2709066.160000000149012,2762893.040000000037253,2649894.419999999925494,10902921.140000000596046
20160426,2786113.279999999795109,2694746.560000000055879,2749581.999999999534339,2658997.319999999832362,10889439.160000000149012
20160427,2812089.599999999627471,2691405.319999999832362,2745422.299999999813735,2684182.009999999776483,10933099.230000000447035
20160428,2748550.399999999441206,2684484.180000000167638,2737934.839999999385327,2671134.520000000018626,10842103.939999999478459
20160429,2727432.959999999497086,2674937.779999999795109,2721296.040000000037253,2682361.430000000167638,10806028.209999999031425
20160502,2714912.000000000000000,2690928.000000000000000,2728783.499999999534339,2704511.819999999832362,10839135.320000000298023
20160503,2693607.679999999701977,2689496.040000000037253,2803658.100000000093132,2673561.959999999962747,10860323.780000001192093
20160504,2695850.239999999757856,2678279.020000000018626,2778699.899999999906868,2668403.649999999906868,10821232.810000000521541
20160505,2737337.599999999627471,2694030.580000000074506,2792842.879999999888241,2671437.950000000186265,10895649.009999999776483
20160506,2752661.759999999776483,2690689.339999999850988,2793674.819999999832362,2685699.160000000149012,10922725.080000000074506
20160509,2753596.159999999683350,2714078.020000000018626,2813641.379999999888241,2687519.739999999757856,10968835.299999998882413
20160510,2802745.599999999627471,2736750.720000000204891,2811977.499999999534339,2730606.799999999813735,11082080.620000001043081
20160511,2783683.839999999385327,2729590.919999999925494,2758733.339999999385327,2694802.060000000055879,10966810.160000000149012
20160512,2781628.159999999683350,2726249.680000000167638,2761229.159999999683350,2720897.040000000037253,10990004.039999999105930
20160513,2760697.599999999627471,2710259.459999999962747,2761229.159999999683350,2690250.609999999869615,10922436.829999998211861
20160516,2793214.719999999739230,2731261.540000000037253,2777036.020000000018626,2717862.739999999757856,11019375.019999999552965
20160517,2765930.239999999757856,2716703.279999999795109,2747918.120000000111759,2716649.020000000018626,10947200.660000000149012
20160518,2753596.159999999683350,2710975.439999999944121,2759565.279999999795109,2711187.279999999795109,10935324.159999998286366
20160519,2708558.080000000074506,2693314.600000000093132,2777036.020000000018626,2734247.959999999962747,10913156.660000000149012
20160520,2751914.239999999757856,2688302.740000000223517,2806985.859999999869615,2723021.049999999813735,10970223.890000000596046
20160523,2742944.000000000000000,2676847.060000000055879,2801162.279999999795109,2718773.029999999795109,10939726.369999999180436
20160524,2771723.520000000018626,2689496.040000000037253,2836935.699999999720603,2720897.040000000037253,11019052.300000000745058
