訓練日期,20161019 - 20170123
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11155233.460000000894070
真實報酬,1155233.460000000894070

夏普值報酬,0.106823346000000
夏普值風險,0.035019759400373
夏普值,3.050373498535895

預期報酬,20655.784214487805002
風險,87425.795552926079836
趨勢值,0.236266471284018
找到最佳解世代,2247
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](28),AXP[1](8),CVX[5](5),DIS[6](1),PG[21](29),UTX[24](7),
20170106,1672908.719999999972060,2093584.600000000093132,1913079.649999999906868,1992232.800000000046566,1620545.639999999897555,1876016.080000000074506,11168371.490000000223517
20170109,1688231.760000000009313,2104403.200000000186265,1896706.649999999906868,1980899.199999999953434,1608539.100000000093132,1858514.680000000167638,11137298.589999999850988
20170110,1689934.320000000065193,2126317.799999999813735,1882298.409999999683350,1981264.799999999813735,1591196.319999999832362,1854514.360000000335276,11125530.009999997913837
20170111,1699014.640000000130385,2133530.200000000186265,1898180.219999999972060,2000641.599999999860302,1596151.399999999906868,1850180.680000000167638,11177702.740000000223517
20170112,1691920.640000000130385,2132698.000000000000000,1901946.009999999776483,1965726.799999999813735,1597866.619999999878928,1847180.439999999944121,11137342.509999999776483
20170113,1688941.160000000149012,2125485.600000000558794,1905548.069999999832362,1975415.199999999953434,1601106.479999999981374,1837179.640000000130385,11133680.150000000372529
20170117,1702561.640000000130385,2124930.799999999813735,1903910.769999999785796,1973770.000000000000000,1623976.079999999841675,1833012.640000000130385,11162165.929999999701977
20170118,1702419.760000000009313,2149619.399999999441206,1898343.949999999720603,1977243.199999999953434,1618639.840000000083819,1840513.240000000223517,11186783.390000000596046
20170119,1699440.280000000260770,2127427.400000000372529,1892449.669999999925494,1961156.799999999813735,1614256.500000000000000,1845680.320000000298023,11140414.970000000670552
20170120,1702561.640000000130385,2113834.799999999813735,1892777.129999999655411,1968103.199999999953434,1666666.000000000000000,1846680.400000000372529,11190627.169999999925494
20170123,1703696.680000000167638,2107454.599999999627471,1889338.799999999813735,1958232.000000000000000,1657327.579999999841675,1839179.800000000279397,11155233.460000000894070
