訓練日期,20111227 - 20120329
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12714540.929999999701977
真實報酬,2714540.929999999701977

夏普值報酬,0.262754093000000
夏普值風險,0.071983740325393
夏普值,3.650186720115624

預期報酬,43621.688569049270882
風險,97996.446212150171050
趨勢值,0.445135413121142
找到最佳解世代,3181
找到最佳解實驗#,2
找到最佳解次數,43

stock[index](rank)
投資組合檔數,4
AAPL[0](2),HD[9](1),INTC[11](9),MSFT[18](5),
20120309,3379020.619999999646097,2856969.959999999962747,2773565.530000000260770,3072416.279999999795109,12081972.389999998733401
20120312,3421539.879999999888241,2886074.000000000000000,2765368.810000000055879,3077218.429999999701977,12150201.119999999180436
20120313,3521329.979999999981374,2918741.799999999813735,2816598.310000000055879,3137725.520000000018626,12394395.609999999403954
20120314,3654528.070000000298023,2938342.479999999981374,2813524.540000000502914,3147329.820000000298023,12553724.910000002011657
20120315,3629363.610000000335276,2922305.560000000055879,2843237.650000000372529,3155013.260000000242144,12549920.080000000074506
20120316,3629363.610000000335276,2913396.159999999683350,2841188.470000000204891,3131002.510000000242144,12514950.750000000000000
20120319,3725682.750000000465661,2900329.039999999571592,2842213.060000000055879,3092585.310000000055879,12560810.160000000149012
20120320,3756053.649999999906868,2932996.839999999850988,2843237.650000000372529,3072416.279999999795109,12604704.419999999925494
20120321,3734360.149999999906868,2957349.199999999720603,2846311.420000000391155,3064732.839999999850988,12602753.609999999403954
20120322,3714836.000000000465661,2950815.639999999664724,2858606.500000000000000,3073376.709999999962747,12597634.850000001490116
20120323,3694444.110000000335276,2942500.199999999720603,2856557.320000000298023,3074337.139999999664724,12567838.769999999552965
20120326,3762127.829999999608845,2977543.839999999850988,2888319.610000000335276,3130042.080000000074506,12758033.360000001266599
20120327,3808551.919999999925494,2972198.199999999720603,2888319.610000000335276,3123319.070000000298023,12792388.800000000745058
20120328,3828076.070000000298023,2964476.719999999739230,2848360.600000000558794,3091624.879999999888241,12732538.269999999552965
20120329,3779916.500000000465661,2964476.719999999739230,2885245.840000000316650,3084901.869999999646097,12714540.929999999701977
