訓練日期,20110217 - 20110520
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10969071.390000000596046
真實報酬,969071.390000000596046

夏普值報酬,0.088207139000000
夏普值風險,0.030884556387056
夏普值,2.856027390989816

預期報酬,16135.213735867193463
風險,110356.341384754370665
趨勢值,0.146210118362045
找到最佳解世代,2314
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
CVX[5](4),MCD[15](11),PFE[20](1),UNH[23](3),
20110321,2720611.389999999664724,2425677.640000000596046,2590767.600000000093132,2540587.869999999646097,10277644.500000000000000
20110322,2721645.910000000149012,2429295.100000000558794,2585580.880000000353903,2514117.520000000018626,10250639.410000000149012
20110323,2728111.660000000149012,2450999.860000000335276,2582987.520000000018626,2514705.750000000000000,10276804.790000000968575
20110324,2725525.359999999869615,2464154.260000000707805,2632261.359999999869615,2576469.899999999906868,10398410.880000000819564
20110325,2761733.560000000055879,2474677.780000000260770,2638744.760000000242144,2573528.750000000000000,10448684.849999999627471
20110328,2742594.939999999944121,2466456.280000000260770,2628371.319999999832362,2580587.509999999776483,10418010.050000000745058
20110329,2776992.729999999981374,2478624.100000000558794,2642634.799999999813735,2616469.540000000037253,10514721.169999999925494
20110330,2793545.050000000279397,2493093.940000000409782,2637448.080000000074506,2670586.699999999720603,10594673.769999999552965
20110331,2780096.289999999571592,2502302.020000000484288,2633558.039999999571592,2658822.100000000093132,10574778.449999999254942
20110401,2801562.579999999608845,2499013.419999999925494,2642634.799999999813735,2682939.529999999795109,10626150.330000000074506
20110404,2799234.910000000149012,2512167.820000000298023,2663381.679999999701977,2682351.300000000279397,10657135.710000000894070
20110405,2827684.209999999962747,2519073.879999999888241,2651711.560000000055879,2652351.570000000298023,10650821.220000000670552
20110406,2810356.000000000000000,2523020.200000000186265,2630964.679999999701977,2644704.580000000074506,10609045.460000000894070
20110407,2817597.639999999664724,2499671.140000000596046,2636151.399999999906868,2613528.390000000130385,10566948.570000000298023
20110408,2836219.000000000000000,2500657.720000000670552,2653008.240000000223517,2610587.240000000223517,10600472.200000001117587
20110411,2787596.560000000055879,2507563.780000000260770,2680238.520000000018626,2607057.859999999869615,10582456.719999998807907
20110412,2694489.760000000242144,2521047.040000000037253,2653008.240000000223517,2635881.130000000353903,10504426.170000001788139
20110413,2684920.450000000186265,2528610.820000000298023,2653008.240000000223517,2607646.089999999850988,10474185.600000001490116
20110414,2712593.859999999869615,2534530.299999999813735,2656898.279999999795109,2636469.359999999869615,10540491.799999998882413
20110415,2747767.539999999571592,2544724.959999999962747,2662085.000000000000000,2645881.040000000037253,10600458.539999999105930
20110418,2702765.919999999925494,2532228.280000000260770,2645228.159999999683350,2561764.149999999906868,10441986.509999999776483
20110419,2726042.620000000111759,2519073.879999999888241,2662085.000000000000000,2585881.580000000074506,10493083.080000000074506
20110420,2788372.450000000186265,2578268.680000000633299,2643931.479999999981374,2602352.020000000018626,10612924.630000000819564
20110421,2796648.609999999869615,2529268.540000000037253,2566130.679999999701977,2812350.130000000353903,10704397.960000000894070
20110425,2778285.879999999888241,2536503.459999999962747,2611514.479999999981374,2806467.830000000074506,10732771.650000000372529
20110426,2812683.669999999925494,2530255.120000000111759,2617997.880000000353903,2785291.550000000279397,10746228.220000000670552
20110427,2818373.529999999795109,2560839.100000000558794,2675051.799999999813735,2835879.330000000074506,10890143.760000001639128
20110428,2814235.450000000186265,2566100.860000000335276,2700985.399999999906868,2888231.800000000279397,10969553.510000001639128
20110429,2830529.139999999664724,2575308.940000000409782,2719138.919999999925494,2895878.790000000037253,11020855.789999999105930
20110502,2797941.760000000242144,2586161.320000000298023,2725622.319999999832362,2934113.740000000223517,11043839.140000000596046
20110503,2745957.129999999888241,2596027.120000000111759,2650414.880000000353903,2922349.140000000130385,10914748.270000001415610
20110504,2707421.260000000242144,2600302.299999999813735,2676348.479999999981374,2915290.380000000353903,10899362.420000001788139
20110505,2654143.479999999981374,2584845.879999999888241,2643931.479999999981374,2916466.839999999850988,10799387.679999999701977
20110506,2660867.859999999869615,2588134.480000000447035,2664678.359999999869615,2948231.259999999776483,10861911.959999999031425
20110509,2692162.089999999850988,2608194.940000000409782,2671161.760000000242144,2968819.310000000055879,10940338.100000001490116
20110510,2699145.100000000093132,2621349.339999999850988,2704875.439999999944121,2971172.229999999981374,10996542.109999999403954
20110511,2644832.800000000279397,2614772.140000000596046,2672458.439999999944121,2942348.959999999962747,10874412.339999999850988
20110512,2657764.300000000279397,2652591.040000000037253,2708765.479999999981374,2945878.339999999850988,10964999.160000000149012
20110513,2648194.989999999757856,2655221.919999999925494,2712655.520000000018626,2938231.350000000093132,10954303.779999999329448
20110516,2629056.370000000111759,2668376.320000000298023,2720435.600000000093132,2951172.410000000149012,10969040.700000001117587
20110517,2596986.250000000000000,2661470.260000000707805,2741182.479999999981374,2940584.270000000018626,10940223.259999999776483
20110518,2660350.600000000093132,2680215.280000000260770,2746369.199999999720603,2977054.529999999795109,11063989.609999999403954
20110519,2686472.229999999981374,2713430.140000000596046,2726919.000000000000000,2973525.149999999906868,11100346.520000001415610
20110520,2652850.329999999608845,2707510.660000000149012,2682831.880000000353903,2925878.520000000018626,10969071.390000000596046
