訓練日期,20140131 - 20140505
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10938226.809999998658895
真實報酬,938226.809999998658895

夏普值報酬,0.085122681000000
夏普值風險,0.027375527414621
夏普值,3.109444421316871

預期報酬,15361.430119575074059
風險,69322.244214298902079
趨勢值,0.221594529918674
找到最佳解世代,1854
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,5
CAT[3](2),DD[7](10),JNJ[12](1),MCD[15](4),PG[21](3),
20140221,2092273.699999999953434,2072833.549999999813735,2045138.919999999925494,2056500.649999999906868,2028618.699999999953434,10295365.519999999552965
20140224,2088411.079999999841675,2072213.689999999944121,2035977.060000000055879,2057566.699999999953434,2025756.829999999841675,10279925.359999999403954
20140225,2068883.389999999897555,2084300.959999999962747,2035977.060000000055879,2060125.219999999972060,2032521.250000000000000,10281807.879999998956919
20140226,2085836.000000000000000,2110954.939999999944121,2035977.060000000055879,2044560.889999999897555,2025756.829999999841675,10303085.719999998807907
20140227,2075106.500000000000000,2141018.149999999906868,2041563.560000000055879,2027290.879999999888241,2034342.439999999944121,10319321.530000001192093
20140228,2080900.429999999934807,2150006.120000000111759,2058546.520000000018626,2028783.350000000093132,2046570.429999999934807,10364806.849999999627471
20140303,2066737.489999999990687,2137918.850000000093132,2046032.760000000009313,2011086.919999999692664,2015870.370000000111759,10277646.390000000596046
20140304,2081973.379999999888241,2183168.629999999888241,2085808.640000000130385,2025158.780000000027940,2041106.860000000102445,10417216.290000000968575
20140305,2068025.030000000027940,2203004.149999999906868,2069049.140000000130385,2026011.619999999878928,2024716.149999999674037,10390806.089999999850988
20140306,2094419.599999999860302,2197115.479999999981374,2075752.939999999944121,2037951.379999999888241,2030960.229999999981374,10436199.629999998956919
20140307,2082617.149999999906868,2185338.140000000130385,2085361.719999999739230,2036245.699999999953434,2039285.669999999925494,10428848.379999998956919
20140310,2076179.449999999953434,2199284.989999999757856,2088266.699999999953434,2029849.399999999906868,2043188.219999999972060,10436768.759999999776483
20140311,2078110.760000000009313,2174180.660000000149012,2089160.539999999804422,2106178.580000000074506,2054115.360000000102445,10501745.899999998509884
20140312,2077681.579999999841675,2163952.969999999739230,2091618.599999999860302,2104686.109999999403954,2061660.289999999804422,10499599.549999997019768
20140313,2051716.189999999944121,2151245.839999999850988,2078211.000000000000000,2076115.969999999972060,2060359.439999999944121,10417648.439999999478459
20140314,2046995.209999999962747,2147216.750000000000000,2073965.260000000009313,2080593.379999999888241,2054895.870000000111759,10403666.469999998807907
20140317,2053003.729999999981374,2162713.250000000000000,2098992.780000000260770,2081019.799999999813735,2077270.489999999990687,10473000.050000000745058
20140318,2068883.389999999897555,2192156.600000000093132,2099216.239999999757856,2074836.709999999962747,2075449.299999999813735,10510542.240000002086163
20140319,2060943.560000000055879,2189677.160000000149012,2091395.140000000130385,2049038.299999999813735,2049692.469999999972060,10440746.630000000819564
20140320,2064591.589999999850988,2217570.859999999869615,2103238.520000000018626,2059698.799999999813735,2037724.649999999674037,10482824.419999999925494
20140321,2089913.209999999962747,2216021.209999999962747,2143684.780000000260770,2035606.069999999832362,2026277.169999999925494,10511502.439999999478459
20140324,2078325.349999999860302,2213851.700000000186265,2127372.200000000186265,2050743.980000000214204,2063221.309999999823049,10533514.540000000968575
20140325,2115664.009999999776483,2235236.870000000111759,2176086.479999999981374,2044987.309999999823049,2076489.979999999981374,10648464.650000000372529
20140326,2098711.399999999441206,2181618.979999999981374,2168712.299999999813735,2043494.840000000083819,2068424.709999999962747,10560962.230000000447035
20140327,2112659.750000000000000,2118083.330000000074506,2173851.879999999888241,2050317.559999999823049,2072327.260000000009313,10527239.779999999329448
20140328,2132831.209999999962747,2127381.229999999981374,2177427.239999999757856,2073344.239999999757856,2075189.130000000121072,10586173.050000000745058
20140331,2132402.030000000260770,2144737.310000000055879,2195080.580000000074506,2090187.830000000074506,2097043.409999999916181,10659451.160000000149012
20140401,2141843.990000000223517,2194016.180000000167638,2188600.239999999757856,2087416.100000000093132,2090278.989999999990687,10702155.500000000000000
20140402,2202358.370000000111759,2202384.290000000037253,2195080.580000000074506,2080806.590000000083819,2084815.419999999925494,10765445.250000000000000
20140403,2200641.649999999441206,2187507.649999999906868,2195750.959999999962747,2082299.059999999823049,2084034.909999999916181,10750234.229999998584390
20140404,2192487.230000000447035,2149076.330000000074506,2199326.319999999832362,2086776.469999999972060,2075449.299999999813735,10703115.650000002235174
20140407,2169740.689999999478459,2115603.890000000130385,2187482.939999999944121,2068440.410000000149012,2094181.539999999804422,10635449.469999998807907
20140408,2197208.209999999962747,2121802.489999999757856,2191281.760000000242144,2091253.879999999888241,2116556.159999999683350,10718102.500000000000000
20140409,2210083.609999999403954,2161473.529999999795109,2211169.700000000186265,2097010.549999999813735,2120198.540000000037253,10799935.929999999701977
20140410,2194418.540000000037253,2105376.200000000186265,2157315.840000000316650,2120037.230000000447035,2109791.740000000223517,10686939.550000000745058
20140411,2177036.750000000000000,2072213.689999999944121,2164690.020000000018626,2117052.290000000037253,2101206.129999999888241,10632198.879999998956919
20140414,2205577.219999999739230,2096388.229999999981374,2170723.439999999944121,2134535.509999999776483,2102506.979999999981374,10709731.379999998956919
20140415,2199568.700000000186265,2099487.529999999795109,2216756.200000000186265,2149886.629999999888241,2103287.490000000223517,10768986.550000000745058
20140416,2208796.070000000298023,2140708.219999999739230,2206700.500000000000000,2149886.629999999888241,2124361.260000000242144,10830452.679999999701977
20140417,2206650.169999999925494,2150316.049999999813735,2211393.159999999683350,2137520.450000000186265,2127223.129999999888241,10833102.959999997168779
20140421,2202572.959999999962747,2151555.770000000018626,2234633.000000000000000,2125154.269999999552965,2122019.729999999981374,10835935.730000000447035
20140422,2225104.910000000149012,2160233.810000000055879,2238655.280000000260770,2117691.919999999925494,2113954.459999999962747,10855640.380000002682209
20140423,2218452.620000000111759,2179139.540000000037253,2239549.120000000111759,2113640.929999999701977,2090799.329999999841675,10841581.540000000968575
20140424,2259224.719999999739230,2173250.870000000111759,2233739.159999999683350,2128778.839999999850988,2111352.760000000242144,10906346.349999999627471
20140425,2246563.910000000149012,2140708.219999999739230,2229940.340000000316650,2147754.530000000260770,2118117.179999999701977,10883084.179999999701977
20140428,2237336.540000000037253,2087400.259999999776483,2264576.640000000130385,2138799.709999999962747,2157923.189999999944121,10886036.339999997988343
20140429,2259653.899999999441206,2149386.259999999776483,2257649.379999999888241,2164171.700000000186265,2144914.689999999944121,10975775.929999997839332
20140430,2261799.799999999813735,2202384.290000000037253,2263459.340000000316650,2161613.179999999701977,2147776.560000000055879,11037033.169999999925494
20140501,2254718.330000000074506,2150006.120000000111759,2246476.379999999888241,2152658.359999999403954,2142312.990000000223517,10946172.179999999701977
20140502,2253430.790000000037253,2149076.330000000074506,2219214.260000000242144,2162679.230000000447035,2131385.850000000093132,10915786.460000000894070
20140505,2242915.879999999888241,2178519.680000000167638,2234633.000000000000000,2156496.139999999664724,2125662.109999999869615,10938226.809999998658895
