訓練日期,20140625 - 20140925
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10823872.349999997764826
真實報酬,823872.349999997764826

夏普值報酬,0.073687235000000
夏普值風險,0.027848169669308
夏普值,2.646035120980072

預期報酬,15007.951340522067767
風險,87784.117236325575504
趨勢值,0.170964313511507
找到最佳解世代,3066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](3),GS[8](7),MSFT[18](1),PG[21](5),
20140805,2623064.589999999850988,2517683.399999999906868,2579640.399999999906868,2512656.399999999906868,10233044.790000000968575
20140806,2618226.669999999925494,2522438.600000000093132,2559281.200000000186265,2565813.279999999795109,10265759.750000000000000
20140807,2585570.709999999962747,2512928.200000000186265,2588622.399999999906868,2535754.330000000074506,10222875.640000000596046
20140808,2626088.289999999571592,2559885.800000000279397,2586826.000000000000000,2561383.540000000037253,10334183.629999998956919
20140811,2645742.339999999850988,2562857.800000000279397,2586826.000000000000000,2578153.270000000018626,10373579.410000000149012
20140812,2636973.609999999869615,2560926.000000000465661,2605987.600000000093132,2576254.810000000055879,10380142.020000001415610
20140813,2648766.039999999571592,2561520.400000000372529,2639520.399999999906868,2578153.270000000018626,10427960.109999999403954
20140814,2679305.409999999683350,2566870.000000000000000,2650897.600000000093132,2593024.540000000037253,10490097.550000000745058
20140815,2699564.199999999720603,2554536.200000000186265,2682035.199999999720603,2587645.569999999832362,10523781.169999999925494
20140818,2720427.729999999981374,2593915.200000000186265,2701196.799999999813735,2608528.629999999888241,10624068.359999999403954
20140819,2724056.169999999925494,2585147.800000000279397,2714370.399999999906868,2616438.879999999888241,10640013.250000000000000
20140820,2716496.919999999925494,2586188.000000000000000,2691616.000000000000000,2620235.799999999813735,10614536.719999998807907
20140821,2732824.899999999906868,2602831.200000000186265,2707783.600000000093132,2635107.069999999832362,10678546.769999999552965
20140822,2736150.969999999739230,2607586.400000000372529,2703592.000000000000000,2638587.580000000074506,10685916.949999999254942
20140825,2732824.899999999906868,2643250.400000000372529,2704789.600000000093132,2643333.729999999981374,10724198.630000000819564
20140826,2721939.579999999608845,2643696.200000000186265,2695208.799999999813735,2638271.169999999925494,10699115.750000000000000
20140827,2732522.529999999795109,2642358.800000000279397,2686825.599999999627471,2636056.299999999813735,10697763.230000000447035
20140828,2728289.350000000093132,2639981.200000000186265,2687424.400000000372529,2627196.819999999832362,10682891.770000001415610
20140829,2717706.399999999906868,2661676.800000000279397,2720358.399999999906868,2629728.099999999627471,10729469.699999999254942
20140902,2745524.439999999944121,2671484.400000000372529,2699999.200000000186265,2625614.770000000018626,10742622.810000000521541
20140903,2749757.619999999646097,2668958.200000000186265,2692214.800000000279397,2623083.490000000223517,10734014.110000001266599
20140904,2725568.020000000018626,2676091.000000000465661,2710178.799999999813735,2648396.290000000037253,10760234.109999999403954
20140905,2749757.619999999646097,2671187.200000000186265,2749100.799999999813735,2650611.159999999683350,10820656.779999999329448
20140908,2738267.560000000055879,2676536.800000000279397,2782633.600000000093132,2636372.709999999497086,10833810.669999999925494
20140909,2709240.039999999571592,2636266.200000000186265,2799998.799999999813735,2625931.179999999701977,10771436.219999998807907
20140910,2706821.079999999608845,2672970.400000000372529,2804789.200000000186265,2646497.830000000074506,10831078.510000001639128
20140911,2720427.729999999981374,2689762.200000000186265,2814370.000000000000000,2641751.679999999701977,10866311.609999999403954
20140912,2711356.629999999888241,2722008.399999999906868,2796406.000000000000000,2634474.250000000000000,10864245.279999999329448
20140915,2723753.799999999813735,2734045.000000000000000,2768861.200000000186265,2653775.259999999776483,10880435.259999999776483
20140916,2729498.829999999608845,2734936.600000000093132,2799998.799999999813735,2660419.869999999646097,10924854.099999999627471
20140917,2731313.049999999813735,2746527.399999999906868,2785627.600000000093132,2662951.149999999906868,10926419.199999999254942
20140918,2731615.419999999925494,2792147.600000000093132,2795208.399999999906868,2663900.379999999888241,10982871.800000000745058
20140919,2736150.969999999739230,2767034.200000000186265,2845507.600000000093132,2672759.859999999869615,11021452.629999998956919
20140922,2699866.569999999832362,2753511.600000000093132,2817962.800000000279397,2683517.799999999813735,10954858.769999999552965
20140923,2670234.310000000055879,2750539.600000000093132,2788022.800000000279397,2671810.629999999888241,10880607.339999999850988
20140924,2704704.489999999757856,2790958.800000000279397,2819160.399999999906868,2697123.429999999701977,11011947.119999999180436
20140925,2662977.429999999701977,2735679.600000000093132,2756885.199999999720603,2668330.119999999646097,10823872.349999997764826
