訓練日期,20170323 - 20170623
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10780407.789999999105930
真實報酬,780407.789999999105930

夏普值報酬,0.069340779000000
夏普值風險,0.023340035745453
夏普值,2.970894293232076

預期報酬,12244.582300325630058
風險,46105.852167470926361
趨勢值,0.265575447035432
找到最佳解世代,2345
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
BA[2](9),JNJ[12](15),KO[14](4),MCD[15](1),NKE[19](20),UTX[24](6),WMT[28](7),XOM[29](19),
20170504,1293007.579999999841675,1227131.000000000000000,1287753.599999999860302,1388936.699999999953434,1262750.100000000093132,1351284.689999999944121,1358359.370000000111759,1248165.439999999944121,10417388.479999998584390
20170505,1306707.859999999869615,1222775.000000000000000,1288638.449999999953434,1393874.520000000018626,1250695.460000000195578,1355193.139999999897555,1361206.250000000000000,1253974.879999999888241,10433065.559999998658895
20170508,1313840.479999999981374,1220201.000000000000000,1294537.449999999953434,1396585.480000000214204,1258809.159999999916181,1352178.049999999813735,1354444.910000000149012,1267275.439999999944121,10457871.970000000670552
20170509,1320125.659999999916181,1219805.000000000000000,1283329.349999999860302,1397747.320000000065193,1272486.540000000037253,1356421.509999999776483,1365120.709999999962747,1258408.399999999906868,10473444.490000000223517
20170510,1293784.400000000139698,1215845.000000000000000,1285099.049999999813735,1399296.440000000176951,1264836.480000000214204,1351508.029999999795109,1364764.850000000093132,1252293.199999999720603,10427427.449999999254942
20170511,1299151.520000000018626,1219706.000000000000000,1288048.550000000046566,1396295.020000000018626,1257418.239999999990687,1354411.449999999953434,1354622.839999999850988,1262994.799999999813735,10432648.420000001788139
20170512,1294278.739999999990687,1224062.000000000000000,1285688.949999999953434,1407429.320000000065193,1256490.960000000195578,1349386.299999999813735,1347149.779999999795109,1262077.519999999785796,10426563.570000000298023
20170515,1288205.419999999925494,1257227.000000000000000,1289818.249999999767169,1416336.760000000009313,1246522.700000000186265,1350391.330000000074506,1357469.720000000204891,1265899.519999999785796,10471870.699999999254942
20170516,1290394.639999999897555,1264949.000000000000000,1293357.649999999906868,1426115.580000000074506,1223572.520000000018626,1355751.489999999990687,1336473.979999999981374,1262077.519999999785796,10452692.379999998956919
20170517,1262711.600000000093132,1254059.000000000000000,1295717.250000000000000,1417595.419999999925494,1200854.159999999916181,1335427.549999999813735,1336651.910000000149012,1253516.239999999757856,10356533.130000000819564
20170518,1252966.040000000037253,1257029.000000000000000,1291882.899999999906868,1423404.619999999878928,1198072.320000000065193,1333082.479999999981374,1379710.970000000204891,1249847.119999999878928,10385995.449999999254942
20170519,1276694.359999999869615,1257326.000000000000000,1294832.399999999906868,1434442.100000000093132,1200158.700000000186265,1353071.409999999916181,1401596.359999999869615,1252598.959999999962747,10470720.289999999105930
20170522,1297244.779999999795109,1259900.000000000000000,1303091.000000000000000,1434829.380000000121072,1195522.300000000046566,1358654.909999999916181,1397681.899999999906868,1258102.639999999897555,10505026.910000000149012
20170523,1295973.620000000111759,1262474.000000000000000,1309284.949999999953434,1431247.040000000037253,1210126.960000000195578,1363233.379999999888241,1396614.319999999832362,1262536.159999999916181,10531490.429999999701977
20170524,1308402.739999999990687,1262375.000000000000000,1328161.750000000000000,1447512.800000000046566,1205722.380000000121072,1363345.049999999813735,1390564.700000000186265,1258102.639999999897555,10564187.060000000521541
20170525,1321255.579999999841675,1262573.000000000000000,1339369.849999999860302,1450223.760000000009313,1213604.260000000009313,1365243.439999999944121,1393411.580000000074506,1249847.119999999878928,10595528.589999997988343
20170526,1317865.820000000065193,1256534.000000000000000,1338779.949999999953434,1450998.320000000065193,1219167.940000000176951,1360776.639999999897555,1390208.839999999850988,1246789.519999999785796,10581121.030000001192093
20170530,1319913.800000000046566,1258415.000000000000000,1339959.750000000000000,1451676.060000000055879,1226818.000000000000000,1354299.779999999795109,1390564.700000000186265,1239909.919999999692664,10581557.009999999776483
20170531,1325210.300000000046566,1269701.000000000000000,1341139.549999999813735,1460970.780000000027940,1228440.739999999990687,1354411.449999999953434,1398571.549999999813735,1230737.119999999878928,10609182.490000000223517
20170601,1323021.079999999841675,1274948.000000000000000,1350577.949999999953434,1475493.780000000027940,1212445.159999999916181,1360106.620000000111759,1420101.080000000074506,1233794.719999999972060,10650488.390000002458692
20170602,1343571.500000000000000,1287818.000000000232831,1353527.449999999953434,1488564.480000000214204,1228208.919999999925494,1363791.729999999981374,1416720.410000000149012,1215449.119999999878928,10697651.609999999403954
20170605,1334532.139999999897555,1290590.000000000232831,1356476.949999999953434,1479366.580000000074506,1228904.380000000121072,1351061.350000000093132,1428107.930000000167638,1224927.679999999934807,10693967.009999999776483
20170606,1318995.739999999990687,1295243.000000000232831,1356181.999999999767169,1464262.659999999916181,1216617.919999999925494,1341457.729999999981374,1404443.240000000223517,1241591.599999999860302,10638793.890000000596046
20170607,1328529.439999999944121,1294451.000000000000000,1342319.349999999860302,1471136.880000000121072,1234004.419999999925494,1337660.949999999953434,1408357.700000000186265,1237005.199999999720603,10653464.939999999478459
20170608,1341452.900000000139698,1292471.000000000000000,1331111.250000000000000,1466199.060000000055879,1233308.960000000195578,1339447.669999999925494,1404443.240000000223517,1232571.679999999934807,10641005.760000001639128
20170609,1342159.100000000093132,1302173.000000000000000,1336715.299999999813735,1466683.159999999916181,1239336.280000000027940,1347264.570000000065193,1413161.810000000055879,1255656.559999999823049,10703149.780000001192093
20170612,1341947.239999999990687,1305044.000000000000000,1337010.249999999767169,1437540.340000000083819,1252550.020000000018626,1338777.649999999906868,1409959.069999999832362,1267886.959999999962747,10690715.530000001192093
20170613,1349644.820000000065193,1307024.000000000000000,1328161.750000000000000,1450611.040000000037253,1259040.980000000214204,1340787.709999999962747,1414941.109999999869615,1268345.599999999860302,10718557.009999999776483
20170614,1358754.800000000046566,1314449.000000000000000,1336125.399999999906868,1458937.560000000055879,1267154.679999999934807,1340229.360000000102445,1421702.450000000186265,1254739.279999999795109,10752092.529999999329448
20170615,1380435.139999999897555,1317122.000000000000000,1334650.649999999906868,1463681.739999999990687,1226354.360000000102445,1348492.939999999944121,1404087.379999999888241,1257644.000000000000000,10732468.210000000894070
20170616,1387426.520000000018626,1330091.000000000000000,1336420.349999999860302,1471620.980000000214204,1184626.760000000009313,1344919.500000000000000,1338787.069999999832362,1276448.239999999757856,10670340.419999999925494
20170619,1406070.200000000186265,1327319.000000000000000,1338485.000000000000000,1482755.280000000027940,1205954.200000000186265,1360776.639999999897555,1343413.250000000000000,1265288.000000000000000,10730061.570000000298023
20170620,1400773.700000000186265,1328804.000000000000000,1345268.849999999860302,1491759.540000000037253,1195290.480000000214204,1356979.860000000102445,1344124.970000000204891,1258408.399999999906868,10721409.800000000745058
20170621,1406705.779999999795109,1335635.000000000000000,1333765.799999999813735,1488467.659999999916181,1219167.940000000176951,1359659.939999999944121,1356580.069999999832362,1245107.839999999850988,10745090.029999999329448
20170622,1408612.520000000018626,1346921.000000000000000,1329341.549999999813735,1498827.400000000139698,1214763.360000000102445,1364350.080000000074506,1343769.109999999869615,1239604.159999999916181,10746189.179999999701977
20170623,1428315.500000000000000,1350683.000000000000000,1334650.649999999906868,1497278.280000000027940,1225195.260000000009313,1364908.429999999934807,1331669.870000000111759,1247706.799999999813735,10780407.789999999105930
