訓練日期,20131114 - 20140219
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11419356.939999999478459
真實報酬,1419356.939999999478459

夏普值報酬,0.133235694000000
夏普值風險,0.041303924806281
夏普值,3.225739312302292

預期報酬,21392.071603480490012
風險,120808.814215619218885
趨勢值,0.177073765208058
找到最佳解世代,2256
找到最佳解實驗#,2
找到最佳解次數,27

stock[index](rank)
投資組合檔數,3
CAT[3](2),MRK[17](1),V[25](4),
20131231,3595009.680000000167638,3524149.519999999552965,3715045.760000000242144,10834205.959999999031425
20140102,3557796.959999999962747,3484718.800000000279397,3687017.899999999906868,10729534.660000000149012
20140103,3555817.559999999590218,3501617.679999999701977,3689687.219999999739230,10747123.459999999031425
20140106,3509103.719999999739230,3502321.800000000279397,3667665.330000000074506,10679091.849999999627471
20140107,3520584.240000000223517,3528374.239999999757856,3695693.189999999944121,10744652.669999999925494
20140108,3528897.719999999739230,3505842.399999999906868,3707705.129999999888241,10742446.250000000000000
20140109,3551462.879999999888241,3486831.160000000149012,3702366.489999999757856,10740661.529999999329448
20140110,3583133.280000000260770,3512179.479999999981374,3689019.890000000130385,10784333.650000000372529
20140113,3558588.719999999739230,3740314.359999999869615,3652316.739999999757856,10951220.820000000298023
20140114,3585112.680000000167638,3731864.919999999925494,3714378.429999999701977,11031357.029999999329448
20140115,3658350.479999999981374,3698067.160000000149012,3733063.669999999925494,11089482.310000000521541
20140116,3642515.280000000260770,3696658.919999999925494,3699697.169999999925494,11038872.370000001043081
20140117,3619950.119999999646097,3657932.320000000298023,3873870.299999999813735,11151753.739999998360872
20140121,3586696.199999999720603,3649482.879999999888241,3869198.989999999757856,11105379.070000000298023
20140122,3548691.719999999739230,3615685.120000000111759,3887216.899999999906868,11051594.740000000223517
20140123,3502769.640000000130385,3633288.120000000111759,3807804.629999999888241,10943863.390000000596046
20140124,3411321.359999999869615,3660044.679999999701977,3691021.879999999888241,10762388.919999998062849
20140127,3614011.919999999925494,3698771.279999999795109,3607605.629999999888241,10920389.829999998211861
20140128,3660725.759999999776483,3722711.359999999869615,3686350.569999999832362,11069788.689999999478459
20140129,3587487.959999999962747,3676239.439999999944121,3622286.890000000130385,10886015.290000000968575
20140130,3689625.000000000000000,3767775.039999999571592,3685015.909999999683350,11142416.949999999254942
20140131,3717732.479999999981374,3729752.560000000055879,3594259.029999999795109,11041745.070000000298023
20140203,3658746.359999999869615,3667085.879999999888241,3561559.859999999869615,10887393.099999999627471
20140204,3661913.399999999906868,3767775.039999999571592,3579577.770000000018626,11009267.209999999031425
20140205,3640535.879999999888241,3769183.279999999795109,3596928.349999999627471,11006648.509999999776483
20140206,3714565.439999999944121,3786082.160000000149012,3653651.399999999906868,11154300.000000000000000
20140207,3755736.959999999962747,3856494.160000000149012,3700364.500000000000000,11312596.620000001043081
20140210,3741089.399999999906868,3864943.600000000093132,3679677.270000000018626,11285711.269999999552965
20140211,3759299.879999999888241,3921977.320000000298023,3709039.789999999571592,11390317.990000000223517
20140212,3807201.359999999869615,3872688.919999999925494,3739736.969999999739230,11419628.250000000000000
20140213,3804826.080000000074506,3879730.120000000111759,3737734.979999999981374,11422292.179999999701977
20140214,3822244.799999999813735,3903670.199999999720603,3770434.149999999906868,11496350.150000000372529
20140218,3822640.680000000167638,3921273.199999999720603,3771768.810000000055879,11515683.689999999478459
20140219,3808784.879999999888241,3875505.399999999906868,3735065.659999999683350,11419356.939999999478459
