訓練日期,20160705 - 20161004
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11222670.500000000000000
真實報酬,1222670.500000000000000

夏普值報酬,0.113567050000000
夏普值風險,0.031821109149489
夏普值,3.568921795481330

預期報酬,20844.322282496115804
風險,132733.024557343858760
趨勢值,0.157039458356431
找到最佳解世代,1721
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),INTC[11](4),PG[21](3),
20160812,3760557.979999999981374,3518574.419999999925494,3422189.419999999925494,10701322.820000000298023
20160815,3805748.580000000074506,3553179.959999999497086,3421403.079999999608845,10780332.619999999180436
20160816,3802272.379999999888241,3583714.260000000242144,3404103.599999999627471,10790091.240000000223517
20160817,3796710.459999999962747,3564375.870000000111759,3419044.059999999590218,10780131.390000000596046
20160818,3791843.779999999795109,3559286.819999999832362,3437916.219999999739230,10789047.820000000298023
20160819,3801577.139999999664724,3586767.690000000409782,3432805.009999999776483,10821150.839999999850988
20160822,3772029.439999999944121,3598981.410000000149012,3414719.189999999478459,10785731.039999999105930
20160823,3783848.519999999552965,3603052.649999999906868,3436343.540000000037253,10823245.710000000894070
20160824,3755343.679999999701977,3577607.399999999906868,3432805.009999999776483,10765757.089999999850988
20160825,3739353.159999999683350,3571500.540000000502914,3456002.040000000037253,10766856.740000000223517
20160826,3717453.099999999627471,3588803.309999999590218,3443420.599999999627471,10749678.009999997913837
20160829,3713281.659999999683350,3618319.799999999813735,3471728.839999999850988,10803331.299999998882413
20160830,3684776.819999999832362,3633586.950000000186265,3441847.919999999925494,10760212.689999999478459
20160831,3688253.019999999552965,3652925.339999999850988,3432805.009999999776483,10773984.369999999180436
20160901,3710153.080000000074506,3666156.870000000111759,3472122.009999999776483,10848432.960000000894070
20160902,3744915.080000000074506,3672263.729999999981374,3467797.139999999664724,10884976.949999999254942
20160906,3743872.219999999739230,3722136.419999999925494,3485096.619999999646097,10951106.259999999776483
20160907,3766815.139999999664724,3710940.510000000242144,3457967.889999999664724,10935724.539999999105930
20160908,3668091.059999999590218,3708904.889999999664724,3451284.000000000000000,10828280.949999999254942
20160909,3585009.879999999888241,3607123.889999999664724,3390735.819999999366701,10582870.589999999850988
20160912,3665310.099999999627471,3672263.729999999981374,3469762.989999999757856,10807337.820000000298023
20160913,3752562.719999999739230,3624426.660000000149012,3422582.589999999850988,10799572.969999998807907
20160914,3885353.559999999590218,3625444.469999999739230,3421009.910000000149012,10931808.939999999478459
20160915,4017449.159999999683350,3721118.610000000335276,3462292.759999999776483,11200861.529999999329448
20160916,3994853.859999999869615,3834095.520000000018626,3461899.589999999850988,11290849.969999998807907
20160919,3948272.779999999795109,3782187.209999999497086,3474481.029999999795109,11204942.019999999552965
20160920,3947925.159999999683350,3780151.589999999850988,3482737.599999999627471,11210815.349999999627471
20160921,3947229.919999999925494,3811703.700000000186265,3452070.339999999850988,11211004.960000000894070
20160922,3984425.259999999776483,3821881.799999999813735,3498857.569999999366701,11305165.629999998956919
20160923,3918029.839999999385327,3785240.639999999664724,3450497.660000000149012,11153769.139999998733401
20160926,3923939.379999999888241,3730278.899999999906868,3454036.189999999478459,11108255.469999998807907
20160927,3931239.399999999906868,3784222.830000000074506,3474087.859999999869615,11189551.089999999850988
20160928,3961134.719999999739230,3810685.889999999664724,3517336.559999999590218,11289158.169999998062849
20160929,3899605.979999999981374,3798472.169999999925494,3468976.649999999906868,11167055.800000000745058
20160930,3929848.919999999925494,3842238.000000000000000,3528738.489999999757856,11300826.410000000149012
20161003,3911425.059999999590218,3833077.709999999497086,3485882.959999999497086,11230386.729999998584390
20161004,3928110.819999999832362,3820863.989999999757856,3473694.689999999478459,11222670.500000000000000
