訓練日期,20091211 - 20100317
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143671.750000000000000
真實報酬,1143671.750000000000000

夏普值報酬,0.105667175000000
夏普值風險,0.030531812897044
夏普值,3.460887676611959

預期報酬,16568.539258314205654
風險,126196.324317048332887
趨勢值,0.131291773734141
找到最佳解世代,2142
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),MCD[15](2),PG[21](14),UNH[23](3),
20100209,2714959.580000000074506,2603194.000000000000000,2480719.839999999850988,2721873.890000000130385,10520747.310000000521541
20100210,2705870.379999999888241,2590090.000000000000000,2477104.810000000055879,2697954.400000000372529,10471019.589999999850988
20100211,2753588.680000000167638,2612203.000000000000000,2488753.239999999757856,2731771.609999999869615,10586316.529999999329448
20100212,2710869.439999999944121,2604013.000000000000000,2480719.839999999850988,2654239.470000000204891,10449841.750000000000000
20100216,2784037.500000000000000,2621212.000000000000000,2523698.529999999795109,2608874.919999999925494,10537822.949999999254942
20100217,2809487.260000000242144,2631449.500000000000000,2524501.870000000111759,2684757.439999999944121,10650196.070000000298023
20100218,2858114.479999999981374,2640458.500000000000000,2546192.049999999813735,2696304.779999999795109,10741069.810000000521541
20100219,2889926.680000000167638,2651105.500000000000000,2548602.069999999832362,2634444.030000000260770,10724078.280000001192093
20100222,2907196.160000000149012,2652334.000000000000000,2547397.060000000055879,2728472.370000000111759,10835399.589999999850988
20100223,2852660.959999999962747,2656429.000000000000000,2538961.989999999757856,2706202.500000000465661,10754254.449999999254942
20100224,2884927.620000000111759,2672399.500000000000000,2566275.549999999813735,2773012.109999999869615,10896614.779999999329448
20100225,2857205.560000000055879,2636363.500000000000000,2558643.819999999832362,2758990.340000000316650,10811203.220000000670552
20100226,2870384.899999999906868,2614660.000000000000000,2541773.680000000167638,2792807.550000000279397,10819626.130000000819564
20100301,2908559.540000000037253,2619983.500000000000000,2551012.089999999850988,2807654.129999999888241,10887209.259999999776483
20100302,2928555.779999999795109,2623668.999999999534339,2559045.489999999757856,2800230.840000000316650,10911501.109999999403954
20100303,2929010.240000000223517,2605651.000000000000000,2552618.770000000018626,2812602.990000000223517,10899883.000000000000000
20100304,2979000.839999999850988,2597461.000000000000000,2557438.810000000055879,2717749.840000000316650,10851650.490000000223517
20100305,3087162.320000000298023,2607289.000000000000000,2558242.149999999906868,2782909.830000000074506,11035603.300000000745058
20100308,3055804.579999999608845,2666666.500000000000000,2538158.649999999906868,2730121.990000000223517,10990751.720000000670552
20100309,3080799.880000000353903,2665847.500000000000000,2542577.020000000018626,2728472.370000000111759,11017696.769999999552965
20100310,3181690.000000000465661,2659295.500000000000000,2530928.589999999850988,2741669.330000000074506,11113583.419999999925494
20100311,3184416.759999999776483,2670351.999999999534339,2537355.310000000055879,2763114.390000000130385,11155238.460000000894070
20100312,3173509.719999999739230,2683456.000000000000000,2543380.359999999869615,2714450.599999999627471,11114796.679999999701977
20100315,3153967.940000000409782,2699836.000000000465661,2558643.819999999832362,2683107.820000000298023,11095555.580000001937151
20100316,3123064.660000000149012,2705568.999999999534339,2551815.430000000167638,2725997.939999999944121,11106447.029999999329448
20100317,3153059.020000000018626,2718263.500000000000000,2571095.590000000316650,2701253.640000000130385,11143671.750000000000000
