訓練日期,20120103 - 20120404
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11924876.070000000298023
真實報酬,1924876.070000000298023

夏普值報酬,0.183787607000000
夏普值風險,0.053242299393661
夏普值,3.451909648776026

預期報酬,31465.192375273582002
風險,69359.528239365361515
趨勢值,0.453653494681865
找到最佳解世代,2034
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,9
AAPL[0](2),GS[8](8),HD[9](1),IBM[10](6),KO[14](25),NKE[19](7),PFE[20](24),UNH[23](14),V[25](11),
20120111,1159118.500000000000000,1225739.380000000121072,1148640.180000000167638,1101685.479999999981374,1080626.200000000186265,1131866.349999999860302,1124460.699999999953434,1162193.919999999925494,1084844.200000000186265,10219175.910000000149012
20120112,1156046.020000000018626,1243554.079999999841675,1146790.150000000139698,1090991.140000000130385,1072687.450000000186265,1142935.869999999878928,1129081.749999999767169,1159124.559999999823049,1109359.880000000121072,10250571.900000002235174
20120113,1151629.329999999841675,1215910.579999999841675,1149961.630000000121072,1082592.760000000009313,1063478.500000000000000,1133711.269999999785796,1121380.000000000000000,1155397.479999999981374,1102793.180000000167638,10176855.729999998584390
20120117,1165071.429999999934807,1200184.500000000000000,1156040.300000000046566,1087668.040000000037253,1069194.400000000139698,1144319.559999999823049,1126514.500000000000000,1174471.359999999869615,1122055.500000000000000,10245520.589999999850988
20120118,1177169.319999999832362,1281640.679999999934807,1186169.360000000102445,1094132.979999999981374,1073322.550000000046566,1163229.989999999990687,1128054.849999999860302,1182583.239999999990687,1136064.459999999962747,10422368.429999999701977
20120119,1173520.750000000000000,1323044.500000000000000,1200176.729999999981374,1090809.880000000121072,1071099.699999999953434,1171532.129999999888241,1121380.000000000000000,1147066.359999999869615,1120304.380000000121072,10418935.430000001564622
20120120,1152973.539999999804422,1336067.659999999916181,1176390.630000000121072,1139145.880000000121072,1081261.300000000046566,1173377.050000000046566,1124460.699999999953434,1145970.159999999916181,1101042.060000000055879,10430689.980000000447035
20120123,1172560.599999999860302,1329310.360000000102445,1186169.360000000102445,1147967.199999999953434,1088247.400000000139698,1171070.899999999906868,1114705.149999999906868,1149478.000000000000000,1090097.560000000055879,10449607.530000001192093
20120124,1153357.599999999860302,1337664.840000000083819,1188283.680000000167638,1159749.100000000093132,1078085.800000000046566,1178450.580000000074506,1112137.899999999906868,1125361.599999999860302,1105419.860000000102445,10438511.959999999031425
20120125,1225368.849999999860302,1330293.239999999990687,1196212.380000000121072,1158540.699999999953434,1086659.649999999906868,1189981.330000000074506,1115218.599999999860302,1130623.359999999869615,1100604.280000000027940,10533503.389999998733401
20120126,1219799.979999999981374,1333856.179999999934807,1188019.390000000130385,1154009.199999999953434,1079991.100000000093132,1179834.269999999785796,1110597.549999999813735,1103876.080000000074506,1104106.520000000018626,10474091.269999999552965
20120127,1227097.119999999878928,1373294.239999999990687,1185905.070000000065193,1150867.360000000102445,1070782.149999999906868,1177528.119999999878928,1102895.800000000046566,1118565.159999999916181,1105857.640000000130385,10512793.660000000149012
20120130,1242843.579999999841675,1348230.800000000046566,1183262.170000000158325,1163193.040000000037253,1071099.699999999953434,1192287.479999999981374,1108030.299999999813735,1119661.359999999869615,1093162.020000000018626,10521771.449999999254942
20120131,1252253.049999999813735,1369608.439999999944121,1173219.150000000139698,1163797.239999999990687,1072369.900000000139698,1199205.929999999934807,1098788.199999999953434,1135446.639999999897555,1101479.840000000083819,10566169.390000000596046
20120201,1251484.929999999934807,1393934.719999999972060,1175333.469999999972060,1163918.080000000074506,1077133.150000000139698,1196438.550000000046566,1094167.149999999906868,1167674.919999999925494,1122055.500000000000000,10642141.470000000670552
20120202,1248604.479999999748543,1393197.560000000055879,1175069.180000000167638,1157332.300000000046566,1077133.150000000139698,1185830.260000000009313,1083898.149999999906868,1151889.639999999897555,1161017.920000000158325,10633973.640000000596046
20120203,1261086.429999999934807,1444061.600000000093132,1193833.770000000018626,1170080.919999999925494,1080943.750000000000000,1193671.169999999925494,1088519.199999999953434,1124923.119999999878928,1171524.640000000130385,10728645.599999999627471
20120206,1272800.260000000009313,1442341.560000000055879,1194626.640000000130385,1165126.479999999981374,1080308.650000000139698,1193209.939999999944121,1075682.949999999953434,1124484.639999999897555,1175026.880000000121072,10723609.000000001862645
20120207,1286242.360000000102445,1425018.300000000046566,1201498.180000000167638,1168328.739999999990687,1088564.950000000186265,1201973.309999999823049,1080817.449999999953434,1140708.399999999906868,1171086.860000000102445,10764239.549999998882413
20120208,1307749.719999999739230,1427106.920000000158325,1193833.770000000018626,1165911.939999999944121,1085071.900000000139698,1221344.969999999972060,1078763.650000000139698,1143120.040000000037253,1185971.380000000121072,10808875.290000000968575
20120209,1352876.770000000018626,1423789.699999999953434,1196476.670000000158325,1166999.500000000000000,1079356.000000000000000,1219500.050000000046566,1085438.500000000000000,1163290.119999999878928,1230624.940000000176951,10918353.249999998137355
20120210,1353644.889999999897555,1402166.340000000083819,1198062.410000000149012,1162709.679999999934807,1078720.899999999906868,1215348.979999999981374,1080817.449999999953434,1168990.359999999869615,1246822.800000000046566,10907284.810000000521541
20120213,1378800.819999999832362,1407203.600000000093132,1213919.810000000055879,1163918.080000000074506,1086659.649999999906868,1213504.059999999823049,1093653.699999999953434,1180610.080000000074506,1233689.400000000139698,10971960.200000001117587
20120214,1397619.760000000009313,1386808.840000000083819,1217355.580000000074506,1161501.280000000027940,1093963.300000000046566,1229647.109999999869615,1095194.049999999813735,1193983.719999999972060,1261269.540000000037253,11037344.179999999701977
20120215,1365358.719999999739230,1390494.640000000130385,1208105.430000000167638,1161682.540000000037253,1086024.550000000046566,1229185.879999999888241,1083898.149999999906868,1197491.559999999823049,1259956.200000000186265,10982198.670000001788139
20120216,1377648.639999999897555,1409783.659999999916181,1213919.810000000055879,1166334.880000000121072,1093328.199999999953434,1224112.349999999860302,1095194.049999999813735,1201218.639999999897555,1245509.459999999962747,11027050.690000001341105
20120217,1377456.610000000102445,1424158.280000000027940,1234534.430000000167638,1168751.679999999934807,1096503.700000000186265,1230108.340000000083819,1088005.750000000000000,1198807.000000000000000,1258642.860000000102445,11076969.649999998509884
20120221,1412406.069999999832362,1433004.199999999953434,1240084.520000000018626,1168570.419999999925494,1092693.099999999860302,1210275.449999999953434,1089546.099999999860302,1212838.359999999869615,1249887.260000000242144,11109306.479999998584390
20120222,1407413.290000000037253,1405114.979999999981374,1230834.370000000111759,1171470.580000000074506,1099679.200000000186265,1219038.819999999832362,1096734.399999999906868,1209769.000000000000000,1273527.380000000121072,11113583.020000001415610
20120223,1416630.729999999748543,1422806.820000000065193,1240877.390000000130385,1194067.660000000149012,1098409.000000000232831,1224112.349999999860302,1079790.550000000046566,1204507.239999999990687,1274840.720000000204891,11156043.460000000894070
20120224,1433145.309999999823049,1423666.840000000083819,1241670.260000000009313,1194973.959999999962747,1095551.050000000046566,1225496.040000000037253,1087492.300000000046566,1220073.279999999795109,1286660.780000000027940,11208730.819999998435378
20120227,1442362.750000000000000,1428089.800000000046566,1240348.810000000055879,1193584.300000000046566,1093010.650000000139698,1235643.099999999860302,1091599.900000000139698,1221827.199999999953434,1279218.520000000018626,11225686.029999999329448
20120228,1468862.889999999897555,1438901.479999999981374,1248277.510000000009313,1196303.199999999953434,1093010.650000000139698,1238871.709999999962747,1089546.099999999860302,1224238.840000000083819,1301983.080000000074506,11299996.460000000894070
20120229,1488065.889999999897555,1414698.060000000055879,1257263.370000000111759,1188750.699999999953434,1109205.699999999953434,1244406.469999999972060,1084925.049999999813735,1222265.679999999934807,1273527.380000000121072,11283109.300000000745058
20120301,1493634.760000000009313,1488291.199999999953434,1254356.180000000167638,1193584.300000000046566,1105077.550000000046566,1251786.149999999906868,1103409.249999999767169,1227527.439999999944121,1282720.760000000242144,11400388.589999999850988
20120302,1495555.059999999823049,1473916.579999999841675,1253034.729999999981374,1201318.060000000055879,1098409.000000000232831,1254092.300000000046566,1099301.649999999906868,1224238.840000000083819,1271338.479999999981374,11371205.699999999254942
20120305,1462717.929999999934807,1457576.199999999953434,1252506.150000000139698,1212495.760000000009313,1099361.649999999906868,1259627.059999999823049,1103922.699999999953434,1206699.639999999897555,1272214.040000000037253,11327122.129999998956919
20120306,1454652.669999999925494,1396637.640000000130385,1226077.150000000139698,1191952.959999999962747,1091740.450000000186265,1237949.250000000000000,1092113.349999999860302,1193983.719999999972060,1256891.740000000223517,11141999.930000001564622
20120307,1455804.849999999860302,1430178.420000000158325,1252506.150000000139698,1195034.380000000121072,1092375.550000000046566,1240716.629999999888241,1097247.850000000093132,1192449.040000000037253,1265647.340000000083819,11221961.210000000894070
20120308,1486913.709999999962747,1439638.640000000130385,1263870.620000000111759,1207360.060000000055879,1099996.750000000000000,1244406.469999999972060,1101868.899999999906868,1219196.319999999832362,1291038.580000000074506,11354291.050000000745058
20120309,1495555.059999999823049,1441112.960000000195578,1271270.740000000223517,1212254.080000000074506,1103807.350000000093132,1268390.429999999934807,1102895.800000000046566,1222923.399999999906868,1282282.979999999981374,11400493.800000000745058
20120312,1514374.000000000000000,1437427.159999999916181,1284220.950000000186265,1214550.040000000037253,1113968.949999999953434,1261933.209999999962747,1105976.500000000000000,1206261.159999999916181,1275278.500000000000000,11413991.470000000670552
20120313,1558540.899999999906868,1530186.460000000195578,1298756.900000000139698,1231346.800000000046566,1115556.700000000186265,1277153.800000000046566,1130108.650000000139698,1213057.599999999860302,1283596.320000000065193,11638305.130000000819564
20120314,1617494.110000000102445,1478953.840000000083819,1307478.469999999972060,1237026.280000000027940,1114921.600000000093132,1272080.269999999785796,1126001.050000000046566,1222923.399999999906868,1277905.180000000167638,11654785.200000001117587
20120315,1606356.370000000111759,1512003.179999999934807,1300342.640000000130385,1244760.040000000037253,1116826.900000000139698,1276692.569999999832362,1124974.149999999906868,1221388.719999999972060,1280531.860000000102445,11683877.429999999701977
20120316,1606356.370000000111759,1510406.000000000000000,1296378.290000000037253,1244820.459999999962747,1113968.949999999953434,1282688.559999999823049,1126514.500000000000000,1218757.840000000083819,1277029.620000000111759,11676921.589999999850988
20120319,1648987.030000000027940,1527237.820000000065193,1290563.910000000149012,1243068.280000000027940,1117779.550000000046566,1292835.619999999878928,1123433.799999999813735,1230596.800000000046566,1300669.740000000223517,11775173.550000000745058
20120320,1662429.129999999888241,1548369.739999999990687,1305099.860000000102445,1234186.540000000037253,1120955.050000000046566,1288684.550000000046566,1119326.199999999953434,1200999.399999999906868,1275278.500000000000000,11755329.970000000670552
20120321,1652827.629999999888241,1548001.159999999916181,1315935.750000000000000,1236845.020000000018626,1129211.350000000093132,1273463.959999999962747,1117785.849999999860302,1183240.959999999962747,1277905.180000000167638,11735217.859999999403954
20120322,1644186.280000000027940,1532643.659999999916181,1313028.560000000055879,1241678.620000000111759,1133974.600000000093132,1279921.179999999934807,1115732.050000000046566,1181267.800000000046566,1283596.320000000065193,11726030.070000002160668
20120323,1635160.870000000111759,1550335.500000000000000,1309328.500000000000000,1241618.199999999953434,1134927.250000000000000,1238871.709999999962747,1120353.099999999860302,1176444.519999999785796,1300231.959999999962747,11707272.609999999403954
20120326,1665117.549999999813735,1573556.040000000037253,1324921.610000000102445,1255454.380000000121072,1141595.800000000046566,1251786.149999999906868,1137810.399999999906868,1208015.080000000074506,1314240.920000000158325,11872498.929999999701977
20120327,1685664.760000000009313,1552178.399999999906868,1322543.000000000000000,1251889.600000000093132,1141278.250000000000000,1243945.239999999990687,1155267.699999999953434,1215250.000000000000000,1311176.459999999962747,11879194.410000000149012
20120328,1694306.110000000102445,1552546.979999999981374,1319107.229999999981374,1252554.219999999972060,1153662.699999999953434,1236565.559999999823049,1150646.649999999906868,1215469.239999999990687,1306360.880000000121072,11881220.570000000298023
20120329,1672990.780000000027940,1520603.380000000121072,1319107.229999999981374,1258475.380000000121072,1172080.599999999860302,1243484.010000000009313,1151160.100000000093132,1274006.319999999832362,1302420.860000000102445,11914329.660000000149012
20120330,1644762.370000000111759,1528097.840000000083819,1329678.830000000074506,1260771.340000000083819,1175256.100000000093132,1250402.459999999962747,1162969.449999999953434,1292203.239999999990687,1291476.360000000102445,11935618.990000000223517
20120402,1697186.559999999823049,1534609.420000000158325,1321221.550000000046566,1265725.780000000027940,1177161.400000000139698,1257320.909999999916181,1159888.750000000000000,1296149.559999999823049,1302420.860000000102445,12011685.790000000968575
20120403,1726375.120000000111759,1507703.079999999841675,1321485.840000000083819,1265907.040000000037253,1171127.950000000186265,1267006.739999999990687,1157321.500000000000000,1302288.279999999795109,1317305.380000000121072,12036521.929999999701977
20120404,1712740.989999999990687,1473916.579999999841675,1317521.490000000223517,1245062.140000000130385,1166364.699999999953434,1262394.439999999944121,1149619.750000000000000,1294834.119999999878928,1302420.860000000102445,11924876.070000000298023
