訓練日期,20100915 - 20101215
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11535267.059999998658895
真實報酬,1535267.059999998658895

夏普值報酬,0.144826706000000
夏普值風險,0.044391069493403
夏普值,3.262518962772977

預期報酬,26164.554714140831493
風險,85481.893935808795504
趨勢值,0.306083002018985
找到最佳解世代,2268
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](3),KO[14](1),NKE[19](6),XOM[29](2),
20101130,2822837.680000000167638,2742185.950000000186265,2859988.270000000484288,2850344.800000000279397,11275356.700000002980232
20101201,2865526.959999999962747,2808157.750000000000000,2910466.330000000074506,2922872.320000000298023,11507023.359999999403954
20101202,2894875.839999999850988,2816838.250000000465661,2917108.180000000167638,2929018.720000000204891,11557840.990000000223517
20101203,2893541.800000000279397,2799477.250000000000000,2906481.220000000204891,2917135.680000000167638,11516635.950000001117587
20101206,2894875.839999999850988,2777776.000000000000000,2913123.070000000298023,2922052.800000000279397,11507827.710000000894070
20101207,2878867.359999999869615,2783852.350000000093132,2895854.260000000242144,2928199.200000000186265,11486773.170000001788139
20101208,2910884.320000000298023,2795137.000000000465661,2899839.370000000111759,2944179.839999999850988,11550040.530000001192093
20101209,2909550.279999999795109,2814234.100000000093132,2905152.850000000093132,2950326.240000000223517,11579263.470000000670552
20101210,2922890.680000000167638,2806421.649999999906868,2915779.810000000055879,2957701.920000000391155,11602794.060000000521541
20101213,2868195.040000000037253,2814234.100000000093132,2963601.129999999888241,2965077.600000000093132,11611107.869999999180436
20101214,2864192.919999999925494,2773435.750000000000000,2964929.500000000000000,2957701.920000000391155,11560260.089999999850988
20101215,2838846.160000000149012,2809893.849999999627471,2942347.209999999962747,2944179.839999999850988,11535267.059999998658895
