訓練日期,20101019 - 20110120
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11361362.890000000596046
真實報酬,1361362.890000000596046

夏普值報酬,0.127436289000000
夏普值風險,0.039307366460531
夏普值,3.242045969372191

預期報酬,22942.401236427693220
風險,90501.399750949552981
趨勢值,0.253503275082626
找到最佳解世代,2404
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](3),DIS[6](4),INTC[11](13),KO[14](10),WBA[27](9),XOM[29](1),
20101126,1747465.190000000176951,1760189.950000000186265,1853393.500000000000000,1781109.300000000046566,1631308.450000000186265,1740843.750000000000000,10514314.140000000596046
20101129,1737910.530000000260770,1746760.870000000111759,1852524.999999999767169,1761109.500000000000000,1685555.649999999906868,1746375.649999999906868,10530241.200000001117587
20101130,1757227.560000000055879,1751077.359999999869615,1837760.500000000000000,1754998.449999999953434,1687977.400000000139698,1749141.599999999860302,10538186.869999999180436
20101201,1816424.910000000149012,1780333.569999999832362,1865552.500000000000000,1797220.250000000000000,1727694.100000000325963,1793648.249999999767169,10780877.580000000074506
20101202,1840726.980000000214204,1790884.990000000223517,1884659.500000000000000,1802775.750000000232831,1749005.500000000000000,1797420.000000000000000,10865476.720000000670552
20101203,1856512.940000000176951,1802875.240000000223517,1883791.000000000000000,1791664.750000000000000,1785331.750000000000000,1790127.949999999953434,10910307.629999998956919
20101206,1852774.160000000149012,1801436.410000000149012,1884659.500000000000000,1777776.000000000000000,1760629.900000000139698,1793145.349999999860302,10870425.320000000298023
20101207,1876660.810000000055879,1790405.379999999888241,1874237.499999999767169,1781664.850000000093132,1754333.350000000093132,1796917.099999999860302,10874222.989999998360872
20101208,1861497.980000000214204,1773139.419999999925494,1895081.500000000000000,1788887.000000000232831,1766442.100000000093132,1806723.649999999674037,10891775.650000000372529
20101209,1862536.530000000260770,1762108.390000000130385,1894213.000000000000000,1801109.100000000093132,1761598.600000000093132,1810495.399999999906868,10892065.019999999552965
20101210,1868144.700000000186265,1758271.509999999776483,1902898.000000000000000,1796109.149999999906868,1764504.700000000186265,1815021.500000000000000,10904953.559999998658895
20101213,1903247.690000000176951,1780813.180000000167638,1867289.500000000000000,1801109.100000000093132,1764989.050000000046566,1819547.599999999860302,10937000.120000001043081
20101214,1912802.350000000325963,1786088.890000000130385,1864684.000000000000000,1774998.250000000000000,1780003.900000000139698,1815021.500000000000000,10933602.890000000596046
20101215,1934196.480000000214204,1772180.200000000186265,1848182.500000000000000,1798331.349999999860302,1798409.200000000186265,1806723.649999999674037,10958027.380000000819564
20101216,1935858.160000000149012,1775057.859999999869615,1849919.500000000000000,1814997.850000000093132,1826985.850000000093132,1816027.299999999813735,11018850.519999999552965
20101217,1923187.850000000325963,1776976.299999999813735,1863815.500000000000000,1824997.750000000000000,1820204.949999999953434,1814770.050000000046566,11023956.400000000372529
20101220,1937935.260000000242144,1777455.910000000149012,1843840.000000000000000,1814442.299999999813735,1805674.450000000186265,1816027.299999999813735,10995379.219999998807907
20101221,1965560.690000000176951,1790405.379999999888241,1832549.500000000232831,1818886.700000000186265,1783878.699999999953434,1828599.799999999813735,11019884.769999999552965
20101222,1964314.430000000167638,1820141.200000000186265,1814311.000000000000000,1822219.999999999767169,1881717.400000000139698,1830611.399999999906868,11133319.430000001564622
20101223,1961821.910000000149012,1808150.950000000186265,1809968.500000000000000,1821664.449999999953434,1898185.300000000046566,1840669.399999999906868,11140464.510000001639128
20101227,1953928.930000000167638,1797599.529999999795109,1809968.500000000000000,1807220.150000000139698,1887045.250000000232831,1835891.850000000093132,11091658.210000000894070
20101228,1946035.950000000186265,1791844.209999999962747,1813442.500000000000000,1815553.399999999906868,1911747.100000000093132,1846201.300000000046566,11124828.460000000894070
20101229,1947905.340000000316650,1803354.850000000093132,1818653.500000000000000,1818331.149999999906868,1912231.449999999953434,1844944.050000000046566,11145424.339999999850988
20101230,1949774.730000000214204,1797599.529999999795109,1825601.500000000000000,1819442.250000000000000,1900607.050000000279397,1844692.599999999860302,11137721.660000000149012
20101231,1945412.820000000065193,1799038.359999999869615,1826470.000000000000000,1827219.949999999953434,1887045.250000000232831,1838657.800000000046566,11123848.180000001564622
20110103,1955590.610000000335276,1813906.270000000018626,1810837.000000000232831,1811664.550000000046566,1904481.850000000093132,1874615.149999999906868,11171099.430000001564622
20110104,1946451.370000000111759,1870020.640000000130385,1836891.999999999767169,1774442.700000000186265,1920465.400000000139698,1883415.900000000139698,11231692.009999999776483
20110105,1963275.880000000121072,1916542.810000000055879,1818653.500000000000000,1763887.250000000000000,1947104.650000000372529,1878386.899999999906868,11287854.990000000223517
20110106,1942920.300000000279397,1901674.899999999906868,1803889.000000000000000,1751109.599999999860302,1952916.850000000093132,1890456.500000000000000,11242971.150000000372529
20110107,1946866.790000000270084,1892082.700000000186265,1794335.500000000000000,1747776.300000000046566,1941292.449999999953434,1900765.949999999953434,11223123.689999999478459
20110110,1939804.650000000139698,1894480.750000000000000,1796941.000000000000000,1751665.150000000139698,1983430.900000000372529,1889199.249999999767169,11255525.700000001117587
20110111,1951436.410000000149012,1889684.649999999906868,1828207.000000000000000,1741665.250000000000000,1977618.699999999953434,1903280.449999999953434,11291896.459999999031425
20110112,1941881.750000000000000,1878653.620000000111759,1849919.500000000000000,1751109.599999999860302,1995539.650000000372529,1925659.499999999767169,11342767.620000001043081
20110113,1955382.900000000139698,1882970.109999999869615,1849051.000000000000000,1761109.500000000000000,2016851.050000000279397,1928928.349999999860302,11394296.910000000149012
20110114,1952682.670000000391155,1884408.939999999944121,1830812.499999999767169,1753887.350000000093132,2007164.050000000046566,1957342.199999999953434,11386301.710000000894070
20110118,1998794.290000000270084,1889205.040000000037253,1830812.499999999767169,1763331.699999999953434,2032834.600000000093132,1979218.349999999860302,11494200.480000000447035
20110119,1984462.300000000279397,1874816.740000000223517,1824733.000000000232831,1761665.050000000046566,1999414.450000000186265,1967400.199999999720603,11412495.740000000223517
20110120,1944374.270000000251457,1878653.620000000111759,1819522.000000000000000,1748331.849999999860302,2015398.000000000000000,1955079.149999999906868,11361362.890000000596046
