訓練日期,20101011 - 20110111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11406792.410000002011657
真實報酬,1406792.410000002011657

夏普值報酬,0.131979241000000
夏普值風險,0.038439864081434
夏普值,3.433395100471846

預期報酬,22180.057359632744920
風險,84223.695521173474845
趨勢值,0.263346997806060
找到最佳解世代,1978
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
AAPL[0](5),CAT[3](11),DIS[6](4),KO[14](6),XOM[29](1),
20101027,2093785.790000000037253,1946499.399999999906868,2081715.140000000363216,2059912.130000000121072,2040073.850000000093132,10221986.310000000521541
20101028,2076171.200000000186265,1934555.079999999841675,2115908.000000000000000,2060585.299999999813735,2057159.600000000093132,10244379.179999999701977
20101029,2047130.930000000167638,1955955.319999999832362,2093885.480000000447035,2063951.149999999906868,2065547.149999999906868,10226470.030000001192093
20101101,2068554.080000000307336,1972627.599999999860302,2088090.080000000307336,2077414.549999999813735,2079837.050000000046566,10286523.360000001266599
20101102,2103783.260000000242144,1984571.919999999925494,2092726.400000000139698,2082126.739999999990687,2107484.900000000372529,10370693.220000000670552
20101103,2127586.760000000242144,1987806.839999999850988,2103158.120000000111759,2085492.589999999850988,2111523.349999999627471,10415567.660000000149012
20101104,2164720.220000000204891,2069924.040000000037253,2146044.080000000074506,2102321.839999999850988,2155325.000000000000000,10638335.179999999701977
20101105,2156627.030000000260770,2078882.280000000027940,2155896.260000000707805,2106360.860000000335276,2174585.299999999813735,10672351.730000000447035
20101108,2167100.570000000298023,2068431.000000000000000,2147782.700000000186265,2102321.839999999850988,2184526.099999999627471,10670162.209999999031425
20101109,2149485.979999999981374,2038321.359999999869615,2136191.900000000372529,2108380.370000000111759,2194156.250000000000000,10626535.859999999403954
20101110,2162815.939999999944121,2052007.559999999823049,2143725.919999999925494,2105687.690000000409782,2209688.750000000000000,10673925.859999999403954
20101111,2153770.610000000335276,2051509.879999999888241,2082294.680000000167638,2113765.729999999515712,2231434.250000000000000,10632775.149999998509884
20101112,2094737.930000000167638,2016672.280000000027940,2187770.959999999962747,2117804.750000000000000,2205339.649999999441206,10622325.570000000298023
20101115,2088072.950000000186265,2036081.799999999813735,2158793.959999999962747,2119151.089999999850988,2189496.500000000000000,10591596.300000000745058
20101116,2050939.489999999990687,2000000.000000000000000,2139669.140000000596046,2089531.609999999869615,2141656.400000000372529,10421796.640000000596046
20101117,2043798.440000000176951,2019907.199999999953434,2157055.339999999850988,2104341.349999999627471,2143830.950000000186265,10468933.280000001192093
20101118,2097594.350000000093132,2068182.159999999916181,2177918.780000000260770,2148770.570000000298023,2184215.450000000186265,10676681.309999998658895
20101119,2086168.670000000158325,2089582.399999999906868,2144885.000000000000000,2164926.649999999441206,2191360.400000000372529,10676923.119999999180436
20101122,2131395.320000000298023,2090328.919999999925494,2141407.760000000707805,2163580.309999999590218,2180487.650000000372529,10707199.960000000894070
20101123,2099498.630000000353903,2056237.839999999850988,2093305.939999999944121,2141365.700000000186265,2142899.000000000000000,10533307.109999999403954
20101124,2140916.720000000204891,2107498.879999999888241,2136771.440000000409782,2175024.200000000186265,2170857.500000000000000,10731068.740000000223517
20101126,2142344.930000000167638,2093563.839999999850988,2126919.260000000707805,2158194.950000000186265,2150665.250000000000000,10671688.230000000447035
20101129,2155198.820000000298023,2082117.199999999953434,2110692.140000000596046,2133960.830000000074506,2157499.549999999813735,10639468.540000002831221
20101130,2116161.080000000074506,2105259.319999999832362,2115908.000000000000000,2126555.959999999962747,2160916.700000000186265,10624801.059999998658895
20101201,2151866.330000000074506,2176178.720000000204891,2151259.940000000409782,2177716.879999999888241,2215901.750000000000000,10872923.620000001043081
20101202,2163768.080000000074506,2205293.000000000000000,2164009.820000000298023,2184448.580000000074506,2220561.500000000000000,10938080.980000000447035
20101203,2159007.380000000353903,2224204.839999999850988,2178498.320000000298023,2170985.179999999701977,2211552.650000000372529,10944248.370000001043081
20101206,2177574.110000000335276,2219725.720000000204891,2176759.700000000186265,2154155.929999999701977,2215280.450000000186265,10943495.910000000149012
20101207,2164244.150000000372529,2248342.319999999832362,2163430.280000000260770,2158868.120000000111759,2219940.200000000186265,10954825.070000000298023
20101208,2183286.950000000186265,2230177.000000000000000,2142566.839999999850988,2167619.330000000074506,2232055.549999999813735,10955705.670000001788139
20101209,2174717.689999999944121,2231421.200000000186265,2129237.419999999925494,2182429.070000000298023,2236715.299999999813735,10954520.679999999701977
20101210,2179954.459999999962747,2238139.879999999888241,2124601.099999999627471,2176370.540000000037253,2242307.000000000000000,10961372.980000000447035
20101213,2187571.580000000074506,2280193.839999999850988,2151839.480000000447035,2182429.070000000298023,2247898.700000000186265,11049932.670000001788139
20101214,2178526.250000000000000,2291640.479999999981374,2158214.419999999925494,2150790.080000000074506,2242307.000000000000000,11021478.230000000447035
20101215,2179002.320000000298023,2317271.000000000000000,2141407.760000000707805,2179063.219999999739230,2232055.549999999813735,11048799.850000001490116
20101216,2184715.160000000149012,2319261.720000000204891,2144885.000000000000000,2199258.320000000298023,2243549.599999999627471,11091669.800000000745058
20101217,2180430.530000000260770,2304082.479999999981374,2147203.160000000149012,2211375.379999999888241,2241996.350000000558794,11085087.900000002235174
20101220,2191380.140000000130385,2321750.119999999646097,2147782.700000000186265,2198585.149999999441206,2243549.599999999627471,11103047.709999999031425
20101221,2204710.100000000093132,2354845.839999999850988,2163430.280000000260770,2203970.509999999776483,2259082.099999999627471,11186038.830000000074506
20101222,2211375.080000000074506,2353352.799999999813735,2199361.760000000707805,2208009.529999999329448,2261567.299999999813735,11233666.469999998807907
20101223,2200901.540000000037253,2350366.720000000204891,2184873.260000000707805,2207336.360000000335276,2273993.299999999813735,11217471.179999999701977
20101227,2208042.590000000316650,2340910.799999999813735,2172123.379999999888241,2189833.940000000409782,2268090.950000000186265,11179001.660000000149012
20101228,2213755.430000000167638,2331454.879999999888241,2165168.900000000372529,2199931.490000000223517,2280827.600000000558794,11191138.300000000745058
20101229,2212327.220000000204891,2333694.439999999944121,2179077.860000000335276,2203297.339999999850988,2279274.350000000558794,11207671.210000000894070
20101230,2201377.610000000335276,2335934.000000000000000,2172123.379999999888241,2204643.679999999701977,2278963.700000000186265,11193042.370000001043081
20101231,2193760.490000000223517,2330708.359999999869615,2173862.000000000000000,2214068.059999999590218,2271508.100000000558794,11183907.010000001639128
20110103,2241367.490000000223517,2342901.520000000018626,2191827.740000000223517,2195219.299999999813735,2315931.049999999813735,11287247.100000001490116
20110104,2253269.240000000223517,2331952.559999999590218,2259633.919999999925494,2150116.910000000149012,2326803.799999999813735,11321776.429999999701977
20110105,2271359.900000000372529,2352108.599999999627471,2315849.299999999813735,2137326.679999999701977,2320590.799999999813735,11397235.280000001192093
20110106,2269931.689999999944121,2327722.280000000260770,2297883.560000000521541,2121843.769999999552965,2335502.000000000000000,11352883.300000000745058
20110107,2286118.070000000298023,2332450.240000000223517,2286292.760000000707805,2117804.750000000000000,2348238.650000000372529,11370904.470000000670552
20110110,2328964.370000000111759,2323989.680000000167638,2289190.459999999962747,2122516.940000000409782,2333948.750000000000000,11398610.200000001117587
20110111,2323727.600000000093132,2337924.720000000204891,2283395.060000000521541,2110399.879999999888241,2351345.150000000372529,11406792.410000002011657
