訓練日期,20110823 - 20111122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11778318.400000000372529
真實報酬,1778318.400000000372529

夏普值報酬,0.169131840000000
夏普值風險,0.061954748563981
夏普值,2.729925371666002

預期報酬,39467.114192281005671
風險,266558.615130034508184
趨勢值,0.148061671812888
找到最佳解世代,1222
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](2),IBM[10](3),INTC[11](1),
20110915,3701975.840000000782311,3566265.260000000242144,3704848.680000000167638,10973090.780000001192093
20110916,3690872.140000000596046,3627066.660000000614673,3778807.819999999832362,11096747.620000001043081
20110919,3666444.000000000465661,3630001.900000000372529,3771927.900000000372529,11068374.800000000745058
20110920,3670885.480000000447035,3663337.840000000316650,3818367.360000000335276,11152591.679999999701977
20110921,3517654.420000000391155,3627695.640000000596046,3773647.880000000353903,10918998.940000001341105
20110922,3404396.680000000167638,3535445.240000000223517,3718608.520000000484288,10658451.440000001341105
20110923,3466577.399999999906868,3550540.760000000242144,3811487.440000000409782,10828606.600000001490116
20110926,3550965.520000000484288,3658934.979999999981374,3825247.279999999795109,11035148.779999999329448
20110927,3568731.440000000409782,3726026.180000000633299,3876846.680000000167638,11171605.300000000745058
20110928,3517654.420000000391155,3722671.620000000577420,3837287.140000000130385,11077614.180000001564622
20110929,3519875.160000000149012,3756636.540000000037253,3820087.340000000316650,11096600.040000000968575
20110930,3442149.260000000242144,3666482.740000000223517,3670449.080000000074506,10779082.080000000074506
20111003,3373306.320000000298023,3633356.459999999962747,3546610.520000000484288,10553274.300000000745058
20111004,3459915.180000000167638,3663757.160000000614673,3649809.319999999832362,10773482.660000000149012
20111005,3588718.100000000093132,3707995.420000000391155,3758168.060000000521541,11054882.580000001937151
20111006,3719741.760000000242144,3809470.860000000335276,3789127.700000000651926,11318341.320000002160668
20111007,3699755.100000000093132,3824147.060000000055879,3833847.180000000167638,11357750.339999999850988
20111010,3795246.920000000391155,3912833.240000000223517,3935326.000000000000000,11643407.160000000149012
20111011,3773039.520000000018626,3878868.320000000298023,3954245.779999999795109,11606154.619999999180436
20111012,3830778.760000000242144,3902350.240000000223517,3976605.520000000484288,11709735.519999999552965
20111013,3868531.340000000782311,3917026.439999999944121,4023044.980000000447035,11808603.760000001639128
20111014,3897400.960000000428408,3994810.300000000279397,4041964.760000000242144,11934177.020000001415610
20111017,3813012.840000000782311,3912204.260000000242144,4004125.200000000651926,11729343.300000002607703
20111018,3888518.000000000465661,3750975.720000000204891,4024764.959999999962747,11664259.679999999701977
20111019,3810792.100000000093132,3719317.060000000055879,4169243.279999999795109,11699353.439999999478459
20111020,3817454.320000000298023,3716381.820000000298023,4060884.540000000037253,11594721.679999999701977
20111021,3859648.379999999888241,3808212.900000000372529,4133123.700000000651926,11800985.980000000447035
20111024,3895180.220000000204891,3821211.820000000298023,4229442.580000000074506,11945835.620000001043081
20111025,3912946.140000000596046,3781586.080000000540167,4236322.500000000000000,11930855.720000000670552
20111026,3910725.399999999906868,3815341.340000000316650,4248362.359999999403954,11974430.099999999627471
20111027,4095046.820000000298023,3906962.760000000242144,4322321.500000000000000,12324332.080000000074506
20111028,4121695.700000000186265,3930235.020000000018626,4296521.800000000745058,12348453.520000001415610
20111031,4115033.480000000447035,3871110.900000000372529,4220842.679999999701977,12206988.060000000521541
20111101,3906283.920000000391155,3802342.420000000391155,4110763.959999999962747,11819391.300000000745058
20111102,3964023.160000000614673,3856225.040000000037253,4102164.060000000521541,11922413.260000001639128
20111103,4037307.580000000074506,3927090.120000000577420,4162363.360000000335276,12126762.060000002384186
20111104,4003996.480000000447035,3907801.400000000372529,4083244.279999999795109,11995043.160000000149012
20111107,3999555.000000000465661,3927509.439999999944121,4176123.200000000651926,12103188.640000000596046
20111108,4066177.200000000186265,3926041.820000000298023,4256962.259999999776483,12249182.280000001192093
20111109,3910725.399999999906868,3821002.160000000614673,4100444.080000000074506,11832172.640000000596046
20111110,4132799.399999999906868,3844274.420000000391155,4138283.640000000130385,12115358.460000000894070
20111111,4223849.740000000223517,3928767.400000000372529,4274162.060000000521541,12426780.200000001117587
20111114,4206083.820000000298023,3928138.420000000391155,4236322.500000000000000,12370545.740000000223517
20111115,4246057.140000000596046,3957490.820000000298023,4358441.080000000074506,12561990.040000000968575
20111116,4174993.460000000428408,3912833.240000000223517,4289641.880000000819564,12377469.580000001937151
20111117,4103929.780000000260770,3894173.500000000000000,4186443.080000000074506,12184547.359999999403954
20111118,4090605.340000000782311,3883900.160000000614673,4177843.180000000167638,12152349.680000001564622
20111121,3997334.260000000242144,3805068.000000000000000,4054004.620000000111759,11856407.879999998956919
20111122,3979568.340000000782311,3801503.780000000260770,3997245.279999999795109,11778318.400000000372529
