訓練日期,20170327 - 20170627
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10926098.219999998807907
真實報酬,926098.219999998807907

夏普值報酬,0.083909822000000
夏普值風險,0.029344014123244
夏普值,2.859520911064881

預期報酬,15856.328884108250350
風險,48231.413105596722744
趨勢值,0.328755221195630
找到最佳解世代,1912
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](8),JNJ[12](14),KO[14](2),MCD[15](1),WMT[28](9),XOM[29](18),
20170406,1681358.449999999953434,1660954.739999999757856,1688428.950000000186265,1677102.849999999860302,1710240.440000000176951,1703186.260000000009313,10121275.689999999478459
20170407,1695387.369999999878928,1659228.079999999841675,1686054.810000000288710,1674654.699999999953434,1745435.180000000167638,1698057.010000000009313,10158821.150000000372529
20170410,1683159.459999999962747,1651524.520000000018626,1689220.330000000074506,1674912.399999999674037,1749265.900000000139698,1705648.299999999813735,10153734.910000000149012
20170411,1692733.250000000000000,1649930.679999999934807,1688033.260000000009313,1690632.099999999627471,1758124.440000000176951,1699698.369999999878928,10179156.099999997764826
20170412,1668846.170000000158325,1665603.439999999944121,1699112.580000000074506,1691405.199999999720603,1758363.860000000102445,1702365.579999999841675,10185700.830000000074506
20170413,1664770.199999999953434,1660157.819999999832362,1693177.230000000214204,1684962.699999999720603,1751420.680000000167638,1676103.819999999832362,10130596.449999999254942
20170417,1696998.800000000046566,1669853.679999999934807,1704256.550000000279397,1692564.849999999860302,1759560.959999999962747,1673846.949999999720603,10197085.789999999105930
20170418,1685908.369999999878928,1618053.879999999888241,1720479.840000000083819,1704805.600000000093132,1769137.760000000242144,1662972.939999999711290,10161362.389999998733401
20170419,1691121.820000000065193,1612076.979999999981374,1710587.590000000083819,1709186.499999999767169,1773447.320000000065193,1651483.419999999692664,10147907.629999998956919
20170420,1699652.920000000158325,1618717.979999999981374,1705047.930000000400469,1717304.050000000046566,1790924.979999999981374,1662152.260000000009313,10193804.120000001043081
20170421,1709890.239999999990687,1617256.959999999962747,1704256.550000000279397,1719107.949999999720603,1794276.860000000102445,1655586.819999999832362,10200379.379999998956919
20170424,1725814.959999999962747,1632265.619999999878928,1712566.040000000270084,1729673.649999999674037,1790446.140000000130385,1664203.959999999729916,10254974.369999999180436
20170425,1739559.509999999776483,1639437.899999999906868,1705839.310000000288710,1825924.599999999627471,1796910.479999999981374,1676924.500000000000000,10384600.299999998882413
20170426,1722497.310000000055879,1640500.459999999962747,1710983.280000000260770,1814843.500000000000000,1806008.440000000176951,1670153.889999999897555,10364990.880000000819564
20170427,1736810.599999999860302,1643555.319999999832362,1701882.410000000149012,1815230.049999999813735,1806247.860000000102445,1667281.510000000009313,10371011.750000000000000
20170428,1752071.790000000037253,1639969.179999999934807,1707422.070000000065193,1803118.149999999906868,1800022.940000000176951,1675283.139999999897555,10377891.269999999552965
20170501,1728943.029999999795109,1638242.520000000018626,1710191.900000000139698,1818837.849999999860302,1801220.040000000270084,1683695.109999999869615,10381134.449999999254942
20170502,1738895.979999999981374,1643024.040000000037253,1716918.630000000121072,1819868.649999999674037,1808163.219999999972060,1683489.939999999711290,10410364.459999999031425
20170503,1738422.029999999795109,1638109.699999999953434,1714148.800000000279397,1837778.799999999813735,1813909.300000000279397,1696825.989999999990687,10439198.619999999180436
20170504,1735388.750000000000000,1646344.540000000037253,1727602.260000000009313,1848473.349999999627471,1827795.660000000149012,1675077.969999999972060,10460686.529999999329448
20170505,1753778.009999999776483,1640500.459999999962747,1728789.330000000074506,1855044.699999999953434,1831626.380000000121072,1682874.429999999701977,10492617.310000000521541
20170508,1763351.800000000046566,1637047.139999999897555,1736703.130000000121072,1858652.500000000000000,1822528.420000000158325,1700724.219999999972060,10519011.210000000894070
20170509,1771788.109999999869615,1636515.859999999869615,1721666.910000000149012,1860198.699999999953434,1836893.620000000111759,1688824.359999999869615,10515891.559999998658895
20170510,1736431.439999999944121,1631203.059999999823049,1724041.050000000279397,1862260.300000000046566,1836414.780000000260770,1680617.559999999823049,10470972.190000001341105
20170511,1743635.479999999981374,1636383.040000000037253,1727997.950000000186265,1858265.949999999953434,1822767.840000000083819,1694979.459999999729916,10484033.720000000670552
20170512,1737094.969999999972060,1642227.119999999878928,1724832.430000000400469,1873083.699999999953434,1812712.199999999953434,1693748.439999999711290,10483702.859999999403954
20170515,1728943.029999999795109,1686721.819999999832362,1730372.090000000083819,1884937.899999999906868,1826598.560000000288710,1698877.689999999711290,10556455.089999999850988
20170516,1731881.519999999785796,1697081.779999999795109,1735120.370000000344589,1897951.749999999767169,1798347.000000000000000,1693748.439999999711290,10554134.859999999403954
20170517,1694723.840000000083819,1682471.579999999841675,1738285.890000000130385,1886612.949999999720603,1798586.420000000158325,1682258.919999999692664,10482943.599999999627471
20170518,1681642.820000000065193,1686456.179999999934807,1733141.920000000158325,1894343.949999999720603,1856526.060000000288710,1677334.839999999850988,10529449.769999999552965
20170519,1713492.259999999776483,1686854.639999999897555,1737098.820000000065193,1909032.849999999860302,1885974.719999999972060,1681027.899999999906868,10613485.189999999478459
20170522,1741076.149999999906868,1690307.959999999962747,1748178.140000000130385,1909548.249999999767169,1880707.479999999981374,1688414.020000000018626,10658236.000000000000000
20170523,1739369.930000000167638,1693761.279999999795109,1756487.630000000121072,1904780.799999999813735,1879270.959999999962747,1694363.949999999720603,10668038.549999998882413
20170524,1756052.969999999972060,1693628.459999999962747,1781811.790000000270084,1926427.599999999860302,1871130.680000000167638,1688414.020000000018626,10717469.519999999552965
20170525,1773304.750000000000000,1693894.099999999860302,1796848.010000000009313,1930035.399999999906868,1874961.400000000139698,1677334.839999999850988,10746382.500000000000000
20170526,1768754.830000000074506,1685792.079999999841675,1796056.630000000121072,1931066.199999999953434,1870651.840000000083819,1673231.439999999711290,10725557.019999999552965
20170530,1771503.739999999990687,1688315.659999999916181,1797639.390000000130385,1931968.149999999906868,1871130.680000000167638,1663998.789999999804422,10724560.409999998286366
20170531,1778612.989999999990687,1703457.139999999897555,1799222.150000000139698,1944337.749999999767169,1881904.580000000074506,1651688.589999999850988,10759227.199999999254942
20170601,1775674.500000000000000,1710496.599999999860302,1811884.230000000214204,1963665.249999999767169,1910874.400000000139698,1655791.989999999990687,10828390.970000000670552
20170602,1803258.389999999897555,1727763.199999999953434,1815841.130000000121072,1981060.000000000000000,1906325.420000000158325,1631171.589999999850988,10865423.730000000447035
20170605,1791125.269999999785796,1731482.160000000149012,1819798.030000000260770,1968819.249999999767169,1921648.300000000279397,1643892.129999999888241,10876769.140000000596046
20170606,1770271.469999999972060,1737724.699999999953434,1819402.340000000083819,1948718.649999999674037,1889805.440000000176951,1666255.659999999683350,10832182.259999999776483
20170607,1783068.119999999878928,1736662.139999999897555,1800804.910000000149012,1957866.999999999767169,1895072.680000000167638,1660100.559999999823049,10833579.410000000149012
20170608,1800414.689999999944121,1734005.739999999990687,1785768.690000000409782,1951295.649999999906868,1889805.440000000176951,1654150.629999999888241,10815444.839999999850988
20170609,1801362.590000000083819,1747022.099999999860302,1793286.800000000279397,1951939.899999999674037,1901537.020000000251457,1685131.299999999813735,10880283.710000000894070
20170612,1801078.219999999972060,1750873.879999999888241,1793682.490000000223517,1913156.049999999813735,1897227.459999999962747,1701544.899999999906868,10857567.000000000000000
20170613,1811410.330000000074506,1753530.280000000027940,1781811.790000000270084,1930550.799999999813735,1903931.219999999972060,1702160.409999999683350,10883398.830000000074506
20170614,1823638.239999999990687,1763491.780000000027940,1792495.420000000158325,1941631.899999999906868,1913029.180000000167638,1683900.279999999795109,10918190.799999998882413
20170615,1852738.769999999785796,1767077.919999999692664,1790516.970000000204891,1947945.549999999813735,1889326.600000000093132,1687798.510000000009313,10935408.320000000298023
20170616,1862122.979999999981374,1784477.339999999850988,1792891.110000000335276,1958511.250000000000000,1801459.459999999962747,1713034.419999999692664,10912500.560000000521541
20170619,1887147.540000000037253,1780758.379999999888241,1795660.940000000409782,1973328.999999999767169,1807684.380000000121072,1698057.010000000009313,10942641.250000000000000
20170620,1880038.290000000037253,1782750.679999999934807,1804761.810000000288710,1985312.049999999813735,1808642.060000000288710,1688824.359999999869615,10950333.250000000000000
20170621,1888000.649999999906868,1791915.259999999776483,1789329.900000000139698,1980931.149999999674037,1825401.459999999962747,1670974.569999999832362,10946556.989999998360872
20170622,1890559.979999999981374,1807056.739999999990687,1783394.550000000279397,1994718.100000000093132,1808163.219999999972060,1663588.449999999720603,10947485.039999999105930
20170623,1917006.389999999897555,1812103.899999999906868,1790516.970000000204891,1992656.499999999767169,1791882.660000000149012,1674462.459999999729916,10978632.879999998956919
20170626,1895678.639999999897555,1810908.520000000018626,1797639.390000000130385,1983894.699999999953434,1807684.380000000121072,1666871.169999999692664,10962680.800000000745058
20170627,1885346.529999999795109,1793243.459999999729916,1782603.170000000158325,1980802.299999999813735,1819894.800000000279397,1664203.959999999729916,10926098.219999998807907
