訓練日期,20160212 - 20160516
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11203715.009999999776483
真實報酬,1203715.009999999776483

夏普值報酬,0.111671501000000
夏普值風險,0.031341891317601
夏普值,3.563010919423580

預期報酬,19574.033953557904169
風險,64838.181821825332008
趨勢值,0.301890543558842
找到最佳解世代,1998
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MCD[15](2),XOM[29](4),
20160412,3592263.399999999441206,3644011.399999999906868,3532244.000000000000000,10768519.799999998882413
20160413,3601112.919999999925494,3623451.800000000279397,3552344.480000000447035,10776910.200000001117587
20160414,3600129.640000000130385,3641155.900000000372529,3577470.080000000540167,10818756.620000001043081
20160415,3611273.479999999981374,3648865.750000000000000,3558207.120000000111759,10818347.350000001490116
20160418,3635855.479999999981374,3679419.600000000093132,3592126.680000000633299,10907402.760000001639128
20160419,3693213.479999999981374,3679705.150000000372529,3610133.360000000335276,10983052.990000002086163
20160420,3722711.879999999888241,3670853.100000000558794,3634840.200000000186265,11028406.179999999701977
20160421,3722384.119999999646097,3592041.300000000279397,3634421.440000000409782,10948847.859999999403954
20160422,3714190.119999999646097,3583760.350000000093132,3665409.680000000633299,10963361.150000000372529
20160425,3720417.560000000055879,3639728.149999999906868,3657034.480000000447035,11017181.190000001341105
20160426,3700751.959999999497086,3646866.899999999906868,3669597.280000000260770,11017217.140000000596046
20160427,3696163.319999999832362,3663714.350000000558794,3704354.360000000335276,11064233.030000001192093
20160428,3686658.279999999795109,3652863.450000000186265,3686347.680000000633299,11025870.410000000149012
20160429,3673547.879999999888241,3612029.799999999813735,3701841.800000000745058,10987420.480000000447035
20160502,3695507.799999999813735,3660858.849999999627471,3732411.280000000260770,11088778.929999999701977
20160503,3693541.239999999757856,3666569.850000000093132,3689697.760000000242144,11049809.849999999627471
20160504,3678136.519999999552965,3693126.000000000465661,3682578.840000000316650,11053842.359999999403954
20160505,3699768.679999999701977,3691698.250000000000000,3686766.440000000409782,11078234.370000001043081
20160506,3695180.039999999571592,3728819.750000000465661,3706448.160000000614673,11130448.950000001117587
20160509,3727300.519999999552965,3735958.500000000465661,3708960.720000000204891,11172220.740000000223517
20160510,3758437.719999999739230,3757945.850000000093132,3768424.640000000130385,11284809.210000000894070
20160511,3748604.919999999925494,3687700.549999999813735,3719010.960000000428408,11155317.429999999701977
20160512,3744016.279999999795109,3715684.450000000186265,3755024.320000000298023,11214726.050000000745058
20160513,3722056.359999999869615,3678848.500000000465661,3712729.560000000055879,11113635.419999999925494
20160516,3750899.239999999757856,3701978.049999999813735,3750836.720000000204891,11203715.009999999776483
