訓練日期,20091005 - 20100106
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11618149.929999999701977
真實報酬,1618149.929999999701977

夏普值報酬,0.153114993000000
夏普值風險,0.050647977574826
夏普值,3.023121560457006

預期報酬,31173.123343511451822
風險,99800.864353517041309
趨勢值,0.312353240079056
找到最佳解世代,2500
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](10),MSFT[18](2),V[25](1),VZ[26](22),
20091214,2718901.649999999906868,3015824.000000000000000,3125366.080000000074506,2805901.899999999906868,11665993.630000000819564
20091215,2709693.549999999813735,3006809.600000000093132,3176988.279999999795109,2760284.949999999720603,11653776.379999998956919
20091216,2712204.850000000093132,3014822.399999999906868,3209436.520000000484288,2735240.349999999627471,11671704.119999999180436
20091217,2698392.700000000186265,2964742.399999999906868,3209436.520000000484288,2744184.850000000093132,11616756.470000000670552
20091218,2694207.200000000186265,3040864.000000000000000,3280232.679999999701977,2743290.400000000372529,11758594.279999999329448
20091221,2692533.000000000000000,3056889.600000000093132,3227135.560000000055879,2761179.399999999906868,11737737.560000000521541
20091222,2700904.000000000000000,3086937.600000000093132,3182887.959999999962747,2776385.049999999813735,11747114.609999999403954
20091223,2702578.199999999720603,3096953.600000000093132,3176988.279999999795109,2779068.399999999906868,11755588.480000000447035
20091224,2708019.350000000093132,3104966.399999999906868,3181413.040000000037253,2789801.800000000279397,11784200.589999999850988
20091228,2718064.549999999813735,3121993.600000000093132,3199112.080000000074506,2800535.199999999720603,11839705.429999999701977
20091229,2718064.549999999813735,3144028.799999999813735,3246309.520000000484288,2795168.500000000000000,11903571.370000001043081
20091230,2716808.899999999906868,3100960.000000000000000,3250734.279999999795109,2795168.500000000000000,11863671.679999999701977
20091231,2695881.399999999906868,3052883.199999999720603,3225660.640000000130385,2770123.899999999906868,11744549.140000000596046
20100104,2707182.250000000465661,3099958.399999999906868,3250734.279999999795109,2782646.199999999720603,11840521.129999998956919
20100105,2675791.000000000000000,3100960.000000000000000,3212386.360000000335276,2788012.900000000372529,11777150.259999999776483
20100106,2697555.600000000093132,3081929.600000000093132,3169613.679999999701977,2669051.049999999813735,11618149.929999999701977
