訓練日期,20130115 - 20130418
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11545963.460000000894070
真實報酬,1545963.460000000894070

夏普值報酬,0.145896346000000
夏普值風險,0.044224999101218
夏普值,3.298956449181311

預期報酬,25187.478772006608779
風險,50264.752080965830828
趨勢值,0.501096249941409
找到最佳解世代,2475
找到最佳解實驗#,1
找到最佳解次數,21

stock[index](rank)
投資組合檔數,3
JNJ[12](1),TRV[22](3),VZ[26](2),
20130207,3448178.000000000000000,3518789.580000000074506,3479688.549999999813735,10446657.129999998956919
20130208,3467471.959999999962747,3507226.339999999850988,3471079.399999999906868,10445778.699999999254942
20130211,3464256.299999999813735,3522792.239999999292195,3468731.449999999720603,10455780.989999998360872
20130212,3482172.119999999646097,3553479.299999999813735,3478123.249999999534339,10513775.669999999925494
20130213,3475740.799999999813735,3557481.959999999497086,3484384.450000000186265,10517608.210000000894070
20130214,3482631.500000000000000,3573047.859999999869615,3469514.099999999627471,10525194.459999999031425
20130215,3498709.799999999813735,3575271.559999999590218,3474992.649999999906868,10548975.009999999776483
20130219,3535460.199999999254942,3584611.099999999627471,3482819.149999999906868,10602891.449999999254942
20130220,3521219.419999999925494,3562818.839999999850988,3515690.450000000186265,10599729.710000000894070
20130221,3531325.779999999795109,3574826.819999999366701,3531343.449999999720603,10637497.049999998882413
20130222,3502844.219999999739230,3602845.439999999944121,3553257.649999999906868,10658948.310000000521541
20130225,3471606.379999999422580,3524571.199999999720603,3578302.449999999720603,10574481.029999999329448
20130226,3479875.219999999739230,3559705.660000000149012,3609608.449999999720603,10649190.330000000074506
20130227,3506059.879999999422580,3592616.419999999925494,3627609.399999999906868,10726286.699999999254942
20130228,3496412.899999999906868,3576605.779999999795109,3641697.100000000093132,10714716.779999999329448
20130301,3523516.319999999832362,3588613.759999999776483,3656567.449999999720603,10768698.529999999329448
20130304,3546485.319999999832362,3581053.179999999701977,3687090.799999999813735,10814630.300000000745058
20130305,3567616.799999999813735,3622858.739999999292195,3732484.499999999534339,10922961.039999999105930
20130306,3555213.539999999571592,3605513.879999999422580,3700395.850000000093132,10861124.269999999552965
20130307,3571751.219999999739230,3611295.500000000000000,3716048.849999999627471,10899096.570000000298023
20130308,3591963.939999999478459,3631308.799999999813735,3753616.049999999813735,10976889.789999999105930
20130311,3603448.439999999478459,3635756.199999999720603,3741876.300000000279397,10981081.939999999478459
20130312,3608961.000000000000000,3635311.459999999497086,3784922.049999999813735,11029195.509999997913837
20130313,3608501.619999999646097,3652211.580000000074506,3752050.749999999534339,11012764.949999999254942
20130314,3633767.519999999552965,3662885.339999999850988,3794313.849999999627471,11090967.709999999031425
20130315,3637901.939999999478459,3659327.419999999925494,3758311.950000000186265,11055542.309999998658895
20130318,3620445.500000000000000,3670445.919999999925494,3815445.399999999906868,11106337.820000000298023
20130319,3622742.399999999906868,3699798.759999999776483,3831098.399999999906868,11153640.560000000521541
20130320,3649845.819999999832362,3728706.859999999869615,3803705.649999999906868,11182259.330000000074506
20130321,3629633.100000000093132,3724704.199999999720603,3819358.649999999906868,11173696.949999999254942
20130322,3663167.839999999385327,3722035.759999999776483,3836576.950000000186265,11221781.550000000745058
20130325,3660411.560000000055879,3707804.080000000074506,3847534.049999999813735,11215750.690000001341105
20130326,3714159.019999999552965,3707359.339999999850988,3872578.849999999627471,11294098.209999999031425
20130327,3733452.979999999515712,3707804.080000000074506,3830315.749999999534339,11271573.809999998658895
20130328,3745396.859999999869615,3744272.759999999776483,3846751.399999999906868,11336422.019999999552965
20130401,3763772.060000000055879,3733599.000000000000000,3852229.949999999720603,11349602.009999999776483
20130402,3798684.939999999478459,3754057.039999999571592,3874144.149999999906868,11426887.129999998956919
20130403,3770203.379999999422580,3723369.979999999515712,3834229.000000000000000,11327803.359999999403954
20130404,3785822.299999999813735,3750943.859999999869615,3858491.149999999906868,11395258.310000000521541
20130405,3768825.240000000223517,3754057.039999999571592,3878840.050000000279397,11401723.330000000074506
20130408,3726102.899999999906868,3768288.719999999739230,3868665.600000000093132,11363058.219999998807907
20130409,3744937.479999999515712,3792304.679999999701977,3863187.049999999813735,11400430.209999999031425
20130410,3767906.479999999515712,3771846.639999999664724,3902319.549999999813735,11442073.669999998062849
20130411,3781687.879999999422580,3827439.139999999664724,3953191.799999999813735,11562319.820000000298023
20130412,3800981.839999999385327,3836333.939999999944121,3980584.549999999813735,11617901.329999998211861
20130415,3753665.699999999254942,3767399.239999999292195,3963366.250000000000000,11484432.189999997615814
20130416,3833138.439999999478459,3849231.399999999441206,3949278.549999999813735,11631649.389999998733401
20130417,3854269.919999999925494,3783409.879999999422580,3877274.750000000000000,11514955.549999998882413
20130418,3821194.560000000055879,3740270.099999999627471,3984497.799999999813735,11545963.460000000894070
