訓練日期,20160607 - 20160907
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10941945.830000000074506
真實報酬,941945.830000000074506

夏普值報酬,0.085494583000000
夏普值風險,0.029361495314372
夏普值,2.911792539331282

預期報酬,15232.246194629802631
風險,106134.879242126276949
趨勢值,0.143517817171868
找到最佳解世代,2514
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](15),INTC[11](2),MRK[17](5),PG[21](1),VZ[26](16),
20160620,1928422.189999999944121,2030934.189999999944121,1963967.510000000009313,2006524.010000000242144,2120288.950000000186265,10050136.850000001490116
20160621,1944846.559999999823049,2040403.839999999850988,1967815.639999999897555,2015464.319999999832362,2133698.209999999962747,10102228.570000000298023
20160622,1937546.839999999850988,2038509.909999999916181,1995452.209999999962747,2019330.399999999906868,2130937.479999999981374,10121776.839999999850988
20160623,1948699.189999999944121,2082701.610000000102445,2017841.329999999841675,2034794.719999999739230,2156178.439999999944121,10240215.289999999105930
20160624,1893951.290000000037253,1991792.969999999972060,1954871.929999999934807,1987676.870000000111759,2146713.080000000074506,9975006.140000000596046
20160627,1866374.570000000065193,1939394.239999999757856,1934931.619999999878928,1962788.979999999981374,2158939.169999999925494,9862428.580000000074506
20160628,1897803.920000000158325,1969065.810000000055879,1944377.029999999795109,1992509.469999999739230,2162094.290000000037253,9965850.519999999552965
20160629,1914228.290000000037253,2015782.750000000000000,1995802.039999999804422,2027545.819999999832362,2171559.650000000372529,10124918.550000000745058
20160630,1938560.689999999944121,2070706.719999999739230,2015392.519999999785796,2045909.699999999953434,2202322.070000000298023,10272891.699999999254942
20160701,1944441.020000000018626,2067550.169999999925494,2026936.909999999916181,2048567.630000000121072,2217703.279999999795109,10305199.009999999776483
20160705,1926191.719999999972060,2063131.000000000000000,2029035.889999999897555,2064515.209999999962747,2229534.979999999981374,10312408.799999998882413
20160706,1937141.300000000046566,2081438.989999999757856,2069616.169999999692664,2054608.380000000121072,2218886.450000000186265,10361691.289999999105930
20160707,1945454.869999999878928,2095959.120000000111759,2056322.629999999888241,2049775.780000000027940,2184180.130000000353903,10331692.530000001192093
20160708,1960459.850000000093132,2146463.919999999925494,2076262.939999999944121,2072489.000000000000000,2204688.410000000149012,10460364.120000001043081
20160711,1966542.950000000186265,2170453.700000000186265,2075913.110000000102445,2072005.739999999990687,2205871.580000000074506,10490787.080000001937151
20160712,1975464.830000000074506,2205807.059999999590218,2085008.689999999944121,2072005.739999999990687,2187729.640000000130385,10526015.960000000894070
20160713,1964312.479999999981374,2210226.229999999981374,2083259.539999999804422,2075388.560000000055879,2208632.310000000055879,10541819.120000001043081
20160714,2003244.320000000065193,2222221.120000000111759,2086757.839999999850988,2074905.300000000046566,2202322.070000000298023,10589450.650000000372529
20160715,2003041.550000000046566,2214014.089999999850988,2086058.179999999934807,2078288.120000000111759,2202322.070000000298023,10583724.009999999776483
20160718,2024332.399999999906868,2212751.469999999739230,2064718.550000000046566,2076355.080000000074506,2205871.580000000074506,10584029.079999998211861
20160719,2025143.479999999981374,2219064.569999999832362,2052124.669999999692664,2082154.199999999953434,2196800.610000000335276,10575287.530000001192093
20160720,2026968.409999999916181,2253155.309999999590218,2056672.459999999962747,2061615.649999999906868,2193645.489999999757856,10592057.320000000298023
20160721,2016221.600000000093132,2163509.290000000037253,2056672.459999999962747,2060165.870000000111759,2183785.739999999757856,10480354.959999999031425
20160722,2000608.309999999823049,2188130.379999999888241,2057721.949999999953434,2071280.849999999860302,2212576.209999999962747,10530317.699999999254942
20160725,1973842.670000000158325,2190024.309999999590218,2048626.369999999878928,2073213.889999999897555,2203505.239999999757856,10489212.479999998584390
20160726,1960257.080000000074506,2215276.709999999962747,2041629.769999999785796,2060407.500000000000000,2161699.900000000372529,10439270.960000000894070
20160727,2087596.640000000130385,2198862.649999999906868,2050025.689999999944121,2040835.469999999739230,2181813.790000000037253,10559134.240000000223517
20160728,2115781.669999999925494,2195074.790000000037253,2044078.579999999841675,2049292.520000000018626,2163671.850000000093132,10567899.410000000149012
20160729,2113145.660000000149012,2200756.580000000074506,2052124.669999999692664,2068139.660000000149012,2185363.299999999813735,10619529.870000001043081
20160801,2150455.339999999850988,2200125.270000000018626,2052124.669999999692664,2087953.319999999832362,2149473.810000000055879,10640132.410000000149012
20160802,2118620.450000000186265,2181817.280000000260770,2040580.279999999795109,2096410.370000000111759,2129754.310000000055879,10567182.689999999478459
20160803,2145183.320000000298023,2162246.669999999925494,2016791.839999999850988,2077321.599999999860302,2125810.410000000149012,10527353.839999999850988
20160804,2146805.480000000447035,2183079.899999999906868,2023438.610000000102445,2079254.639999999897555,2126993.580000000074506,10559572.210000000894070
20160805,2179451.450000000186265,2208332.299999999813735,2234036.269999999552965,2072730.630000000121072,2115556.270000000018626,10810106.919999999925494
20160808,2197497.980000000447035,2212120.159999999683350,2199053.269999999552965,2072247.370000000111759,2113584.320000000298023,10794503.100000001490116
20160809,2206419.860000000335276,2204544.439999999944121,2186109.559999999590218,2077804.859999999869615,2116345.049999999813735,10791223.769999999552965
20160810,2189995.490000000223517,2179923.350000000093132,2191357.009999999776483,2085537.020000000018626,2122260.900000000372529,10769073.769999999552965
20160811,2188576.100000000558794,2189393.000000000000000,2225990.179999999701977,2095685.479999999981374,2124232.850000000093132,10823877.609999999403954
20160812,2193645.350000000558794,2182448.589999999850988,2216194.940000000409782,2103176.009999999776483,2115950.660000000149012,10811415.550000000745058
20160815,2220005.450000000186265,2203913.129999999888241,2215145.450000000186265,2102692.750000000000000,2114373.100000000093132,10856129.880000000819564
20160816,2217977.750000000000000,2222852.430000000167638,2205350.209999999962747,2092061.030000000027940,2080849.949999999953434,10819091.369999999180436
20160817,2214733.429999999701977,2210857.540000000037253,2214095.959999999962747,2101242.969999999739230,2097019.940000000176951,10837949.839999997988343
20160818,2211894.650000000372529,2207700.989999999757856,2225990.179999999701977,2112841.209999999962747,2085188.239999999990687,10843615.270000001415610
20160819,2217572.209999999962747,2224746.359999999869615,2216544.769999999552965,2109700.020000000484288,2068623.860000000102445,10837187.219999998807907
20160822,2200336.759999999776483,2232322.080000000074506,2223191.540000000037253,2098585.040000000037253,2072567.760000000009313,10827003.179999999701977
20160823,2207230.939999999478459,2234847.319999999832362,2224241.030000000260770,2111874.690000000409782,2075722.880000000121072,10853916.860000001266599
20160824,2190603.799999999813735,2219064.569999999832362,2194505.479999999515712,2109700.020000000484288,2071778.980000000214204,10785652.849999999627471
20160825,2181276.379999999888241,2215276.709999999962747,2180162.450000000186265,2123956.190000000409782,2080455.560000000055879,10781127.290000000968575
20160826,2168501.870000000111759,2226008.979999999981374,2198703.440000000409782,2116224.030000000260770,2053637.040000000037253,10763075.359999999403954
20160829,2166068.629999999888241,2244316.969999999739230,2204300.719999999739230,2133621.389999999664724,2070595.810000000055879,10818903.519999999552965
20160830,2149441.490000000223517,2253786.620000000111759,2193805.820000000298023,2115257.509999999776483,2061524.840000000083819,10773816.280000001192093
20160831,2151469.189999999478459,2265781.509999999776483,2196604.459999999962747,2109700.020000000484288,2063891.179999999934807,10787446.359999999403954
20160901,2164243.700000000186265,2273988.540000000037253,2200452.589999999850988,2133863.020000000484288,2072962.150000000139698,10845510.000000001862645
20160902,2184520.700000000186265,2277776.399999999906868,2203251.229999999515712,2131205.089999999850988,2085582.630000000121072,10882336.049999998882413
20160906,2183912.389999999664724,2308710.589999999850988,2212346.809999999590218,2141836.809999999590218,2110429.200000000186265,10957235.799999997019768
20160907,2197295.209999999962747,2301766.180000000167638,2199403.099999999627471,2125164.339999999850988,2118317.000000000000000,10941945.830000000074506
