訓練日期,20130731 - 20131030
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11313138.049999998882413
真實報酬,1313138.049999998882413

夏普值報酬,0.122613805000000
夏普值風險,0.035454566266498
夏普值,3.458336059687204

預期報酬,20807.971860566911346
風險,113814.784485794007196
趨勢值,0.182823101186508
找到最佳解世代,2347
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),BA[2](3),DD[7](2),NKE[19](1),UNH[23](16),
20130816,2216181.000000000000000,1957249.839999999850988,2104145.600000000093132,2025453.199999999953434,1976753.840000000316650,10279783.480000000447035
20130819,2239960.910000000149012,1980894.839999999850988,2089324.879999999888241,2058542.360000000102445,1984502.559999999823049,10353225.550000000745058
20130820,2210622.060000000055879,1979192.399999999674037,2107750.639999999664724,2056633.370000000111759,2005258.059999999823049,10359456.529999999329448
20130821,2216489.829999999608845,1965572.879999999655411,2118565.759999999776483,2040725.120000000111759,1988376.919999999925494,10329730.509999997913837
20130822,2218960.469999999739230,1988839.559999999823049,2121369.680000000167638,2063633.000000000000000,1991697.800000000046566,10384500.509999999776483
20130823,2210313.229999999515712,1995271.000000000000000,2209893.439999999944121,2042634.110000000102445,2007471.980000000214204,10465583.759999999776483
20130826,2218960.469999999739230,1996216.799999999813735,2204686.159999999683350,2033725.490000000223517,2003044.139999999897555,10456633.060000000521541
20130827,2155650.319999999832362,1952331.679999999701977,2142599.359999999869615,1998727.340000000083819,1979244.500000000000000,10228553.199999999254942
20130828,2165841.709999999962747,1953466.639999999664724,2136190.399999999906868,2016544.580000000074506,1979797.980000000214204,10251841.310000000521541
20130829,2169238.839999999850988,1984867.199999999953434,2140196.000000000000000,2019726.229999999981374,2004704.579999999841675,10318732.849999999627471
20130830,2149473.719999999739230,1965762.039999999804422,2133386.479999999981374,1998727.340000000083819,1985332.779999999795109,10232682.359999999403954
20130903,2155650.319999999832362,1986380.479999999981374,2135789.839999999850988,2045815.760000000009313,2008025.460000000195578,10331661.859999999403954
20130904,2200121.839999999850988,2012106.239999999990687,2155016.719999999739230,2072541.620000000111759,2029887.919999999925494,10469674.339999999850988
20130905,2184989.169999999925494,2017402.719999999972060,2191067.120000000111759,2080177.579999999841675,2048982.980000000214204,10522619.570000000298023
20130906,2197960.029999999795109,2006431.439999999711290,2199478.879999999888241,2067450.980000000214204,2049536.460000000195578,10520857.790000000968575
20130909,2233166.649999999906868,2027617.359999999869615,2213899.040000000037253,2080813.910000000149012,2054794.520000000018626,10610291.480000000447035
20130910,2182209.699999999720603,2046155.039999999804422,2280792.560000000055879,2125993.339999999850988,2065310.639999999897555,10700461.279999999329448
20130911,2063618.979999999748543,2066206.000000000000000,2273181.919999999925494,2150810.209999999962747,2080531.340000000316650,10634348.449999999254942
20130912,2085545.909999999916181,2076988.119999999878928,2216702.959999999962747,2166082.129999999888241,2068354.779999999795109,10613673.900000000372529
20130913,2050956.949999999720603,2105929.599999999627471,2274383.600000000093132,2160991.490000000223517,2061159.540000000037253,10653421.179999999701977
20130916,1985793.819999999832362,2188025.040000000037253,2270378.000000000000000,2169900.110000000335276,2078870.900000000139698,10692967.869999999180436
20130917,2008956.069999999832362,2215264.079999999608845,2265170.719999999739230,2173718.089999999850988,2056454.960000000195578,10719563.919999999925494
20130918,2050030.459999999729916,2239665.719999999739230,2330862.560000000055879,2210625.229999999981374,2021308.980000000214204,10852492.950000001117587
20130919,2083692.929999999934807,2251771.959999999962747,2316442.399999999906868,2211261.560000000055879,1960426.180000000167638,10823595.029999999329448
20130920,2062074.829999999841675,2206184.399999999906868,2264770.159999999683350,2207443.580000000074506,1952954.199999999720603,10693427.169999998062849
20130923,2164606.390000000130385,2222830.479999999981374,2238333.200000000186265,2194716.979999999981374,1987546.699999999720603,10808033.750000000000000
20130924,2157812.129999999888241,2251015.319999999832362,2231123.120000000111759,2209352.569999999832362,2001383.699999999720603,10850686.839999997988343
20130925,2124458.490000000223517,2241746.479999999981374,2273582.479999999981374,2192807.990000000223517,1991974.540000000037253,10824569.980000000447035
20130926,2145150.099999999627471,2258203.399999999906868,2281193.120000000111759,2237987.420000000391155,1996955.859999999869615,10919489.900000000372529
20130927,2129708.599999999627471,2246097.159999999683350,2225915.839999999850988,2342981.870000000111759,1992251.279999999795109,10936954.749999998137355
20130930,2103458.049999999813735,2222641.319999999832362,2190666.560000000055879,2311165.370000000111759,1981735.159999999916181,10809666.460000000894070
20131001,2152870.849999999627471,2227370.319999999832362,2185459.279999999795109,2304165.740000000223517,2008578.939999999944121,10878445.129999998956919
20131002,2159973.939999999944121,2229072.759999999776483,2207490.080000000074506,2287621.160000000149012,2008302.199999999720603,10892460.139999998733401
20131003,2132796.899999999906868,2179891.159999999683350,2211495.680000000167638,2279348.870000000111759,2006918.500000000000000,10810451.109999999403954
20131004,2130943.919999999925494,2216966.520000000018626,2281193.120000000111759,2295257.120000000111759,2019925.279999999795109,10944285.959999999031425
20131007,2151944.360000000335276,2207319.359999999869615,2244742.159999999683350,2269803.920000000391155,1997232.600000000093132,10871042.400000000372529
20131008,2121987.849999999627471,2183674.359999999869615,2197476.080000000074506,2236078.430000000167638,1978137.540000000037253,10717354.259999997913837
20131009,2146694.250000000000000,2165325.839999999850988,2220308.000000000000000,2255804.660000000149012,1975370.139999999897555,10763502.890000000596046
20131010,2160282.770000000018626,2249123.719999999739230,2304425.600000000093132,2336618.569999999832362,2047322.540000000037253,11097773.199999999254942
20131011,2174180.120000000111759,2231721.000000000000000,2342879.359999999869615,2337254.899999999906868,2055348.000000000000000,11141383.380000000819564
20131014,2188386.299999999813735,2259716.679999999701977,2328459.200000000186265,2356344.800000000279397,2067801.300000000046566,11200708.280000001192093
20131015,2200121.839999999850988,2235504.200000000186265,2306428.399999999906868,2344890.860000000335276,2044278.400000000139698,11131223.700000001117587
20131016,2210930.890000000130385,2276362.759999999776483,2346083.839999999850988,2370980.390000000130385,2080808.079999999841675,11285165.960000000894070
20131017,2225754.729999999515712,2313248.959999999962747,2360904.560000000055879,2371616.720000000204891,1975093.400000000139698,11246618.370000001043081
20131018,2245211.020000000018626,2317599.639999999664724,2356498.399999999906868,2416159.819999999832362,1902864.260000000242144,11238333.140000000596046
20131021,2300182.760000000242144,2297737.839999999850988,2359302.319999999832362,2421250.459999999962747,1887366.820000000065193,11265840.199999999254942
20131022,2293697.329999999608845,2316843.000000000000000,2370117.439999999944121,2416796.149999999906868,1905631.659999999916181,11303085.580000000074506
20131023,2315933.089999999850988,2440553.640000000130385,2340876.560000000055879,2404069.550000000279397,1882108.760000000242144,11383541.600000001490116
20131024,2346816.089999999850988,2439796.999999999534339,2317243.520000000018626,2402796.890000000130385,1871039.159999999916181,11377692.660000000149012
20131025,2320565.540000000037253,2481601.359999999869615,2254355.600000000093132,2408523.860000000335276,1871315.900000000139698,11336362.259999999776483
20131028,2337860.020000000018626,2456821.399999999906868,2231123.120000000111759,2402796.890000000130385,1852497.579999999841675,11281099.009999999776483
20131029,2279491.149999999906868,2452659.879999999888241,2250750.560000000055879,2415523.490000000223517,1884045.939999999944121,11282471.019999999552965
20131030,2315933.089999999850988,2453038.200000000186265,2239534.879999999888241,2422523.120000000111759,1882108.760000000242144,11313138.049999998882413
