訓練日期,20150325 - 20150625
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251300.480000000447035
真實報酬,1251300.480000000447035

夏普值報酬,0.116430048000000
夏普值風險,0.037667818583592
夏普值,3.090968693650785

預期報酬,20884.748316767192591
風險,79900.804927808610955
趨勢值,0.261383453341137
找到最佳解世代,1813
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](3),GS[8](2),JPM[13](1),
20150421,3505874.879999999422580,3430221.560000000055879,3435327.199999999720603,10371424.639999998733401
20150422,3531657.000000000000000,3456012.040000000037253,3470060.359999999869615,10457730.400000000372529
20150423,3601070.399999999441206,3473263.780000000260770,3462341.879999999422580,10536677.059999998658895
20150424,3609499.169999999459833,3450261.460000000428408,3451315.479999999981374,10511077.109999999403954
20150427,3634289.669999999459833,3424645.240000000223517,3436981.160000000149012,10495917.070000000298023
20150428,3659080.169999999459833,3441548.460000000428408,3460136.599999999627471,10560766.230000000447035
20150429,3644205.869999999646097,3460194.280000000260770,3506447.479999999981374,10610848.630000000819564
20150430,3601070.399999999441206,3422902.640000000130385,3487702.599999999627471,10511676.639999998733401
20150501,3649659.779999999795109,3442245.500000000000000,3506998.799999999813735,10598905.079999998211861
20150504,3646684.919999999459833,3473089.520000000484288,3568195.319999999832362,10687970.759999999776483
20150505,3625860.899999999441206,3438063.260000000242144,3550553.080000000074506,10614478.240000000223517
20150506,3592641.629999999422580,3419940.220000000204891,3524089.719999999739230,10536672.570000000298023
20150507,3575784.089999999850988,3439805.859999999869615,3556066.279999999795109,10571657.229999998584390
20150508,3661063.409999999683350,3494000.720000000204891,3610646.959999999497086,10765712.089999999850988
20150511,3664534.079999999608845,3515434.700000000186265,3608441.680000000167638,10788411.459999999031425
20150512,3597599.729999999981374,3494523.500000000000000,3603479.799999999813735,10695604.030000001192093
20150513,3581733.809999999590218,3510206.900000000372529,3612300.919999999459833,10704242.629999998956919
20150514,3617927.939999999478459,3530943.840000000316650,3641520.879999999422580,10790393.659999998286366
20150515,3636768.719999999273568,3537042.940000000409782,3632148.439999999478459,10805961.099999999627471
20150518,3601070.399999999441206,3566492.880000000353903,3661919.719999999739230,10829484.000000000000000
20150519,3581733.809999999590218,3579388.120000000111759,3694447.600000000093132,10855570.529999999329448
20150520,3604045.259999999310821,3573811.800000000279397,3665227.640000000130385,10843085.699999999254942
20150521,3627844.139999999664724,3571546.419999999925494,3674600.080000000074506,10873991.640000000596046
20150522,3621398.609999999869615,3621210.520000000484288,3664676.319999999832362,10907286.450000001117587
20150526,3574296.659999999683350,3596465.600000000093132,3623878.640000000130385,10794641.900000000372529
20150527,3614953.079999999608845,3643167.280000000260770,3664676.319999999832362,10922797.679999999701977
20150528,3641231.009999999310821,3633060.200000000186265,3649790.680000000167638,10924082.889999998733401
20150529,3676433.520000000018626,3593154.660000000149012,3626635.239999999757856,10896224.419999999925494
20150601,3689820.389999999664724,3621384.780000000260770,3643174.839999999850988,10954381.009999999776483
20150602,3717585.750000000000000,3597336.900000000372529,3639866.919999999459833,10954790.570000000298023
20150603,3742872.059999999590218,3629749.260000000242144,3677356.680000000167638,11049979.000000000000000
20150604,3745846.919999999459833,3639856.340000000316650,3656957.839999999850988,11042662.099999999627471
20150605,3676433.520000000018626,3667389.419999999925494,3717051.719999999739230,11060875.660000000149012
20150608,3629331.569999999832362,3655888.260000000242144,3687831.759999999776483,10973052.589999999850988
20150609,3637760.339999999850988,3642470.240000000223517,3703820.040000000037253,10984051.620000001043081
20150610,3670979.609999999869615,3714091.100000000093132,3763362.600000000093132,11148434.310000000521541
20150611,3682879.049999999813735,3728206.160000000149012,3777696.919999999459833,11188783.129999998956919
20150612,3660071.789999999105930,3712871.280000000260770,3762811.279999999795109,11135755.349999999627471
20150615,3661559.219999999273568,3690217.479999999981374,3748476.959999999497086,11100254.659999998286366
20150616,3713123.459999999497086,3721584.280000000260770,3769427.120000000111759,11204135.859999999403954
20150617,3767166.750000000000000,3710605.900000000372529,3756746.759999999776483,11234520.410000000149012
20150618,3784024.289999999105930,3739707.320000000298023,3792031.239999999757856,11315763.849999999627471
20150619,3762208.649999999441206,3715136.660000000149012,3753438.839999999850988,11230785.149999998509884
20150622,3773116.469999999273568,3772990.979999999981374,3801954.999999999534339,11348063.449999999254942
20150623,3782536.859999999869615,3805926.120000000111759,3845509.279999999795109,11433973.259999999776483
20150624,3749317.589999999850988,3736744.900000000372529,3805262.919999999459833,11291326.410000000149012
20150625,3757746.359999999869615,3708689.040000000037253,3784864.080000000074506,11251300.480000000447035
