訓練日期,20091006 - 20100107
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11894228.320000000298023
真實報酬,1894228.320000000298023

夏普值報酬,0.180722832000000
夏普值風險,0.052457245060908
夏普值,3.445145313867787

預期報酬,30290.014484706134681
風險,97070.076560191577300
趨勢值,0.312042758778745
找到最佳解世代,2415
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](27),MSFT[18](3),V[25](2),VZ[26](21),
20091123,2516736.650000000372529,3037743.300000000279397,2950408.909999999683350,2614243.839999999850988,11119132.700000001117587
20091124,2485176.110000000335276,3034699.470000000204891,2957744.560000000055879,2659762.869999999646097,11137383.009999999776483
20091125,2531082.350000000093132,3022524.149999999906868,3000291.330000000074506,2673150.819999999832362,11227048.650000000372529
20091127,2508129.230000000447035,2964691.379999999888241,2946007.519999999552965,2639234.679999999701977,11058062.809999998658895
20091130,2506216.470000000204891,2983968.970000000204891,2970948.729999999981374,2624954.199999999720603,11086088.369999999180436
20091201,2568859.360000000335276,3044845.570000000298023,3042838.099999999627471,2699034.189999999478459,11355577.220000000670552
20091202,2571728.500000000000000,3021509.540000000037253,3016429.759999999776483,2724917.560000000055879,11334585.360000001266599
20091203,2571250.310000000521541,3026582.589999999850988,2935737.610000000335276,2727595.149999999441206,11261165.660000000149012
20091204,2614765.600000000093132,3041801.740000000223517,2944540.390000000130385,2728487.679999999701977,11329595.410000000149012
20091207,2669279.260000000242144,3022524.149999999906868,2931336.220000000204891,2774899.239999999757856,11398038.870000001043081
20091208,2661628.220000000204891,3000202.729999999981374,2934270.479999999981374,2786502.129999999422580,11382603.559999998658895
20091209,2652542.610000000335276,3014407.270000000018626,2998824.200000000186265,2778469.359999999869615,11444243.440000001341105
20091210,2630545.870000000111759,3030641.030000000260770,3019364.019999999552965,2808815.379999999422580,11489366.299999998882413
20091211,2658759.080000000074506,3028611.810000000055879,2984152.899999999906868,2815063.089999999850988,11486586.880000000819564
20091214,2680277.629999999888241,3054991.669999999925494,3108858.950000000186265,2799890.079999999608845,11644018.330000000074506
20091215,2662106.410000000149012,3045860.179999999701977,3160208.500000000000000,2754371.049999999813735,11622546.140000000596046
20091216,2636284.150000000372529,3053977.060000000055879,3192485.360000000335276,2729380.209999999497086,11612126.779999999329448
20091217,2604723.610000000335276,3003246.560000000055879,3192485.360000000335276,2738305.509999999776483,11538761.040000000968575
20091218,2555470.040000000037253,3080356.919999999925494,3262907.599999999627471,2737412.979999999981374,11636147.539999999105930
20091221,2596594.379999999888241,3096590.679999999701977,3210090.919999999925494,2755263.579999999608845,11658539.560000000521541
20091222,2634849.580000000074506,3127028.979999999981374,3166077.019999999552965,2770436.589999999850988,11698392.169999999925494
20091223,2628154.920000000391155,3137175.080000000074506,3160208.500000000000000,2773114.179999999701977,11698652.679999999701977
20091224,2653020.799999999813735,3145291.959999999962747,3164609.890000000130385,2783824.540000000037253,11746747.190000001341105
20091228,2636762.340000000316650,3162540.330000000074506,3182215.450000000186265,2794534.899999999441206,11776053.019999999552965
20091229,2640109.670000000391155,3184861.750000000000000,3229163.610000000335276,2789179.719999999739230,11843314.750000000000000
20091230,2628154.920000000391155,3141233.520000000018626,3233565.000000000000000,2789179.719999999739230,11792133.160000000149012
20091231,2588465.150000000372529,3092532.240000000223517,3208623.790000000037253,2764188.879999999422580,11653810.059999998658895
20100104,2686494.100000000093132,3140218.909999999683350,3233565.000000000000000,2776684.299999999813735,11836962.309999998658895
20100105,2774481.060000000521541,3141233.520000000018626,3195419.620000000111759,2782039.479999999981374,11893173.679999999701977
20100106,2858642.500000000000000,3121955.929999999701977,3152872.849999999627471,2663332.989999999757856,11796804.269999999552965
20100107,2974364.480000000447035,3089488.409999999683350,3182215.450000000186265,2648159.979999999981374,11894228.320000000298023
