訓練日期,20160201 - 20160503
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11239023.220000000670552
真實報酬,1239023.220000000670552

夏普值報酬,0.115202322000000
夏普值風險,0.036802640405526
夏普值,3.130273282856677

預期報酬,20149.845084610056801
風險,64110.631717449148709
趨勢值,0.314298027406987
找到最佳解世代,2200
找到最佳解實驗#,1
找到最佳解次數,17

stock[index](rank)
投資組合檔數,5
DD[7](8),MCD[15](27),MMM[16](1),PFE[20](21),XOM[29](5),
20160318,2460120.639999999664724,2004847.100000000093132,2189800.850000000093132,1931781.200000000186265,2163131.500000000000000,10749681.289999999105930
20160321,2454436.009999999776483,2000484.709999999962747,2183310.799999999813735,1972450.100000000093132,2148231.300000000745058,10758912.919999999925494
20160322,2440391.629999999888241,2000646.280000000027940,2184237.950000000186265,1992784.550000000046566,2161076.300000000745058,10779136.710000000894070
20160323,2437382.120000000111759,2006624.370000000111759,2175761.149999999906868,1980321.500000000232831,2151571.000000000000000,10751660.140000000596046
20160324,2443735.530000000260770,1992083.070000000065193,2178277.700000000186265,1973106.050000000046566,2157479.700000000186265,10744682.050000000745058
20160328,2455439.179999999701977,1990144.229999999981374,2202383.600000000093132,1953427.550000000279397,2163645.299999999813735,10765039.859999999403954
20160329,2434372.609999999403954,2003069.830000000074506,2177350.549999999813735,1971138.200000000186265,2171609.200000000186265,10757540.390000000596046
20160330,2451426.500000000000000,2033121.850000000093132,2208608.750000000000000,1972450.100000000093132,2171352.299999999813735,10836959.500000000000000
20160331,2422000.179999999701977,2030698.300000000046566,2207019.350000000093132,1944244.250000000232831,2147460.600000000558794,10751422.679999999701977
20160401,2435375.780000000260770,2052348.679999999934807,2218939.850000000093132,1970482.250000000232831,2131275.900000000372529,10808422.460000000894070
20160404,2432031.879999999888241,2061235.030000000027940,2203973.000000000000000,2015086.850000000093132,2136413.900000000372529,10848740.660000000149012
20160405,2416315.549999999813735,2058165.199999999953434,2196158.450000000186265,2057067.650000000139698,2112008.400000000372529,10839715.250000000000000
20160406,2425344.080000000074506,2060427.179999999934807,2209403.450000000186265,2160051.800000000279397,2140267.400000000372529,10995493.910000000149012
20160407,2401936.780000000260770,2070444.519999999785796,2214039.200000000186265,2148900.649999999906868,2116118.800000000745058,10951439.950000001117587
20160408,2417653.109999999403954,2067536.260000000009313,2207019.350000000093132,2131845.950000000186265,2137698.400000000372529,10961753.069999998435378
20160411,2417318.719999999739230,2061073.459999999962747,2206489.549999999813735,2091833.000000000232831,2140524.299999999813735,10917239.030000001192093
20160412,2458114.299999999813735,2061881.310000000055879,2225562.350000000093132,2096424.650000000139698,2166985.000000000000000,11008967.609999999403954
20160413,2486203.059999999590218,2050248.270000000018626,2232979.549999999813735,2134469.750000000000000,2179316.200000000186265,11083216.829999998211861
20160414,2493559.639999999664724,2060265.610000000102445,2227284.200000000186265,2141685.200000000186265,2194730.200000000186265,11117524.850000001490116
20160415,2493894.030000000260770,2064628.000000000000000,2235496.100000000093132,2131845.950000000186265,2182912.799999999813735,11108776.880000002682209
20160418,2501919.389999999664724,2081915.989999999990687,2245694.750000000000000,2139061.400000000372529,2203721.700000000186265,11172313.230000000447035
20160419,2526329.859999999403954,2082077.560000000288710,2247019.250000000000000,2157428.000000000000000,2214768.400000000372529,11227623.070000000298023
20160420,2473496.240000000223517,2077068.890000000130385,2237615.299999999813735,2179730.299999999813735,2229925.500000000000000,11197836.230000000447035
20160421,2475168.189999999478459,2032475.570000000065193,2233906.700000000186265,2180386.250000000465661,2229668.600000000558794,11151605.310000002384186
20160422,2505263.290000000037253,2027790.040000000037253,2233906.700000000186265,2182354.100000000558794,2248679.200000000186265,11197993.330000001937151
20160425,2501919.389999999664724,2059457.760000000009313,2230198.100000000093132,2178418.400000000372529,2243541.200000000186265,11213534.850000001490116
20160426,2555756.179999999701977,2063497.010000000009313,2201059.100000000093132,2167923.200000000186265,2251248.200000000186265,11239483.689999997615814
20160427,2552412.280000000260770,2073029.640000000130385,2221986.199999999720603,2164643.450000000186265,2272570.900000000372529,11284642.470000000670552
20160428,2543718.139999999664724,2066889.979999999981374,2211920.000000000000000,2158739.899999999906868,2261524.200000000186265,11242792.219999998807907
20160429,2505263.290000000037253,2043785.469999999972060,2216953.100000000093132,2145620.900000000372529,2271029.500000000000000,11182652.259999999776483
20160502,2507269.629999999888241,2071413.939999999944121,2229668.299999999813735,2151524.450000000186265,2289783.200000000186265,11249659.519999999552965
20160503,2465470.879999999888241,2074645.340000000083819,2224767.649999999906868,2210559.950000000186265,2263579.400000000372529,11239023.220000000670552
