訓練日期,20170517 - 20170817
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11131252.229999998584390
真實報酬,1131252.229999998584390

夏普值報酬,0.104425223000000
夏普值風險,0.035916074617185
夏普值,2.907478729594692

預期報酬,19821.639337212414830
風險,57794.905333399809024
趨勢值,0.342965166615775
找到最佳解世代,3855
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,8
AXP[1](2),BA[2](3),JNJ[12](10),MCD[15](4),NKE[19](9),TRV[22](7),UNH[23](1),V[25](6),
20170608,1279116.360000000102445,1299460.430000000167638,1277196.740000000223517,1285132.040000000037253,1259946.860000000102445,1290124.699999999953434,1350892.949999999953434,1289451.859999999869615,10331321.939999999478459
20170609,1284875.640000000130385,1300144.530000000027940,1286784.080000000074506,1285556.340000000083819,1266104.439999999944121,1305236.600000000093132,1349182.900000000139698,1268920.790000000037253,10346805.320000000298023
20170612,1282635.919999999925494,1299939.300000000046566,1289621.149999999906868,1260013.479999999981374,1279603.750000000000000,1309822.280000000027940,1332751.550000000046566,1254696.649999999906868,10309084.080000000074506
20170613,1289355.080000000074506,1307395.989999999990687,1291577.750000000232831,1271469.580000000074506,1286234.989999999990687,1314303.739999999990687,1346134.550000000046566,1275898.669999999925494,10382370.350000001490116
20170614,1293354.580000000074506,1316220.880000000121072,1298915.000000000232831,1278767.540000000037253,1294524.040000000037253,1333688.659999999916181,1355874.400000000139698,1279119.229999999748543,10450464.330000000074506
20170615,1291114.860000000102445,1337222.750000000000000,1301556.409999999916181,1282925.679999999934807,1252841.959999999962747,1344735.980000000214204,1341153.100000000093132,1263687.379999999888241,10415238.120000001043081
20170616,1303113.360000000102445,1343995.340000000083819,1314372.140000000130385,1289884.200000000186265,1210212.560000000055879,1349113.219999999972060,1350446.850000000093132,1263687.379999999888241,10424825.050000000745058
20170619,1309992.500000000000000,1362055.580000000074506,1311632.899999999906868,1299643.099999999860302,1232000.920000000158325,1336919.480000000214204,1360781.500000000232831,1272007.159999999916181,10485033.140000000596046
20170620,1320071.239999999990687,1356924.830000000074506,1313100.350000000093132,1307535.080000000074506,1221106.739999999990687,1341922.040000000037253,1362640.250000000232831,1266505.369999999878928,10489805.900000000372529
20170621,1315271.839999999850988,1362671.270000000018626,1319850.620000000111759,1304649.840000000083819,1245500.229999999981374,1340150.300000000279397,1374908.000000000000000,1268652.409999999916181,10531654.510000001639128
20170622,1315911.760000000009313,1364518.340000000083819,1331003.240000000223517,1313729.860000000102445,1241000.459999999962747,1337336.360000000102445,1386655.300000000046566,1260735.199999999953434,10550890.519999999552965
20170623,1315431.820000000065193,1383604.729999999981374,1334720.780000000260770,1312372.099999999860302,1251657.810000000055879,1330562.060000000055879,1377361.550000000046566,1282608.169999999925494,10588319.020000001415610
20170626,1327270.339999999850988,1368212.479999999981374,1333840.310000000055879,1306601.620000000111759,1261841.500000000000000,1333584.440000000176951,1376395.000000000000000,1277777.329999999841675,10585523.020000001415610
20170627,1329190.100000000093132,1360755.790000000037253,1320828.919999999925494,1304564.979999999981374,1254026.110000000102445,1327643.899999999906868,1372528.800000000046566,1273483.250000000000000,10543021.850000001490116
20170628,1343428.320000000065193,1365749.719999999972060,1309187.149999999906868,1309486.860000000102445,1263736.139999999897555,1331812.699999999953434,1380707.300000000046566,1291330.520000000018626,10595438.709999999031425
20170629,1337989.000000000000000,1350973.160000000149012,1297643.209999999962747,1299558.239999999990687,1259236.370000000111759,1317326.120000000111759,1377510.250000000232831,1267042.129999999888241,10507278.480000000447035
20170630,1347747.780000000027940,1352957.050000000046566,1294219.159999999916181,1299812.820000000065193,1397308.260000000009313,1318785.199999999953434,1378625.500000000000000,1258453.969999999972060,10647909.740000000223517
20170703,1361506.059999999823049,1358703.489999999990687,1300186.790000000037253,1294212.060000000055879,1389019.209999999962747,1327227.020000000018626,1387770.550000000046566,1252683.799999999813735,10671308.980000000447035
20170705,1358146.479999999981374,1380731.510000000009313,1307426.209999999962747,1299049.080000000074506,1363204.739999999990687,1317117.680000000167638,1399666.550000000046566,1261540.340000000083819,10686882.590000001713634
20170706,1339748.780000000027940,1378473.979999999981374,1296469.250000000232831,1299218.800000000046566,1353731.540000000037253,1315137.500000000000000,1389926.699999999953434,1251341.899999999906868,10624048.449999999254942
20170707,1349187.600000000093132,1384562.469999999972060,1296664.909999999916181,1326204.280000000027940,1373151.599999999860302,1325455.280000000027940,1397510.400000000139698,1260332.629999999888241,10713069.170000001788139
20170710,1348707.659999999916181,1395439.660000000149012,1286979.740000000223517,1319839.780000000027940,1390913.849999999860302,1310864.479999999981374,1390001.050000000046566,1276032.859999999869615,10718779.080000000074506
20170711,1346467.939999999944121,1411242.370000000111759,1283849.179999999934807,1314663.320000000065193,1377888.199999999953434,1303360.639999999897555,1382566.050000000046566,1280326.939999999944121,10700364.640000000596046
20170712,1357026.619999999878928,1412405.340000000083819,1293632.179999999934807,1328834.940000000176951,1378835.520000000018626,1305445.040000000037253,1388067.949999999953434,1290659.570000000065193,10754907.160000000149012
20170713,1365825.520000000018626,1410968.729999999981374,1290012.470000000204891,1315766.500000000000000,1372204.280000000027940,1307321.000000000000000,1379071.599999999860302,1287439.009999999776483,10728609.110000001266599
20170714,1364385.699999999953434,1426566.209999999962747,1297251.890000000130385,1317803.140000000130385,1373625.260000000009313,1310343.380000000121072,1389629.300000000046566,1300723.820000000065193,10780328.700000001117587
20170717,1363425.820000000065193,1429918.300000000046566,1292849.540000000037253,1317633.419999999925494,1368651.830000000074506,1315658.600000000093132,1385540.050000000046566,1299381.919999999925494,10773059.480000000447035
20170718,1368225.219999999972060,1424719.140000000130385,1315448.270000000251457,1306601.620000000111759,1365336.209999999962747,1308363.199999999953434,1389257.550000000046566,1309446.169999999925494,10787397.380000000819564
20170719,1374784.400000000139698,1442779.380000000121072,1322785.520000000251457,1306007.599999999860302,1368178.170000000158325,1318055.659999999916181,1406655.449999999953434,1318436.899999999906868,10857683.080000000074506
20170720,1365505.559999999823049,1438674.780000000027940,1336090.399999999906868,1308723.120000000111759,1399676.560000000055879,1298358.080000000074506,1423830.300000000046566,1316558.239999999990687,10887417.040000000968575
20170721,1369345.080000000074506,1451399.040000000037253,1323763.820000000065193,1306262.179999999934807,1419807.110000000102445,1304402.840000000083819,1425912.100000000093132,1336552.549999999813735,10937444.719999998807907
20170724,1359906.260000000009313,1451672.680000000167638,1301262.919999999925494,1288696.159999999916181,1396124.110000000102445,1317221.899999999906868,1419294.949999999953434,1346885.179999999934807,10881064.160000000149012
20170725,1366465.439999999944121,1453588.160000000149012,1290208.130000000121072,1349965.080000000074506,1406544.630000000121072,1328477.659999999916181,1415651.800000000046566,1341785.959999999729916,10952686.859999999403954
20170726,1364705.659999999916181,1597180.750000000000000,1281109.939999999944121,1328240.919999999925494,1382151.139999999897555,1313261.540000000037253,1418254.050000000046566,1353326.299999999813735,11038230.300000000745058
20170727,1341508.559999999823049,1648830.300000000046566,1279935.980000000214204,1331974.760000000009313,1377177.709999999962747,1312010.899999999906868,1404722.350000000093132,1336149.979999999748543,11032310.539999999105930
20170728,1356706.659999999916181,1650677.370000000111759,1289914.640000000130385,1322640.159999999916181,1389492.870000000111759,1325872.159999999916181,1421228.050000000046566,1330514.000000000000000,11087045.910000000149012
20170731,1363585.800000000046566,1658818.160000000149012,1298425.850000000093132,1316615.099999999860302,1398492.409999999916181,1335043.520000000018626,1426135.150000000139698,1336015.790000000037253,11133131.780000001192093
20170801,1363745.780000000027940,1638158.340000000083819,1296371.419999999925494,1307280.500000000000000,1417201.979999999981374,1346716.160000000149012,1429257.849999999860302,1353594.679999999934807,11152326.709999999031425
20170802,1364705.659999999916181,1627965.250000000000000,1292947.370000000111759,1328919.800000000046566,1416017.830000000074506,1341713.599999999860302,1434982.800000000046566,1359096.469999999972060,11166348.780000001192093
20170803,1368545.180000000167638,1630017.550000000046566,1304589.140000000130385,1313050.979999999981374,1424306.880000000121072,1350363.860000000102445,1448142.750000000232831,1349837.359999999869615,11188853.700000001117587
20170804,1375424.320000000065193,1626323.410000000149012,1302926.030000000260770,1305413.580000000074506,1415307.339999999850988,1351718.719999999972060,1448960.600000000093132,1353863.059999999823049,11179937.060000000521541
20170807,1373504.559999999823049,1643562.729999999981374,1299795.470000000204891,1315172.479999999981374,1416017.830000000074506,1342443.140000000130385,1448217.100000000093132,1361914.459999999729916,11200627.769999999552965
20170808,1374944.379999999888241,1638568.800000000046566,1294023.500000000232831,1314748.179999999934807,1408202.439999999944121,1339837.640000000130385,1449109.300000000046566,1359096.469999999972060,11178530.710000000894070
20170809,1370944.879999999888241,1603064.010000000009313,1303415.179999999934807,1314748.179999999934807,1418622.959999999962747,1356512.840000000083819,1448588.850000000093132,1354936.579999999841675,11170833.479999998584390
20170810,1352867.140000000130385,1593281.380000000121072,1302045.560000000055879,1329174.380000000121072,1398966.070000000065193,1351718.719999999972060,1431785.750000000000000,1335076.459999999729916,11094915.459999999031425
20170811,1348547.680000000167638,1606963.380000000121072,1302143.390000000130385,1334944.860000000102445,1396597.770000000018626,1335981.500000000000000,1435131.500000000232831,1343127.859999999869615,11103437.940000001341105
20170814,1367425.320000000065193,1622492.450000000186265,1305860.929999999934807,1334605.419999999925494,1415781.000000000000000,1342338.919999999925494,1440261.650000000139698,1367013.679999999934807,11195779.369999999180436
20170815,1388542.680000000167638,1636311.270000000018626,1304882.630000000121072,1337660.380000000121072,1386887.739999999990687,1345048.640000000130385,1446135.300000000046566,1377212.119999999878928,11222680.759999999776483
20170816,1398141.479999999981374,1625502.489999999990687,1312611.199999999953434,1348522.460000000195578,1386414.080000000074506,1349425.880000000121072,1440707.750000000232831,1386471.229999999748543,11247796.570000000298023
20170817,1377344.080000000074506,1611820.489999999990687,1301556.409999999916181,1339951.599999999860302,1360836.439999999944121,1336085.719999999972060,1432752.300000000046566,1370905.189999999944121,11131252.229999998584390
