訓練日期,20141216 - 20150320
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12264394.600000001490116
真實報酬,2264394.600000001490116

夏普值報酬,0.217739460000000
夏普值風險,0.057021196895428
夏普值,3.818570494044784

預期報酬,33652.097673197044060
風險,140913.271856434497749
趨勢值,0.238814252411104
找到最佳解世代,3122
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),UNH[23](3),WBA[27](9),
20150107,3536201.719999999739230,3389640.200000000186265,3476759.080000000074506,10402602.000000000000000
20150108,3598727.880000000353903,3551438.600000000093132,3519877.680000000167638,10670045.160000000149012
20150109,3591628.839999999850988,3518197.000000000000000,3434548.240000000223517,10544375.080000000074506
20150112,3573335.160000000149012,3478510.600000000093132,3435909.880000000353903,10487756.640000000596046
20150113,3581526.359999999869615,3496149.000000000000000,3415939.160000000614673,10493615.519999999552965
20150114,3559956.200000000186265,3504968.200000000186265,3403684.399999999906868,10468609.800000000745058
20150115,3553403.239999999757856,3543297.799999999813735,3394152.920000000391155,10490854.959999999031425
20150116,3570877.800000000279397,3587733.000000000000000,3450887.920000000391155,10609499.720000000670552
20150120,3582891.560000000055879,3582645.000000000465661,3451795.680000000167638,10617333.240000000223517
20150121,3615383.320000000298023,3708149.000000000000000,3430917.200000000186265,10754450.519999999552965
20150122,3703575.239999999757856,3861806.600000000093132,3450434.040000000037253,11015816.879999998956919
20150123,3675725.160000000149012,3799054.600000000093132,3430917.200000000186265,10905697.960000000894070
20150126,3660707.959999999962747,3785825.800000000279397,3442264.200000000186265,10888798.960000000894070
20150127,3617294.600000000093132,3731553.800000000279397,3400961.120000000577420,10749810.520000001415610
20150128,3812791.239999999757856,3678977.799999999813735,3348311.040000000037253,10840081.079999998211861
20150129,4035045.800000000279397,3710523.399999999906868,3384621.439999999944121,11130191.640000000596046
20150130,3969243.160000000149012,3604014.600000000093132,3347403.280000000260770,10920662.039999999105930
20150202,3993543.719999999739230,3639291.400000000372529,3399145.600000000093132,11031981.720000000670552
20150203,4023032.040000000037253,3656929.800000000279397,3394606.800000000745058,11074569.640000000596046
20150204,4019755.560000000055879,3660661.000000000000000,3389160.240000000223517,11069577.800000000745058
20150205,4057435.080000000074506,3691189.000000000000000,3394606.800000000745058,11143231.880000000819564
20150206,4041052.680000000167638,3649806.600000000093132,3456334.480000000447035,11147194.760000001639128
20150209,4029585.000000000465661,3612155.399999999906868,3467681.480000000447035,11109422.880000000819564
20150210,4042144.839999999850988,3696277.000000000000000,3480844.000000000000000,11219266.839999999850988
20150211,4038868.359999999869615,3726126.600000000093132,3609745.920000000391155,11374741.880000000819564
20150212,4043510.040000000037253,3725787.400000000372529,3629262.759999999776483,11398561.199999999254942
20150213,4088288.600000000093132,3712219.399999999906868,3573435.520000000484288,11373944.519999999552965
20150217,4093476.359999999869615,3723073.800000000279397,3540302.280000000260770,11356853.440000001341105
20150218,4127606.359999999869615,3723413.000000000000000,3530770.800000000745058,11381791.160000000149012
20150219,4198050.679999999701977,3732232.200000000186265,3499453.080000000074506,11429736.960000000894070
20150220,4322556.919999999925494,3820085.000000000465661,3500814.720000000204891,11643457.640000000596046
20150223,4225081.640000000596046,3948302.600000000093132,3567081.200000000186265,11740466.440000001341105
20150224,4215252.199999999254942,3915400.200000000186265,3648779.600000000093132,11779433.000000000000000
20150225,4177845.719999999739230,3868590.600000000093132,3631532.160000000614673,11677969.480000000447035
20150226,4142896.600000000093132,3855361.799999999813735,3705968.480000000447035,11704227.880000000819564
20150227,4118869.080000000074506,3854344.199999999720603,3770873.320000000298023,11744087.599999999627471
20150302,4199415.880000000819564,3880462.600000000093132,3795382.840000000316650,11875262.320000000298023
20150303,4247743.960000000894070,3828225.800000000279397,3776773.759999999776483,11852744.520000001415610
20150304,4214433.080000000074506,3860789.000000000000000,3768150.040000000037253,11843373.120000001043081
20150305,4217709.560000000521541,3893691.400000000372529,3776319.880000000353903,11887721.840000001713634
20150306,4180849.160000000149012,3828904.199999999720603,3737740.080000000074506,11747494.439999999478459
20150309,4225354.679999999701977,3897422.600000000093132,3789936.280000000260770,11912714.559999998658895
20150310,4161736.359999999869615,3814657.799999999813735,3754533.640000000130385,11730928.800000000745058
20150311,4127606.359999999869615,3823477.000000000000000,3745002.160000000614673,11696086.519999999552965
20150312,4151360.839999999850988,3896744.199999999720603,3823977.280000000260770,11872083.320000000298023
20150313,4138527.959999999962747,3909294.600000000093132,3799921.640000000130385,11847745.200000001117587
20150316,4195866.359999999403954,4020213.000000000000000,3938355.040000000037253,12154435.399999998509884
20150317,4218801.720000000670552,3989006.600000000093132,3915207.160000000614673,12123016.480000000447035
20150318,4252112.599999999627471,4069057.799999999813735,3956964.120000000577420,12278135.519999999552965
20150319,4207880.120000001043081,4096193.800000000279397,3965133.960000000428408,12269208.880000002682209
20150320,4218528.679999999701977,4041243.399999999906868,4004621.520000000484288,12264394.600000001490116
