訓練日期,20150408 - 20150709
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10865288.419999999925494
真實報酬,865288.419999999925494

夏普值報酬,0.077828842000000
夏普值風險,0.025732943426945
夏普值,3.024482691649860

預期報酬,14887.960941547002221
風險,79524.623701888631331
趨勢值,0.187211963395854
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](1),GS[8](3),NKE[19](4),
20150514,3475605.000000000000000,3510567.750000000465661,3461150.199999999720603,10447323.949999999254942
20150515,3487302.919999999459833,3516631.500000000465661,3512678.600000000093132,10516614.019999999552965
20150518,3488251.399999999441206,3545910.750000000465661,3505317.399999999906868,10539480.550000000745058
20150519,3495523.079999999608845,3558731.250000000465661,3501302.199999999720603,10555557.529999999329448
20150520,3484141.319999999832362,3553187.250000000465661,3500633.000000000000000,10537962.570000000298023
20150521,3490148.359999999869615,3550935.000000000465661,3493271.799999999813735,10534356.160000000149012
20150522,3486038.279999999795109,3600311.250000000465661,3494610.199999999720603,10580960.730000000447035
20150526,3460113.159999999683350,3575709.750000000465661,3460481.000000000000000,10496304.910000000149012
20150527,3489516.039999999571592,3622140.750000000465661,3441074.199999999720603,10552731.990000000223517
20150528,3494574.599999999627471,3612092.250000000465661,3423005.799999999813735,10529673.649999998509884
20150529,3489516.039999999571592,3572418.000000000465661,3402260.600000000093132,10464195.640000000596046
20150601,3508169.479999999515712,3600484.500000000465661,3404937.399999999906868,10513592.380000000819564
20150602,3501530.119999999646097,3576576.000000000465661,3416983.000000000000000,10495090.120000001043081
20150603,3514808.839999999850988,3608800.500000000465661,3430366.999999999534339,10553977.339999999850988
20150604,3487302.919999999459833,3618849.000000000465661,3411629.399999999441206,10517782.320000000298023
20150605,3487302.919999999459833,3646222.500000000465661,3414306.200000000186265,10547832.620000001043081
20150608,3455370.759999999776483,3634788.000000000465661,3394230.199999999720603,10484389.959999999031425
20150609,3431026.439999999478459,3621447.750000000465661,3391553.399999999906868,10444028.589999999850988
20150610,3477818.119999999646097,3692653.500000000465661,3457804.199999999720603,10628276.820000000298023
20150611,3497420.039999999571592,3706686.750000000465661,3475872.599999999627471,10679980.390000000596046
20150612,3476237.319999999832362,3691440.750000000465661,3472526.599999999627471,10640205.669999999925494
20150615,3483509.000000000000000,3668918.250000000465661,3458473.399999999906868,10610901.650000000372529
20150616,3511331.079999999608845,3700103.250000000465661,3498625.399999999906868,10710060.730000000447035
20150617,3524925.959999999497086,3689188.500000000465661,3505317.399999999906868,10719432.859999999403954
20150618,3579621.639999999664724,3718121.250000000465661,3546807.799999999813735,10844551.690000001341105
20150619,3560652.039999999571592,3693693.000000000465661,3564876.200000000186265,10819222.240000000223517
20150622,3589422.599999999627471,3751212.000000000465661,3573575.799999999813735,10914211.399999998509884
20150623,3617244.679999999701977,3783956.250000000465661,3586959.799999999813735,10988161.730000000447035
20150624,3597010.439999999478459,3715176.000000000465661,3554169.000000000000000,10866356.439999999478459
20150625,3618509.319999999832362,3687282.750000000465661,3520709.000000000000000,10826502.070000000298023
20150626,3635581.959999999497086,3693346.500000000465661,3671279.000000000000000,11000208.460000000894070
20150629,3574246.919999999459833,3597712.500000000465661,3603020.600000000093132,10774981.019999999552965
20150630,3608708.359999999869615,3617463.000000000465661,3614396.999999999534339,10840569.359999999403954
20150701,3640008.199999999720603,3637386.750000000465661,3661910.199999999720603,10939306.150000000372529
20150702,3634949.639999999664724,3624566.250000000465661,3676632.599999999627471,10936149.490000000223517
20150706,3658029.319999999832362,3604469.250000000465661,3675294.199999999720603,10937793.769999999552965
20150707,3702291.719999999273568,3607414.500000000465661,3724145.799999999813735,11033853.019999999552965
20150708,3641905.159999999683350,3535515.750000000465661,3656556.599999999627471,10833978.509999999776483
20150709,3654867.719999999273568,3548509.500000000465661,3661910.199999999720603,10865288.419999999925494
