訓練日期,20091020 - 20100122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11534087.839999999850988
真實報酬,1534087.839999999850988

夏普值報酬,0.144708784000000
夏普值風險,0.057880425332507
夏普值,2.500133389979220

預期報酬,32492.305443335288146
風險,165982.831391175481258
趨勢值,0.195757026018914
找到最佳解世代,1743
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,4
BA[2](19),MSFT[18](3),UNH[23](1),V[25](2),
20091104,2248366.640000000130385,2661228.000000000000000,2795946.949999999720603,2612059.359999999869615,10317600.949999999254942
20091105,2327879.040000000037253,2700112.399999999906868,2830056.089999999850988,2654748.639999999664724,10512796.169999998062849
20091106,2323669.560000000055879,2704854.399999999906868,2876203.750000000000000,2657416.720000000204891,10562144.429999999701977
20091109,2401778.800000000279397,2749429.199999999720603,2922351.409999999683350,2706776.199999999720603,10780335.609999999403954
20091110,2353603.640000000130385,2751326.000000000465661,2906300.049999999813735,2704108.120000000111759,10715337.810000000521541
20091111,2370441.560000000055879,2761758.400000000372529,2946428.449999999720603,2694769.839999999850988,10773398.250000000000000
20091112,2351732.760000000242144,2784520.000000000000000,2885232.639999999664724,2665420.959999999962747,10686906.359999999403954
20091113,2370441.560000000055879,2810126.799999999813735,2917335.359999999403954,2668089.040000000037253,10765992.759999997913837
20091116,2454631.160000000149012,2801591.200000000186265,2924357.829999999608845,2653414.600000000093132,10833994.789999999105930
20091117,2456969.760000000242144,2845217.600000000093132,2906300.049999999813735,2686765.600000000093132,10895253.009999999776483
20091118,2433116.040000000037253,2855650.000000000000000,2896267.949999999720603,2681429.440000000409782,10866463.429999999701977
20091119,2405520.560000000055879,2824352.800000000279397,2872190.909999999683350,2674759.240000000223517,10776823.509999999776483
20091120,2418149.000000000000000,2809178.400000000372529,2865168.439999999478459,2668089.040000000037253,10760584.879999998956919
20091123,2461646.960000000428408,2839527.200000000186265,2917335.359999999403954,2682763.479999999981374,10901273.000000000000000
20091124,2430777.439999999944121,2836682.000000000000000,2965489.439999999478459,2689433.680000000167638,10922382.559999998658895
20091125,2475678.560000000055879,2825301.200000000186265,2963483.019999999552965,2728120.839999999850988,10992583.619999999180436
20091127,2453228.000000000000000,2771242.399999999906868,2953450.919999999925494,2678761.359999999869615,10856682.679999999701977
20091130,2451357.120000000111759,2789262.000000000000000,2876203.750000000000000,2701440.040000000037253,10818262.910000000149012
20091201,2512628.439999999944121,2846166.000000000465661,2879213.379999999422580,2766808.000000000000000,11004815.820000000298023
20091202,2515434.760000000242144,2824352.800000000279397,2838081.769999999552965,2742795.279999999795109,10920664.609999999403954
20091203,2514967.040000000037253,2829094.799999999813735,2741773.609999999403954,2669423.080000000074506,10755258.529999999329448
20091204,2557529.560000000055879,2843320.800000000279397,2754815.339999999850988,2677427.320000000298023,10833093.019999999552965
20091207,2610849.640000000130385,2825301.200000000186265,2839084.979999999981374,2665420.959999999962747,10940656.780000001192093
20091208,2603366.120000000111759,2804436.399999999906868,2855136.339999999850988,2668089.040000000037253,10931027.899999998509884
20091209,2594479.439999999944121,2817714.000000000000000,2859149.179999999701977,2726786.800000000279397,10998129.419999999925494
20091210,2572964.319999999832362,2832888.400000000372529,3040730.189999999478459,2745463.359999999869615,11192046.269999999552965
20091211,2600559.800000000279397,2830991.600000000093132,3057784.759999999776483,2713446.399999999906868,11202782.560000000521541
20091214,2621607.200000000186265,2855650.000000000000000,3104935.629999999422580,2826839.800000000279397,11409032.630000000819564
20091215,2603833.840000000316650,2847114.399999999906868,3142054.399999999906868,2873531.199999999720603,11466533.839999999850988
20091216,2578576.960000000428408,2854701.600000000093132,3230336.879999999888241,2902880.080000000074506,11566495.520000001415610
20091217,2547707.439999999944121,2807281.600000000093132,3192214.899999999906868,2902880.080000000074506,11450084.019999999552965
20091218,2499532.279999999795109,2879360.000000000000000,3164125.019999999552965,2966914.000000000000000,11509931.299999998882413
20091221,2539756.200000000186265,2894534.399999999906868,3227327.250000000000000,2918888.560000000055879,11580506.410000000149012
20091222,2577173.800000000279397,2922986.399999999906868,3242375.399999999906868,2878867.359999999869615,11621402.959999999031425
20091223,2570625.720000000204891,2932470.400000000372529,3172150.699999999720603,2873531.199999999720603,11548778.019999999552965
20091224,2594947.160000000149012,2940057.600000000093132,3178169.959999999497086,2877533.320000000298023,11590708.039999999105930
20091228,2579044.680000000167638,2956180.400000000372529,3149076.869999999646097,2893541.800000000279397,11577843.750000000000000
20091229,2582318.720000000204891,2977045.200000000186265,3094903.529999999795109,2936231.080000000074506,11590498.529999999329448
20091230,2570625.720000000204891,2936264.000000000000000,3110954.889999999664724,2940233.199999999720603,11558077.809999998658895
20091231,2531804.960000000428408,2890740.800000000279397,3057784.759999999776483,2917554.520000000018626,11397885.039999999105930
20100104,2627687.560000000055879,2935315.600000000093132,3163121.809999999590218,2940233.199999999720603,11666358.169999998062849
20100105,2713748.040000000037253,2936264.000000000000000,3158105.759999999776483,2905548.160000000149012,11713665.960000000894070
20100106,2796066.760000000242144,2918244.399999999906868,3189205.269999999552965,2866861.000000000000000,11770377.429999999701977
20100107,2909255.000000000000000,2887895.600000000093132,3311596.889999999664724,2893541.800000000279397,12002289.289999999105930
20100108,2881191.800000000279397,2907812.000000000000000,3280497.379999999888241,2901546.040000000037253,11971047.219999998807907
20100111,2847048.239999999757856,2870824.399999999906868,3302568.000000000000000,2893541.800000000279397,11913982.440000001341105
20100112,2826468.560000000055879,2851856.399999999906868,3215288.729999999515712,2880201.399999999906868,11773815.089999999850988
20100113,2860612.120000000111759,2878411.600000000093132,3264446.019999999552965,2906882.199999999720603,11910351.939999999478459
20100114,2879320.920000000391155,2936264.000000000000000,3342696.399999999906868,2916220.479999999981374,12074501.800000000745058
20100115,2844709.640000000130385,2926780.000000000000000,3385834.429999999701977,2873531.199999999720603,12030855.269999999552965
20100119,2836758.399999999906868,2949541.600000000093132,3524277.410000000149012,2929560.880000000353903,12240138.290000000968575
20100120,2815711.000000000000000,2901173.200000000186265,3466091.229999999515712,2916220.479999999981374,12099195.910000000149012
20100121,2768939.000000000000000,2846166.000000000465661,3320625.779999999795109,2816167.479999999981374,11751898.259999999776483
20100122,2702055.040000000037253,2746584.000000000000000,3326645.039999999571592,2758803.759999999776483,11534087.839999999850988
