訓練日期,20100623 - 20100923
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11155049.480000000447035
真實報酬,1155049.480000000447035

夏普值報酬,0.106804948000000
夏普值風險,0.043669025382541
夏普值,2.445782727331074

預期報酬,19821.977383761266537
風險,203576.820272229204420
趨勢值,0.097368538113793
找到最佳解世代,2154
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](5),MCD[15](1),VZ[26](2),
20100827,3455988.840000000316650,3593139.699999999720603,3660899.279999999795109,10710028.820000000298023
20100830,3379576.230000000447035,3532437.199999999720603,3611825.679999999701977,10523840.109999999403954
20100831,3386253.060000000521541,3547977.040000000037253,3622867.239999999757856,10557098.339999999850988
20100901,3455741.550000000745058,3619848.800000000279397,3712426.560000000055879,10788017.910000002011657
20100902,3456730.710000000428408,3643158.559999999590218,3694023.959999999497086,10793914.229999998584390
20100903,3642445.500000000000000,3646557.899999999906868,3705065.519999999552965,10994069.919999999925494
20100907,3591009.180000000633299,3681036.919999999925494,3707519.199999999720603,10979566.300000000745058
20100908,3648627.750000000000000,3694634.279999999795109,3736963.359999999869615,11080226.389999998733401
20100909,3688194.149999999906868,3611593.260000000242144,3783583.279999999795109,11083371.689999999478459
20100910,3719105.399999999906868,3642672.939999999944121,3781129.599999999627471,11142908.939999999478459
20100913,3817526.820000000298023,3621305.659999999683350,3790944.319999999366701,11229777.800000000745058
20100914,3772025.460000000428408,3590711.599999999627471,3792171.159999999683350,11154909.220000000670552
20100915,3772767.330000000540167,3628104.339999999385327,3826522.679999999701977,11227395.349999999627471
20100916,3764606.760000000242144,3632474.919999999925494,3854740.000000000000000,11251822.679999999701977
20100917,3733695.510000000242144,3609165.159999999683350,3886637.839999999850988,11229499.509999999776483
20100920,3756446.190000000409782,3647529.139999999664724,3936938.280000000260770,11340914.609999999403954
20100921,3744081.690000000409782,3666953.939999999944121,3965155.599999999627471,11376192.230000000447035
20100922,3661734.120000000111759,3648500.379999999422580,3973743.479999999981374,11283978.980000000447035
20100923,3583590.480000000447035,3624705.000000000000000,3946753.000000000000000,11155049.480000000447035
