訓練日期,20121120 - 20130225
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11626802.370000001043081
真實報酬,1626802.370000001043081

夏普值報酬,0.153980237000000
夏普值風險,0.050793160282864
夏普值,3.031515191070855

預期報酬,29185.872671221903147
風險,78202.703354923141887
趨勢值,0.373207976439916
找到最佳解世代,2193
找到最佳解實驗#,2
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
GS[8](12),MCD[15](5),NKE[19](9),VZ[26](24),WBA[27](3),
20130211,2573789.639999999664724,2238237.339999999850988,2293187.680000000633299,2070544.179999999934807,2540881.649999999906868,11716640.490000000223517
20130212,2605403.860000000335276,2236591.079999999608845,2288204.320000000298023,2076150.339999999850988,2569671.500000000000000,11776021.099999999627471
20130213,2612335.320000000298023,2210721.279999999795109,2265779.200000000186265,2079887.780000000027940,2540881.649999999906868,11709605.230000000447035
20130214,2636172.780000000260770,2200373.359999999869615,2268270.879999999888241,2071011.359999999869615,2564158.549999999813735,11739986.929999999701977
20130215,2620281.139999999664724,2208369.479999999981374,2282390.400000000372529,2074281.619999999878928,2520667.500000000000000,11705990.139999998733401
20130219,2682157.099999999627471,2207193.579999999608845,2262456.959999999962747,2078953.419999999925494,2554357.750000000000000,11785118.809999998658895
20130220,2623493.280000000260770,2208604.659999999683350,2243354.080000000074506,2098574.979999999981374,2548232.250000000000000,11722259.250000000000000
20130221,2550797.479999999515712,2214013.799999999813735,2264948.640000000596046,2107918.579999999608845,2549457.349999999627471,11687135.849999999627471
20130222,2605065.740000000223517,2240118.779999999795109,2262456.959999999962747,2120999.619999999646097,2561095.800000000279397,11789736.900000000372529
20130225,2496191.099999999627471,2261049.799999999813735,2244184.640000000596046,2135949.379999999888241,2489427.450000000186265,11626802.370000001043081
