訓練日期,20150430 - 20150731
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10883058.079999998211861
真實報酬,883058.079999998211861

夏普值報酬,0.079605808000000
夏普值風險,0.027423880429269
夏普值,2.902791536205737

預期報酬,14948.852742219602078
風險,89104.907202204281930
趨勢值,0.167766885254663
找到最佳解世代,2205
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),GS[8](6),JPM[13](2),NKE[19](1),
20150518,2511838.319999999832362,2576799.000000000000000,2610848.559999999590218,2614293.899999999906868,10313779.779999999329448
20150519,2517074.500000000000000,2586115.600000000093132,2634040.279999999795109,2611299.299999999813735,10348529.679999999701977
20150520,2508878.740000000223517,2582086.800000000279397,2613207.040000000037253,2610800.199999999720603,10314972.780000001192093
20150521,2513204.280000000260770,2580450.100000000093132,2619889.399999999906868,2605310.099999999627471,10318853.880000000819564
20150522,2510244.700000000186265,2616331.600000000093132,2612813.959999999497086,2606308.299999999348074,10345698.559999998658895
20150526,2491576.580000000074506,2598453.799999999813735,2583726.040000000037253,2580854.199999999720603,10254610.619999999180436
20150527,2512748.959999999962747,2632195.000000000000000,2612813.959999999497086,2566380.299999999813735,10324138.219999998807907
20150528,2516391.520000000018626,2624892.799999999813735,2602200.799999999813735,2552904.599999999627471,10296389.719999998807907
20150529,2512748.959999999962747,2596061.700000000186265,2585691.439999999944121,2537432.500000000000000,10231934.599999999627471
20150601,2526180.899999999906868,2616457.500000000000000,2597483.839999999850988,2539428.899999999906868,10279551.140000000596046
20150602,2521400.040000000037253,2599083.300000000279397,2595125.359999999403954,2548412.699999999720603,10264021.399999998509884
20150603,2530961.760000000242144,2622500.700000000186265,2621854.799999999813735,2558394.699999999720603,10333711.960000000894070
20150604,2511155.339999999850988,2629802.900000000372529,2607310.839999999850988,2544419.899999999441206,10292688.980000000447035
20150605,2511155.339999999850988,2649695.100000000093132,2650156.559999999590218,2546416.299999999813735,10357423.299999998882413
20150608,2488161.680000000167638,2641385.700000000186265,2629323.319999999832362,2531443.299999999348074,10290314.000000000000000
20150609,2470631.859999999869615,2631691.400000000372529,2640722.640000000130385,2529446.899999999441206,10272492.800000000745058
20150610,2504325.540000000037253,2683436.299999999813735,2683175.279999999795109,2578857.799999999813735,10449794.919999998062849
20150611,2518440.459999999962747,2693634.200000000186265,2693395.359999999403954,2592333.499999999534339,10497803.519999999552965
20150612,2503187.240000000223517,2682555.000000000000000,2682782.199999999720603,2589837.999999999534339,10458362.439999999478459
20150615,2508423.420000000391155,2666188.000000000000000,2672562.119999999646097,2579356.899999999441206,10426530.439999997615814
20150616,2528457.500000000000000,2688850.000000000000000,2687499.159999999683350,2609302.899999999906868,10514109.560000000521541
20150617,2538246.879999999888241,2680918.300000000279397,2678458.319999999832362,2614293.899999999906868,10511917.400000000372529
20150618,2577632.060000000055879,2701943.600000000093132,2703615.439999999944121,2645238.099999999627471,10628429.199999999254942
20150619,2563972.459999999962747,2684191.700000000186265,2676099.839999999850988,2658713.799999999813735,10582977.800000000745058
20150622,2584689.520000000018626,2725990.500000000000000,2710690.879999999422580,2665202.099999999627471,10686572.999999998137355
20150623,2604723.600000000093132,2749785.600000000093132,2741744.199999999720603,2675184.099999999627471,10771437.500000000000000
20150624,2590153.359999999869615,2699803.300000000279397,2713049.359999999403954,2650728.199999999720603,10653734.219999998807907
20150625,2605634.240000000223517,2679533.399999999906868,2698505.399999999906868,2625773.199999999720603,10609446.240000000223517
20150626,2617927.879999999888241,2683939.899999999906868,2710297.799999999813735,2738070.699999999720603,10750236.279999999329448
20150629,2573761.839999999850988,2614443.100000000093132,2641508.799999999813735,2687162.500000000000000,10516876.239999998360872
20150630,2598576.780000000260770,2628795.700000000186265,2663521.279999999795109,2695647.199999999720603,10586540.959999999031425
20150701,2621115.120000000111759,2643274.200000000186265,2675706.759999999310821,2731083.299999999348074,10671179.379999998956919
20150702,2617472.560000000055879,2633957.600000000093132,2654087.359999999403954,2742063.499999999534339,10647581.019999999552965
20150706,2634091.740000000223517,2619353.200000000186265,2646618.839999999850988,2741065.299999999813735,10641129.080000000074506
20150707,2665964.140000000130385,2621493.500000000000000,2625785.599999999627471,2777499.599999999627471,10690742.839999999850988
20150708,2622481.080000000074506,2569245.000000000000000,2571933.640000000130385,2727090.499999999534339,10490750.220000000670552
20150709,2631815.140000000130385,2578687.500000000000000,2598663.079999999608845,2731083.299999999348074,10540249.019999999552965
20150710,2650938.580000000074506,2608651.700000000186265,2635612.599999999627471,2758034.699999999720603,10653237.580000000074506
20150713,2687591.839999999850988,2645540.400000000372529,2676492.919999999925494,2805449.199999999720603,10815074.359999999403954
20150714,2683038.640000000130385,2671224.000000000000000,2713835.520000000018626,2803452.799999999813735,10871550.960000000894070
20150715,2693283.339999999850988,2681296.000000000000000,2719731.719999999739230,2792472.599999999627471,10886783.660000000149012
20150716,2710813.159999999683350,2658885.800000000279397,2734275.679999999701977,2803452.799999999813735,10907427.439999999478459
20150717,2706032.299999999813735,2675001.000000000000000,2720517.879999999422580,2814932.099999999627471,10916483.279999999329448
20150720,2722423.819999999832362,2674119.699999999720603,2722483.279999999795109,2823416.799999999813735,10942443.599999997764826
20150721,2716277.000000000000000,2662914.600000000093132,2716193.999999999534339,2819923.099999999627471,10915308.699999999254942
20150722,2716732.319999999832362,2684947.100000000093132,2754715.839999999850988,2847373.599999999627471,11003768.859999999403954
20150723,2704666.339999999850988,2657249.100000000093132,2737420.319999999832362,2844878.099999999627471,10944213.859999999403954
20150724,2707170.600000000093132,2610666.100000000093132,2708725.479999999515712,2819923.099999999627471,10846485.279999999329448
20150727,2692145.040000000037253,2581331.400000000372529,2673348.279999999795109,2788479.799999999348074,10735304.519999999552965
20150728,2696925.899999999906868,2596691.200000000186265,2674920.599999999627471,2831901.499999999534339,10800439.199999999254942
20150729,2728342.979999999981374,2604245.200000000186265,2709904.719999999739230,2867836.699999999720603,10910329.599999999627471
20150730,2732668.520000000018626,2608777.600000000093132,2713835.520000000018626,2870332.199999999720603,10925613.839999999850988
20150731,2731985.540000000037253,2581960.899999999906868,2693788.439999999944121,2875323.199999999720603,10883058.079999998211861
