訓練日期,20160629 - 20160929
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11195141.390000000596046
真實報酬,1195141.390000000596046

夏普值報酬,0.110814139000000
夏普值風險,0.032444773533956
夏普值,3.415469640557844

預期報酬,22712.678387231098895
風險,154576.902694532618625
趨勢值,0.146934490155459
找到最佳解世代,1807
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),PG[21](4),V[25](1),
20160815,3899271.240000000223517,3517661.880000000353903,3588339.750000000000000,11005273.870000001043081
20160816,3895709.639999999664724,3499875.760000000242144,3583904.850000000093132,10979491.250000000000000
20160817,3890011.080000000074506,3515236.500000000000000,3585235.320000000298023,10990483.900000000372529
20160818,3885024.839999999850988,3534639.540000000502914,3559956.390000000130385,10979621.770000001415610
20160819,3894997.319999999832362,3529384.550000000279397,3568826.189999999944121,10993209.060000000521541
20160822,3864723.720000000204891,3510789.970000000204891,3594992.100000000093132,10970506.790000000968575
20160823,3876833.159999999683350,3533022.620000000577420,3583461.359999999869615,10993318.140000000596046
20160824,3847628.040000000037253,3529384.550000000279397,3560843.370000000577420,10937856.960000000894070
20160825,3831244.679999999701977,3553234.120000000577420,3562173.839999999850988,10946653.640000000596046
20160826,3808806.600000000093132,3540298.760000000242144,3573261.089999999850988,10922367.449999999254942
20160829,3804532.679999999701977,3569403.320000000298023,3586565.790000000502914,10960502.790000000968575
20160830,3775327.560000000055879,3538681.840000000782311,3599870.490000000223517,10913880.890000000596046
20160831,3778889.159999999683350,3529384.550000000279397,3587896.260000000242144,10896170.970000000670552
20160901,3801327.240000000223517,3569807.550000000279397,3605635.859999999869615,10976771.650000000372529
20160902,3836943.240000000223517,3565361.020000000484288,3636680.160000000149012,11038985.420000001788139
20160906,3835874.760000000242144,3583147.140000000596046,3660185.130000000353903,11079208.030000001192093
20160907,3859381.319999999832362,3555255.270000000484288,3691672.919999999925494,11106310.509999999776483
20160908,3758231.879999999888241,3548383.360000000335276,3679698.689999999944121,10986314.929999999701977
20160909,3673109.639999999664724,3486131.940000000409782,3606966.330000000074506,10766208.910000000149012
20160912,3755382.600000000093132,3567382.170000000391155,3679698.689999999944121,11002464.460000000894070
20160913,3844778.760000000242144,3518874.570000000298023,3631801.770000000018626,10995456.099999999627471
20160914,3980831.879999999888241,3517257.650000000372529,3614062.169999999925494,11112152.699999999254942
20160915,4116172.679999999701977,3559701.800000000279397,3637123.650000000372529,11312999.130000000819564
20160916,4093022.280000000260770,3559297.570000000298023,3639784.589999999850988,11292105.440000001341105
20160919,4045296.839999999850988,3572232.930000000633299,3659298.150000000372529,11276828.920000001788139
20160920,4044940.679999999701977,3580721.760000000242144,3657967.680000000167638,11283631.119999999180436
20160921,4044228.359999999869615,3549191.820000000298023,3690785.939999999944121,11284207.119999999180436
20160922,4082337.480000000447035,3597295.190000000409782,3696994.800000000279397,11376628.470000000670552
20160923,4014310.919999999925494,3547574.900000000372529,3660628.620000000577420,11222515.440000001341105
20160926,4020365.639999999664724,3551212.970000000204891,3628253.850000000093132,11199833.459999999031425
20160927,4027845.000000000000000,3571828.700000000186265,3643776.000000000000000,11243450.699999999254942
20160928,4058474.760000000242144,3616294.000000000000000,3679698.689999999944121,11354468.449999999254942
20160929,3995434.440000000409782,3566573.710000000428408,3633132.240000000223517,11195141.390000000596046
